"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1965","-","-","-","-","-","-","-","-","-","-","-"
"2","1966","-","-","-","-","-","-","-","-","-","-","-"
"3","1967","22.5","28.8","13.7","0.00","16.6","9","0","2","0","0","0"
"4","1973","21.6","29.4","13.2","9.91","13.9","6","1","3","1","0","0"
"5","1974","-","-","-","-","-","-","-","-","-","-","-"
"6","1975","-","-","-","-","-","-","-","-","-","-","-"
"7","1976","-","-","-","-","-","-","-","-","-","-","-"
"8","1977","-","-","-","-","-","-","-","-","-","-","-"
"9","1978","-","-","-","-","-","-","-","-","-","-","-"
"10","1979","-","-","-","-","-","-","-","-","-","-","-"
"11","1980","-","-","-","-","-","-","-","-","-","-","-"
"12","1981","-","-","-","-","-","-","-","-","-","-","-"
"13","1982","-","-","-","-","-","-","-","-","-","-","-"
"14","1983","-","-","-","-","-","-","-","-","-","-","-"
"15","1984","-","-","-","-","-","-","-","-","-","-","-"
"16","1985","-","-","-","-","-","-","-","-","-","-","-"
"17","1986","22.2","29.2","14.7","121.67","16.1","8","0","1","0","0","0"
"18","1987","23.2","30.6","15.1","21.34","16.6","10","0","4","0","0","1"
"19","1988","23.5","30.4","15.4","19.04","-","7","1","4","0","0","1"
"20","1989","22.9","29.8","15.0","58.43","10.8","6","0","2","0","1","0"
"21","1990","-","-","-","-","-","-","-","-","-","-","-"
"22","1991","-","-","-","-","-","-","-","-","-","-","-"
"23","1992","22.4","29.2","13.9","4.31","-","7","0","2","1","0","2"
"24","1993","23.1","29.9","15.0","170.19","-","6","0","2","0","0","1"
"25","1994","22.5","29.5","14.7","220.47","14.5","15","0","3","0","0","0"
"26","1995","-","-","-","-","-","14","0","4","0","1","0"
"27","1996","23.4","30.3","15.1","33.27","-","12","0","4","0","0","0"
"28","1997","23.0","30.1","14.9","84.83","15.2","5","0","2","0","0","0"
"29","1998","23.3","30.2","15.1","17.28","-","6","0","4","0","0","0"
"30","1999","23.5","30.6","15.6","2.29","14.7","7","0","2","0","0","0"
"31","2000","23.0","30.1","14.8","16.52","12.6","7","1","3","2","0","0"
"32","2001","23.9","31.5","15.1","9.64","12.4","7","0","7","0","0","0"
"33","2002","-","-","-","-","-","13","1","7","3","0","0"
"34","2003","23.4","30.5","15.2","21.08","19.2","18","1","7","1","0","0"
"35","2004","23.1","30.3","15.0","88.15","20.7","15","1","5","0","0","0"
"36","2005","-","-","-","-","-","-","-","-","-","-","-"
"37","2006","23.2","30.7","15.1","23.37","16.9","18","0","4","1","0","0"
"38","2007","23.2","30.8","15.0","34.05","16.7","15","0","5","2","0","1"
"39","2008","23.4","30.8","15.5","18.80","16.8","10","0","9","1","0","1"
"40","2009","23.0","30.6","14.9","11.44","14.5","15","0","11","0","0","0"
"41","2010","24.8","32.7","16.7","6.35","16.2","11","1","12","0","0","0"
"42","2011","23.1","30.4","15.4","41.41","15.9","18","0","11","2","0","0"
"43","2012","23.3","30.6","15.1","9.65","15.8","12","0","6","0","0","0"
"44","2013","23.5","31.0","15.5","8.64","16.5","11","0","8","0","0","0"
"45","2014","24.0","31.6","15.8","4.56","16.0","8","0","3","0","0","0"
"46","2015","23.3","30.7","15.6","48.76","16.8","14","0","8","0","0","0"
"47","2016","24.3","31.8","16.2","7.86","17.4","10","0","9","0","0","0"
"48","2017","23.0","30.3","15.0","10.93","17.6","11","0","8","0","0","0"
"49","2018","24.3","31.2","16.7","-","17.0","7","0","12","0","0","0"
"50","2019","-","-","-","-","-","-","-","-","-","-","-"
