"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1955","-","-","-","-","-","-","-","-","-","-","-"
"2","1956","-","-","-","-","-","-","-","-","-","-","-"
"3","1957","-","-","-","-","-","-","-","-","-","-","-"
"4","1958","19.8","26.4","12.5","1034.00","10.2","96","0","76","20","0","0"
"5","1959","20.5","25.7","13.4","1257.81","10.3","101","0","71","13","0","0"
"6","1960","19.1","25.4","13.0","1328.93","9.4","100","1","69","18","0","0"
"7","1961","18.8","25.0","13.5","1837.14","8.8","138","0","74","38","0","0"
"8","1962","18.6","25.0","13.3","-","9.0","113","0","61","37","0","0"
"9","1964","-","-","-","-","-","-","-","-","-","-","-"
"10","1965","-","-","-","-","-","-","-","-","-","-","-"
"11","1966","-","-","-","-","-","-","-","-","-","-","-"
"12","1967","-","-","-","-","-","-","-","-","-","-","-"
"13","1968","-","-","-","-","-","-","-","-","-","-","-"
"14","1973","-","-","-","-","-","-","-","-","-","-","-"
"15","1974","-","-","-","-","-","-","-","-","-","-","-"
"16","1975","-","-","-","-","-","-","-","-","-","-","-"
"17","1977","-","-","-","-","-","-","-","-","-","-","-"
"18","1978","-","-","-","-","-","-","-","-","-","-","-"
"19","1979","-","-","-","-","-","-","-","-","-","-","-"
"20","1981","-","-","-","-","-","-","-","-","-","-","-"
"21","1982","-","-","-","-","-","-","-","-","-","-","-"
"22","2004","-","-","-","-","-","-","-","-","-","-","-"
"23","2005","-","-","-","-","-","-","-","-","-","-","-"
"24","2006","-","-","-","-","-","-","-","-","-","-","-"
"25","2007","-","-","-","-","-","-","-","-","-","-","-"
"26","2008","-","-","-","-","-","-","-","-","-","-","-"
"27","2010","-","-","-","-","-","-","-","-","-","-","-"
"28","2013","-","-","-","-","-","-","-","-","-","-","-"
"29","2014","-","-","-","-","-","-","-","-","-","-","-"
"30","2015","-","-","-","-","-","-","-","-","-","-","-"
"31","2016","-","-","-","-","-","-","-","-","-","-","-"
"32","2017","-","-","-","-","-","-","-","-","-","-","-"
"33","2018","-","-","-","-","-","-","-","-","-","-","-"
"34","2019","-","-","-","-","-","-","-","-","-","-","-"
