"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1957","-","-","-","-","-","-","-","-","-","-","-"
"2","1958","16.4","22.9","11.2","-","11.1","84","0","26","28","0","1"
"3","1965","-","-","-","-","-","-","-","-","-","-","-"
"4","1966","-","-","-","-","-","-","-","-","-","-","-"
"5","1967","-","-","-","-","-","-","-","-","-","-","-"
"6","1968","16.4","22.3","10.6","-","10.5","90","0","39","45","0","0"
"7","1973","15.9","21.3","10.3","-","13.2","123","3","39","65","0","2"
"8","1974","16.0","21.9","10.1","813.09","15.1","133","5","46","51","1","4"
"9","1975","16.4","22.1","10.4","-","13.2","112","1","43","54","0","0"
"10","1976","15.6","21.1","10.1","-","12.6","142","4","65","46","1","3"
"11","1977","16.4","22.0","11.0","-","11.4","135","5","45","70","3","2"
"12","1978","16.1","21.6","10.8","1523.02","10.0","142","7","62","62","0","2"
"13","1979","16.3","23.6","10.2","721.89","10.8","108","3","47","59","0","4"
"14","1980","16.9","23.6","11.4","977.91","14.6","131","3","59","48","0","1"
"15","1981","16.4","23.1","10.9","1054.90","14.3","132","4","49","57","1","5"
"16","1982","-","-","-","-","-","91","0","38","55","1","0"
"17","1983","16.2","22.9","10.7","964.70","15.1","112","1","44","62","0","1"
"18","1984","15.9","21.9","10.8","1047.75","15.2","144","2","53","44","0","0"
"19","1985","16.9","22.4","11.8","-","13.7","143","0","54","68","0","5"
"20","1986","-","-","-","-","-","-","-","-","-","-","-"
"21","1987","16.6","22.9","11.2","528.05","13.7","134","1","45","56","1","4"
"22","1988","16.1","23.3","10.2","751.83","14.3","114","2","44","55","0","1"
"23","1989","17.2","24.2","11.3","814.30","13.4","99","0","44","50","1","1"
"24","1990","16.6","22.9","11.3","1336.55","14.1","135","1","54","45","1","1"
"25","1991","16.7","23.2","11.2","824.17","13.3","113","0","59","69","0","2"
"26","1992","16.5","22.8","11.0","1114.81","13.8","104","1","44","63","0","1"
"27","1993","16.5","23.1","11.2","1025.67","14.0","120","2","41","66","0","1"
"28","1994","16.9","23.3","11.9","1255.25","13.4","115","0","44","51","0","0"
"29","1995","16.5","23.3","10.6","994.43","13.8","105","0","45","44","1","2"
"30","1996","17.1","23.7","11.2","667.49","13.8","103","0","53","41","0","1"
"31","1997","17.3","23.7","11.8","947.20","14.2","125","2","55","53","0","2"
"32","1998","16.5","22.8","10.9","887.23","11.8","112","0","38","92","1","0"
"33","1999","16.6","23.0","11.1","-","13.0","128","0","49","40","0","2"
"34","2000","16.9","23.0","11.4","-","13.1","148","0","56","37","0","3"
"35","2001","17.4","23.3","12.1","-","12.8","151","0","64","52","1","3"
"36","2002","-","-","-","-","-","-","-","-","-","-","-"
"37","2003","16.6","23.1","10.9","1190.74","12.5","118","0","54","49","0","0"
"38","2004","17.0","23.5","11.3","801.88","12.7","113","0","46","50","1","2"
"39","2005","-","-","-","-","-","-","-","-","-","-","-"
"40","2006","17.0","23.8","10.7","-","11.8","119","0","55","58","0","0"
"41","2007","16.3","22.8","9.9","1177.77","11.9","112","2","46","68","0","1"
"42","2008","17.4","24.2","11.5","-","12.6","113","1","39","51","0","2"
"43","2009","17.2","23.9","11.1","-","12.5","104","2","45","46","0","1"
"44","2010","17.2","23.6","11.2","-","12.0","108","0","35","46","0","0"
"45","2011","17.3","24.0","11.2","-","12.5","100","0","39","25","0","0"
"46","2012","17.6","24.2","11.8","-","12.0","130","0","58","42","0","0"
"47","2013","17.2","23.6","11.3","-","12.0","102","1","40","47","0","1"
"48","2014","17.5","23.8","11.8","-","11.8","130","0","68","51","0","1"
"49","2015","17.7","24.2","11.9","-","11.8","110","0","40","43","0","0"
"50","2016","16.7","23.1","11.1","-","11.7","118","0","35","45","0","0"
"51","2017","17.9","24.4","12.1","-","12.5","126","0","43","50","0","2"
"52","2018","17.5","24.0","11.8","-","12.4","121","0","44","41","0","0"
"53","2019","-","-","-","-","-","-","-","-","-","-","-"
