"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1955","20.4","25.3","15.7","-","9.0","99","0","15","22","0","0"
"2","1956","20.0","25.2","15.1","-","9.1","87","0","17","4","0","0"
"3","1957","20.7","25.9","15.5","-","10.2","65","0","9","3","0","0"
"4","2001","-","-","-","-","-","-","-","-","-","-","-"
"5","2002","-","-","-","-","-","-","-","-","-","-","-"
"6","2003","-","-","-","-","-","-","-","-","-","-","-"
"7","2004","20.9","27.1","15.6","1032.21","8.1","0","0","0","0","0","0"
"8","2005","-","-","-","-","-","-","-","-","-","-","-"
"9","2006","20.5","26.3","15.6","763.20","8.2","77","0","0","0","0","0"
"10","2007","20.8","26.5","15.9","561.22","8.9","81","0","0","0","0","0"
"11","2008","20.0","25.7","15.2","1134.82","8.6","68","0","0","0","0","0"
"12","2009","21.0","26.9","16.1","1076.67","8.4","0","0","0","0","0","0"
"13","2010","20.6","25.8","16.1","1654.75","6.2","0","0","0","0","0","0"
"14","2011","20.2","25.8","15.4","1180.28","5.6","0","0","0","0","0","0"
"15","2012","20.4","26.2","15.5","1163.01","5.5","0","0","0","0","0","0"
"16","2013","20.8","26.6","16.0","1090.33","5.7","20","0","0","0","0","0"
"17","2014","21.1","27.0","16.2","672.77","6.2","83","0","0","0","0","0"
"18","2015","20.7","25.5","16.1","1430.93","5.7","80","0","0","33","0","0"
"19","2016","21.5","26.1","16.6","739.63","6.0","66","0","0","35","0","0"
"20","2017","21.5","26.3","16.7","1074.61","5.7","61","0","0","41","0","0"
"21","2018","21.1","26.0","16.0","753.34","5.6","74","0","0","42","0","0"
"22","2019","-","-","-","-","-","-","-","-","-","-","-"
