"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","2002","-","-","-","-","-","-","-","-","-","-","-"
"2","2003","2.7","8.0","-1.4","560.06","5.3","8","26","1","1","0","0"
"3","2004","2.0","6.6","-1.7","694.44","5.4","23","24","2","0","0","0"
"4","2005","-","-","-","-","-","-","-","-","-","-","-"
"5","2006","-","-","-","-","-","103","21","0","0","0","0"
"6","2007","3.2","8.3","-0.6","-","7.1","109","30","0","0","0","0"
"7","2008","2.9","7.6","-0.7","-","6.3","128","37","0","0","0","0"
"8","2009","2.6","7.6","-1.0","803.63","6.3","86","67","0","0","0","0"
"9","2010","1.6","6.5","-2.1","-","5.9","94","100","0","0","0","0"
"10","2011","3.6","9.1","-0.3","658.89","5.6","116","64","0","0","0","0"
"11","2012","2.6","7.8","-1.3","869.37","6.0","139","109","0","0","0","0"
"12","2013","-","-","-","-","-","-","-","-","-","-","-"
"13","2014","3.6","8.4","0.0","878.09","6.6","153","82","0","0","0","0"
"14","2015","3.8","9.1","0.0","719.80","6.7","130","76","0","0","0","0"
"15","2016","3.2","8.4","-0.7","777.96","6.5","184","104","0","0","0","0"
"16","2017","-","-","-","-","-","-","-","-","-","-","-"
"17","2018","-","-","-","-","-","-","-","-","-","-","-"
"18","2019","-","-","-","-","-","-","-","-","-","-","-"
