"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1955","-","-","-","-","-","-","-","-","-","-","-"
"2","1956","-","-","-","-","-","-","-","-","-","-","-"
"3","1957","-","-","-","-","-","-","-","-","-","-","-"
"4","1959","-","-","-","-","-","-","-","-","-","-","-"
"5","1960","-","-","-","-","-","-","-","-","-","-","-"
"6","1962","-","-","-","-","-","-","-","-","-","-","-"
"7","1963","-","-","-","-","-","-","-","-","-","-","-"
"8","1969","-","-","-","-","-","-","-","-","-","-","-"
"9","1970","-","-","-","-","-","-","-","-","-","-","-"
"10","1971","-","-","-","-","-","-","-","-","-","-","-"
"11","1973","-","-","-","-","-","-","-","-","-","-","-"
"12","1974","-","-","-","-","-","-","-","-","-","-","-"
"13","1975","-","-","-","-","-","-","-","-","-","-","-"
"14","1976","-","-","-","-","-","-","-","-","-","-","-"
"15","1977","-","-","-","-","-","-","-","-","-","-","-"
"16","1978","-","-","-","-","-","-","-","-","-","-","-"
"17","1979","-","-","-","-","-","-","-","-","-","-","-"
"18","1980","-","-","-","-","-","-","-","-","-","-","-"
"19","1981","-","-","-","-","-","-","-","-","-","-","-"
"20","1983","-","-","-","-","-","-","-","-","-","-","-"
"21","1984","-","-","-","-","-","-","-","-","-","-","-"
"22","1985","-","-","-","-","-","-","-","-","-","-","-"
"23","1986","-","-","-","-","-","-","-","-","-","-","-"
"24","1987","-","-","-","-","-","-","-","-","-","-","-"
"25","1988","-","-","-","-","-","-","-","-","-","-","-"
"26","1989","-","-","-","-","-","-","-","-","-","-","-"
"27","1990","-","-","-","-","-","-","-","-","-","-","-"
"28","1991","-","-","-","-","-","-","-","-","-","-","-"
"29","1993","-","-","-","-","-","-","-","-","-","-","-"
"30","1994","5.4","9.2","1.5","897.12","11.2","97","68","6","12","0","0"
"31","1995","6.1","10.0","2.1","558.56","11.4","90","71","8","24","0","2"
"32","1996","4.7","8.8","0.5","476.50","9.9","73","64","3","20","0","0"
"33","1997","5.6","9.3","1.8","676.14","11.4","103","70","6","17","0","0"
"34","1998","5.4","9.2","1.8","732.60","11.1","116","68","10","19","0","0"
"35","1999","6.7","10.7","2.6","562.87","10.5","85","66","6","22","0","0"
"36","2000","6.9","10.6","3.1","-","10.3","96","56","9","25","0","0"
"37","2001","-","-","-","-","-","-","-","-","-","-","-"
"38","2009","5.9","9.7","2.1","0.00","9.5","0","0","0","0","0","0"
"39","2010","5.4","9.5","1.3","0.00","9.0","0","0","0","0","0","0"
"40","2011","-","-","-","-","-","-","-","-","-","-","-"
"41","2012","-","-","-","-","-","-","-","-","-","-","-"
"42","2013","-","-","-","-","-","-","-","-","-","-","-"
"43","2014","-","-","-","-","-","-","-","-","-","-","-"
"44","2015","-","-","-","-","-","-","-","-","-","-","-"
"45","2016","6.4","9.7","3.0","0.00","10.1","0","0","0","0","0","0"
"46","2017","6.2","9.1","3.1","0.00","10.8","0","0","0","0","0","0"
"47","2018","-","-","-","-","-","-","-","-","-","-","-"
"48","2019","-","-","-","-","-","-","-","-","-","-","-"
