"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","9.6","14.1","5.4","-","9.5","196","18","19","71","0","8"
"2","1974","9.9","14.0","5.9","-","12.4","226","6","30","59","0","6"
"3","1975","9.8","13.9","5.8","511.57","11.3","205","19","23","84","0","7"
"4","1976","10.1","14.7","5.3","420.88","12.9","160","13","20","70","0","2"
"5","1977","9.7","13.6","5.8","668.01","15.1","246","22","23","66","0","14"
"6","1978","9.1","13.0","5.2","481.79","14.1","217","30","23","79","1","4"
"7","1979","8.9","13.0","5.0","-","14.3","232","38","17","68","0","8"
"8","1980","9.2","13.0","5.4","748.54","15.2","227","27","25","69","0","5"
"9","1981","9.6","13.4","6.1","704.38","14.6","247","35","23","69","0","13"
"10","1982","10.2","14.4","6.0","-","14.3","205","13","30","58","1","5"
"11","1983","10.3","14.5","6.1","597.64","15.3","208","21","31","56","0","10"
"12","1984","9.7","13.7","5.7","758.43","13.5","224","19","22","61","1","7"
"13","1985","8.7","12.8","4.7","648.90","13.4","203","39","23","58","1","6"
"14","1986","9.2","13.3","5.1","1078.22","15.2","211","35","18","58","0","10"
"15","1987","9.1","12.8","5.3","774.86","13.1","216","37","16","67","0","5"
"16","1988","10.5","14.2","6.8","1061.89","13.7","228","25","21","48","0","7"
"17","1989","10.8","15.4","6.2","748.79","11.7","181","8","16","68","0","3"
"18","1990","10.9","15.5","6.2","810.01","13.6","194","13","18","38","0","3"
"19","1991","9.7","14.1","5.4","839.97","11.8","178","14","17","53","0","4"
"20","1992","10.4","14.5","6.3","886.24","10.5","225","3","35","37","0","7"
"21","1993","9.9","14.0","5.8","984.61","14.4","210","15","27","55","2","7"
"22","1994","11.0","15.1","7.1","1161.92","14.3","213","10","27","41","0","7"
"23","1995","10.8","15.0","6.7","743.29","14.1","205","26","20","53","0","5"
"24","1996","8.9","13.2","4.7","-","10.7","180","28","15","47","0","2"
"25","1997","10.5","15.1","6.1","686.10","8.0","185","9","23","53","0","2"
"26","1998","10.5","14.6","6.6","862.09","14.5","231","19","24","36","0","7"
"27","1999","-","-","-","-","-","-","-","-","-","-","-"
"28","2000","-","-","-","-","-","-","-","-","-","-","-"
"29","2001","-","-","-","-","-","-","-","-","-","-","-"
"30","2002","-","-","-","-","-","-","-","-","-","-","-"
"31","2003","-","-","-","-","-","-","-","-","-","-","-"
"32","2004","-","-","-","-","-","-","-","-","-","-","-"
"33","2005","-","-","-","-","-","-","-","-","-","-","-"
"34","2006","-","-","-","-","-","-","-","-","-","-","-"
"35","2007","-","-","-","-","-","-","-","-","-","-","-"
"36","2008","-","-","-","-","-","-","-","-","-","-","-"
"37","2009","-","-","-","-","-","-","-","-","-","-","-"
"38","2010","9.2","13.4","5.1","-","13.1","197","57","2","67","0","0"
"39","2011","11.3","15.9","6.9","-","13.8","209","9","3","47","0","1"
"40","2012","10.3","14.5","6.1","-","13.7","241","16","5","63","0","0"
"41","2013","9.6","13.7","5.7","-","-","192","36","3","52","0","3"
"42","2014","11.4","15.8","7.2","-","13.0","183","2","0","36","0","0"
"43","2015","10.9","15.2","6.4","-","14.2","203","7","0","40","0","0"
"44","2016","10.7","14.9","6.5","-","13.2","235","14","0","61","0","0"
"45","2017","11.0","15.2","6.4","-","13.1","224","20","0","56","0","0"
"46","2018","-","-","-","-","-","-","-","-","-","-","-"
"47","2019","-","-","-","-","-","-","-","-","-","-","-"
