"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1958","-","-","-","-","-","-","-","-","-","-","-"
"2","1959","-","-","-","-","-","-","-","-","-","-","-"
"3","1976","-","-","-","-","-","-","-","-","-","-","-"
"4","1977","-","-","-","-","-","-","-","-","-","-","-"
"5","1978","-","-","-","-","-","-","-","-","-","-","-"
"6","1979","-","-","-","-","-","-","-","-","-","-","-"
"7","1980","-","-","-","-","-","-","-","-","-","-","-"
"8","1981","-","-","-","-","-","-","-","-","-","-","-"
"9","1982","-","-","-","-","-","-","-","-","-","-","-"
"10","1983","-","-","-","-","-","-","-","-","-","-","-"
"11","1984","-","-","-","-","-","-","-","-","-","-","-"
"12","1985","-","-","-","-","-","-","-","-","-","-","-"
"13","1986","-","-","-","-","-","-","-","-","-","-","-"
"14","1987","-","-","-","-","-","-","-","-","-","-","-"
"15","1988","-","-","-","-","-","-","-","-","-","-","-"
"16","1989","-","-","-","-","-","-","-","-","-","-","-"
"17","1990","-","-","-","-","-","-","-","-","-","-","-"
"18","1991","-","-","-","-","-","85","0","38","40","0","1"
"19","1992","-","-","-","-","-","-","-","-","-","-","-"
"20","1993","-","-","-","-","-","-","-","-","-","-","-"
"21","1994","25.0","29.3","18.5","1414.52","10.1","73","0","38","53","0","0"
"22","1995","25.3","29.7","18.6","1079.76","11.2","69","0","37","56","0","0"
"23","1996","24.9","29.8","18.5","1024.87","10.8","70","0","45","40","0","0"
"24","1997","25.4","29.9","19.4","1042.94","11.2","62","0","33","45","0","0"
"25","1998","25.0","29.1","19.2","822.97","9.9","60","0","24","47","0","0"
"26","1999","-","-","-","-","-","-","-","-","-","-","-"
"27","2000","24.7","29.5","18.7","-","9.6","54","1","24","34","0","0"
"28","2001","25.3","29.8","19.3","-","-","60","0","29","59","0","1"
"29","2002","-","-","-","-","-","-","-","-","-","-","-"
"30","2003","25.2","29.7","18.9","1126.29","10.5","50","0","23","26","0","0"
"31","2004","-","-","-","-","-","-","-","-","-","-","-"
"32","2005","-","-","-","-","-","-","-","-","-","-","-"
"33","2006","25.1","29.3","18.9","-","9.3","56","0","12","24","0","0"
"34","2007","-","-","-","-","-","-","-","-","-","-","-"
"35","2008","24.8","29.0","18.5","-","10.0","54","0","10","22","0","0"
"36","2009","24.9","29.0","19.6","-","9.7","57","0","19","27","0","0"
"37","2010","25.1","29.7","19.1","-","11.0","40","0","14","21","0","0"
"38","2011","25.2","29.3","19.6","-","9.4","50","0","12","21","0","0"
"39","2012","25.1","29.5","19.7","-","9.1","54","0","18","36","0","0"
"40","2013","24.7","28.7","19.4","-","8.8","58","1","26","39","0","0"
"41","2014","25.0","29.0","20.0","-","10.2","57","0","20","37","0","0"
"42","2015","25.6","29.8","20.3","-","9.7","42","0","11","39","0","0"
"43","2016","-","-","-","-","-","51","0","20","16","0","0"
"44","2017","25.2","29.8","19.7","-","11.0","54","0","25","34","0","0"
"45","2018","24.9","29.5","19.0","-","12.0","50","0","23","30","0","0"
"46","2019","-","-","-","-","-","-","-","-","-","-","-"
