"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","23.5","29.9","18.9","-","13.6","99","1","79","12","2","1"
"2","1974","22.7","28.6","18.2","-","13.6","113","1","78","16","0","1"
"3","1975","-","-","-","-","-","100","1","67","16","0","0"
"4","1976","22.5","28.1","18.0","-","14.8","123","1","69","15","0","0"
"5","1977","-","-","-","-","-","-","-","-","-","-","-"
"6","1978","-","-","-","-","-","-","-","-","-","-","-"
"7","1979","-","-","-","-","-","-","-","-","-","-","-"
"8","1980","23.4","28.7","19.4","-","15.8","83","0","40","13","0","0"
"9","1981","23.3","28.8","19.3","-","16.1","68","0","47","4","0","0"
"10","1982","-","-","-","-","-","-","-","-","-","-","-"
"11","1983","-","-","-","-","-","-","-","-","-","-","-"
"12","1984","23.7","30.6","19.3","1377.20","15.2","87","0","68","9","1","2"
"13","1985","23.9","30.9","19.2","814.57","13.6","68","0","44","8","1","0"
"14","1986","23.7","30.2","19.4","1343.38","16.2","78","0","57","5","0","0"
"15","1987","23.6","30.1","19.2","1532.09","15.6","88","0","56","9","0","0"
"16","1988","24.0","30.8","19.3","940.85","15.6","84","0","28","8","0","0"
"17","1989","23.1","30.0","18.5","1521.47","15.6","103","1","49","9","0","0"
"18","1990","23.5","30.8","18.6","1892.54","16.9","137","0","97","12","0","0"
"19","1991","24.0","31.2","19.3","1507.48","17.0","136","1","79","19","0","1"
"20","1992","23.5","30.5","18.9","730.26","16.7","139","0","92","20","0","0"
"21","1993","24.0","31.4","19.2","791.23","17.2","131","0","79","24","0","0"
"22","1994","25.7","33.0","20.8","-","18.0","121","2","83","15","0","0"
"23","1995","25.3","32.7","20.2","-","15.8","107","0","65","7","0","1"
"24","1996","24.5","31.5","19.8","1067.53","12.7","123","0","137","15","0","2"
"25","1997","24.7","31.5","20.0","1014.26","13.0","111","0","104","16","1","2"
"26","1998","24.7","31.1","20.6","947.42","11.1","117","0","96","13","0","2"
"27","1999","24.9","32.2","20.0","-","12.0","96","0","101","9","0","1"
"28","2000","24.4","31.4","19.8","-","12.4","138","0","129","20","0","2"
"29","2001","24.6","31.5","20.1","-","13.2","140","0","137","8","0","0"
"30","2002","-","-","-","-","-","-","-","-","-","-","-"
"31","2003","25.4","32.7","20.6","-","18.0","130","0","98","18","0","0"
"32","2004","25.6","33.1","20.7","-","18.2","125","0","77","18","0","0"
"33","2005","-","-","-","-","-","-","-","-","-","-","-"
"34","2006","25.8","33.0","21.2","-","17.8","130","0","87","12","0","0"
"35","2007","25.5","32.7","20.7","-","17.2","115","0","90","18","0","1"
"36","2008","22.7","29.1","18.0","-","14.6","133","0","102","21","0","1"
"37","2009","23.5","29.9","19.0","-","14.7","138","0","134","22","0","1"
"38","2010","22.1","28.9","17.4","-","15.7","111","0","102","27","0","0"
"39","2011","23.8","30.2","19.1","-","15.4","116","0","121","17","0","1"
"40","2012","24.3","30.6","19.7","-","15.6","130","0","148","10","0","1"
"41","2013","23.4","29.3","18.9","-","13.7","136","0","128","14","0","2"
"42","2014","23.2","29.3","18.8","-","13.3","143","0","121","13","0","0"
"43","2015","23.9","29.9","19.5","-","13.5","134","0","125","20","0","0"
"44","2016","23.1","28.8","18.5","-","12.9","146","0","106","22","0","1"
"45","2017","23.6","29.4","19.1","-","13.9","145","0","126","15","0","1"
"46","2018","23.8","29.4","19.3","-","13.6","118","0","103","13","0","0"
"47","2019","-","-","-","-","-","-","-","-","-","-","-"
