"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1953","-","-","-","-","-","-","-","-","-","-","-"
"2","1954","-","-","-","-","-","-","-","-","-","-","-"
"3","1955","-","-","-","-","-","-","-","-","-","-","-"
"4","1956","-","-","-","-","-","-","-","-","-","-","-"
"5","1957","-","-","-","-","-","-","-","-","-","-","-"
"6","1958","-","-","-","-","-","-","-","-","-","-","-"
"7","1959","12.2","16.9","8.1","-","15.4","77","9","7","25","0","2"
"8","1960","-","-","-","-","-","-","-","-","-","-","-"
"9","1964","-","-","-","-","-","-","-","-","-","-","-"
"10","1965","12.3","16.9","8.8","-","12.6","76","15","2","20","0","0"
"11","1966","14.1","18.9","10.6","-","12.0","97","6","3","22","0","0"
"12","1967","12.5","17.3","8.8","-","10.4","62","22","3","53","0","0"
"13","1973","11.7","16.7","7.5","1203.21","10.0","127","28","38","49","0","0"
"14","1974","11.9","16.7","7.7","358.09","13.4","117","17","31","45","0","2"
"15","1975","12.5","17.3","8.4","477.26","7.5","119","19","38","34","0","3"
"16","1976","11.1","15.8","7.1","530.61","14.1","130","28","33","51","0","2"
"17","1977","12.0","17.0","7.8","914.70","15.5","117","20","38","53","0","0"
"18","1978","11.7","16.7","7.7","826.51","16.6","142","20","33","42","0","2"
"19","1979","12.5","17.5","8.4","739.17","15.3","146","17","50","39","0","3"
"20","1980","11.5","16.3","7.5","752.10","11.7","114","19","30","47","0","2"
"21","1981","12.1","17.5","7.8","692.90","12.4","116","34","33","39","0","0"
"22","1982","11.9","17.0","7.7","504.93","11.6","107","20","35","39","0","0"
"23","1983","11.9","17.3","7.4","437.41","12.7","116","25","43","36","0","1"
"24","1984","11.9","17.3","7.4","466.55","14.9","142","22","38","44","0","1"
"25","1985","12.0","17.4","7.1","503.65","15.0","128","26","25","47","0","1"
"26","1986","12.3","17.6","7.5","515.61","14.5","126","25","36","37","0","0"
"27","1987","10.8","16.7","6.1","460.75","17.9","113","37","23","49","0","0"
"28","1988","11.8","17.1","7.3","544.08","14.2","130","32","26","32","1","0"
"29","1989","12.2","17.9","7.0","514.82","13.8","104","8","34","41","0","0"
"30","1990","12.7","18.8","7.3","669.77","14.0","118","8","37","47","0","0"
"31","1991","11.4","16.7","7.0","602.47","14.2","127","24","40","65","0","0"
"32","1992","11.8","18.1","6.4","430.25","13.8","104","20","38","26","0","0"
"33","1993","11.6","17.5","6.3","550.72","14.2","103","32","38","58","0","1"
"34","1994","13.4","18.9","8.4","495.29","14.6","101","11","33","48","2","2"
"35","1995","12.3","17.8","7.3","678.69","15.3","132","27","41","36","0","2"
"36","1997","11.3","17.1","6.4","713.96","14.2","144","21","44","34","0","0"
"37","1998","12.3","17.9","7.4","678.47","14.5","118","26","36","47","0","1"
"38","1999","13.3","18.8","8.9","541.71","14.7","125","16","51","47","0","0"
"39","2000","13.0","18.5","8.1","-","15.6","99","18","32","47","0","0"
"40","2001","13.3","18.7","8.6","-","17.2","115","29","44","35","0","0"
"41","2002","-","-","-","-","-","130","16","50","41","0","0"
"42","2003","11.9","17.3","7.1","888.74","14.2","113","36","24","42","0","0"
"43","2004","12.5","18.1","7.7","824.72","13.5","143","30","52","37","0","0"
"44","2005","-","-","-","-","-","-","-","-","-","-","-"
"45","2006","12.3","17.9","7.7","495.51","13.8","110","28","41","52","0","0"
"46","2007","13.5","19.3","8.6","483.91","14.2","139","15","31","39","0","0"
"47","2008","13.2","18.7","8.2","554.95","13.3","124","21","44","48","0","0"
"48","2009","13.2","18.4","8.4","975.88","13.3","130","25","39","56","0","0"
"49","2010","13.3","18.4","8.9","1517.87","13.5","158","31","49","57","0","0"
"50","2011","12.1","17.5","7.5","788.41","14.5","127","21","24","55","0","0"
"51","2012","13.5","19.1","8.6","547.15","15.3","122","26","37","44","1","2"
"52","2013","13.4","18.9","8.7","706.37","14.4","123","22","30","52","0","0"
"53","2014","13.6","18.6","9.3","1270.50","14.6","169","9","46","71","0","0"
"54","2015","13.5","18.9","8.9","504.67","15.1","118","5","28","41","0","1"
"55","2016","13.7","19.3","8.7","493.75","15.0","117","11","35","26","0","2"
"56","2017","13.4","18.7","8.3","616.45","15.4","122","15","25","61","0","1"
"57","2018","14.1","19.0","9.6","659.61","14.6","144","18","40","49","0","1"
"58","2019","-","-","-","-","-","-","-","-","-","-","-"
