"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1996","-","-","-","-","-","-","-","-","-","-","-"
"2","1997","-","-","-","-","-","-","-","-","-","-","-"
"3","1998","-","-","-","-","-","-","-","-","-","-","-"
"4","1999","-","-","-","-","-","-","-","-","-","-","-"
"5","2000","-","-","-","-","-","-","-","-","-","-","-"
"6","2001","-","-","-","-","-","-","-","-","-","-","-"
"7","2002","-","-","-","-","-","-","-","-","-","-","-"
"8","2003","-1.6","3.1","-5.2","1044.47","17.1","0","0","0","0","0","0"
"9","2004","2.1","7.1","-2.3","858.20","17.0","0","0","0","0","0","0"
"10","2005","-","-","-","-","-","-","-","-","-","-","-"
"11","2006","4.0","8.8","-0.2","1096.79","16.3","0","0","0","0","0","0"
"12","2007","2.3","7.6","-2.1","1020.05","17.0","0","0","0","0","0","0"
"13","2008","2.8","7.7","-1.5","1330.96","15.7","0","0","0","0","0","0"
"14","2009","2.9","7.8","-1.4","927.84","-","0","0","0","0","0","0"
"15","2010","5.6","10.5","1.6","1145.29","-","0","0","0","0","0","0"
"16","2011","-","-","-","-","-","-","-","-","-","-","-"
"17","2012","-","-","-","-","-","0","0","0","0","0","0"
"18","2013","-","-","-","-","-","-","-","-","-","-","-"
"19","2014","3.3","8.1","-1.1","1066.21","14.6","0","0","0","0","0","0"
"20","2015","2.8","8.0","-1.6","965.68","14.6","0","0","0","0","0","0"
"21","2016","3.4","8.5","-1.1","1047.95","14.3","0","0","0","0","0","0"
"22","2017","2.9","8.0","-1.4","1199.07","14.9","0","0","0","0","0","0"
"23","2018","2.6","7.7","-1.7","997.40","14.9","0","0","0","0","0","0"
"24","2019","-","-","-","-","-","-","-","-","-","-","-"
