"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","-","-","-","-","-","-","-","-","-","-","-"
"2","1974","-","-","-","-","-","-","-","-","-","-","-"
"3","1975","-","-","-","-","-","-","-","-","-","-","-"
"4","1976","-","-","-","-","-","-","-","-","-","-","-"
"5","1977","-","-","-","-","-","-","-","-","-","-","-"
"6","1978","-","-","-","-","-","-","-","-","-","-","-"
"7","1979","-","-","-","-","-","-","-","-","-","-","-"
"8","1985","-","-","-","-","-","-","-","-","-","-","-"
"9","1986","-","-","-","-","-","-","-","-","-","-","-"
"10","1987","-","-","-","-","-","-","-","-","-","-","-"
"11","1988","-","-","-","-","-","-","-","-","-","-","-"
"12","1989","-","-","-","-","-","-","-","-","-","-","-"
"13","1990","-","-","-","-","-","-","-","-","-","-","-"
"14","1991","-","-","-","-","-","-","-","-","-","-","-"
"15","1992","-","-","-","-","-","-","-","-","-","-","-"
"16","1993","28.3","35.9","21.4","437.12","9.7","47","1","59","1","0","1"
"17","1994","28.2","35.4","21.6","825.23","11.5","54","0","64","0","0","1"
"18","1995","28.3","35.4","21.8","-","12.0","48","0","53","0","1","0"
"19","1996","28.7","36.3","21.9","-","13.8","46","0","67","0","0","0"
"20","1997","-","-","-","-","-","-","-","-","-","-","-"
"21","1998","-","-","-","-","-","-","-","-","-","-","-"
"22","1999","-","-","-","-","-","-","-","-","-","-","-"
"23","2000","-","-","-","-","-","-","-","-","-","-","-"
"24","2001","28.1","36.3","20.7","-","13.1","53","0","53","0","0","0"
"25","2002","-","-","-","-","-","-","-","-","-","-","-"
"26","2003","28.4","36.5","21.4","713.73","11.4","50","0","55","0","0","0"
"27","2004","28.6","36.9","21.4","586.48","12.1","46","0","63","2","1","0"
"28","2005","-","-","-","-","-","-","-","-","-","-","-"
"29","2006","-","-","-","-","-","46","0","74","0","0","1"
"30","2007","28.8","36.9","21.6","-","12.0","56","0","88","0","0","0"
"31","2008","-","-","-","-","-","-","-","-","-","-","-"
"32","2009","29.3","37.5","22.1","-","11.9","57","0","92","0","0","0"
"33","2010","29.4","37.2","22.4","-","12.2","59","0","93","0","1","1"
"34","2011","28.9","37.0","21.4","-","12.7","59","1","97","0","0","0"
"35","2012","28.7","36.4","21.7","-","11.7","64","0","107","0","0","0"
"36","2013","29.4","37.5","22.1","-","11.5","70","0","93","0","0","0"
"37","2014","29.0","36.6","22.0","-","11.5","55","0","96","0","0","0"
"38","2015","29.0","36.3","21.9","-","11.6","55","0","98","0","2","0"
"39","2016","29.3","36.6","22.2","-","11.3","55","0","105","0","0","0"
"40","2017","29.3","36.7","22.1","-","11.6","47","0","76","0","0","1"
"41","2018","29.1","36.3","21.7","-","11.9","55","0","92","0","0","0"
"42","2019","-","-","-","-","-","-","-","-","-","-","-"
