"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","2004","-","-","-","-","-","-","-","-","-","-","-"
"2","2005","-","-","-","-","-","-","-","-","-","-","-"
"3","2006","12.3","16.0","7.0","-","10.9","149","0","0","95","0","0"
"4","2007","12.1","15.6","7.3","-","10.7","132","0","1","75","0","0"
"5","2008","14.0","17.6","8.6","-","11.3","103","0","1","53","0","0"
"6","2009","13.2","16.1","8.5","-","11.9","122","0","0","51","0","1"
"7","2010","13.0","15.8","8.5","-","10.6","115","0","0","61","0","1"
"8","2011","13.3","16.4","8.3","-","8.1","110","0","0","70","0","0"
"9","2012","13.3","16.2","8.5","-","9.8","125","0","0","57","0","0"
"10","2013","14.0","17.0","9.0","-","9.9","114","0","0","59","0","0"
"11","2014","13.4","16.2","8.8","-","9.5","130","0","1","69","0","2"
"12","2015","-","-","-","-","-","113","0","0","66","0","0"
"13","2016","14.2","17.6","8.6","-","9.0","104","0","1","84","0","0"
"14","2017","13.4","16.4","8.7","-","9.5","127","0","2","52","0","0"
"15","2018","12.9","16.1","8.0","-","9.5","117","0","1","61","0","3"
"16","2019","-","-","-","-","-","-","-","-","-","-","-"
