"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1962","-","-","-","-","-","-","-","-","-","-","-"
"2","1964","-","-","-","-","-","-","-","-","-","-","-"
"3","1973","-2.0","5.8","-10.0","-","10.7","118","75","29","2","1","0"
"4","1974","-3.8","3.2","-11.0","-","9.8","97","85","31","6","0","1"
"5","1975","-4.4","2.6","-11.3","-","8.7","99","94","25","4","0","4"
"6","1976","-4.7","2.0","-11.5","-","8.7","120","92","38","5","0","4"
"7","1977","-4.6","2.3","-11.9","-","8.1","101","125","40","13","0","4"
"8","1978","-3.8","3.2","-11.0","-","8.0","109","100","30","7","0","5"
"9","1979","-4.9","1.5","-11.4","-","9.0","105","139","36","14","0","3"
"10","1980","-4.7","2.0","-11.6","542.33","9.3","97","136","30","12","0","2"
"11","1981","-5.5","1.2","-12.4","565.94","10.0","100","112","25","7","0","4"
"12","1982","-4.4","2.6","-11.3","272.58","9.8","92","115","33","6","0","3"
"13","1983","-3.9","3.2","-10.8","203.20","9.9","100","107","34","11","0","3"
"14","1984","-6.2","0.5","-13.0","210.82","9.5","78","125","26","10","0","3"
"15","1985","-5.1","1.9","-12.2","214.04","9.0","69","100","21","5","0","1"
"16","1986","-4.9","1.8","-11.8","245.11","9.7","75","103","29","8","1","7"
"17","1987","-5.5","0.8","-12.0","247.37","9.1","80","153","32","10","0","6"
"18","1988","-5.1","1.5","-11.9","264.70","8.7","84","132","26","11","0","3"
"19","1989","-3.7","3.1","-10.5","294.90","10.2","89","93","32","12","0","3"
"20","1990","-3.6","3.5","-11.0","229.43","9.5","92","103","28","11","0","2"
"21","1991","-3.8","3.4","-11.1","349.27","9.8","88","95","20","6","0","1"
"22","1992","-4.4","2.8","-11.7","392.86","11.0","86","95","25","5","0","1"
"23","1993","-4.4","2.3","-11.3","356.37","11.3","85","98","19","6","0","0"
"24","1994","-4.3","2.1","-10.9","455.66","10.7","90","116","31","10","0","3"
"25","1995","-6.2","0.8","-13.1","214.89","9.0","85","83","28","24","0","2"
"26","1996","-5.6","1.3","-12.4","299.72","8.8","76","115","20","11","0","2"
"27","1997","-3.8","3.7","-11.2","273.62","8.8","65","80","33","12","0","2"
"28","1998","-1.5","5.9","-9.0","246.87","10.4","84","79","24","2","0","0"
"29","1999","-2.5","4.7","-9.3","-","10.2","85","82","25","8","0","1"
"30","2000","-5.1","1.4","-11.8","449.35","8.1","91","108","26","21","0","5"
"31","2001","-3.2","3.9","-10.4","365.01","9.2","92","89","22","11","0","2"
"32","2002","-","-","-","-","-","-","-","-","-","-","-"
"33","2003","-2.4","4.9","-9.9","221.18","12.8","69","69","11","7","0","0"
"34","2004","-3.2","3.8","-10.9","288.77","12.1","62","100","17","20","0","2"
"35","2005","-","-","-","-","-","-","-","-","-","-","-"
"36","2006","-3.2","4.0","-10.5","312.59","9.7","90","99","25","15","0","2"
"37","2007","-1.9","5.9","-9.4","328.71","11.4","86","66","21","13","0","3"
"38","2008","-2.0","5.6","-9.5","349.96","10.7","86","68","34","12","0","2"
"39","2009","-2.9","4.5","-10.4","344.91","10.8","90","86","24","7","0","1"
"40","2010","-4.3","2.4","-11.3","443.49","10.5","83","87","22","14","0","1"
"41","2011","-4.6","2.5","-11.9","362.45","9.9","84","59","23","16","0","1"
"42","2012","-3.0","4.6","-10.9","291.53","11.0","74","50","17","6","0","1"
"43","2013","-3.8","3.6","-11.3","250.13","10.3","79","49","15","10","0","0"
"44","2014","-4.5","3.0","-12.2","272.02","11.5","47","24","0","11","0","1"
"45","2015","-3.4","3.6","-10.7","350.51","11.1","60","28","0","20","0","0"
"46","2016","-3.0","3.6","-10.2","479.54","10.7","59","31","0","12","0","0"
"47","2017","-3.4","3.6","-10.9","381.23","10.3","49","35","0","10","0","0"
"48","2018","-3.6","3.1","-10.7","-","11.1","44","54","0","32","0","0"
"49","2019","-","-","-","-","-","-","-","-","-","-","-"
