"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","-","-","-","-","-","-","-","-","-","-","-"
"2","1975","-","-","-","-","-","-","-","-","-","-","-"
"3","1976","-","-","-","-","-","-","-","-","-","-","-"
"4","1977","-","-","-","-","-","-","-","-","-","-","-"
"5","1978","-","-","-","-","-","-","-","-","-","-","-"
"6","1979","-","-","-","-","-","-","-","-","-","-","-"
"7","1980","-","-","-","-","-","-","-","-","-","-","-"
"8","1991","-","-","-","-","-","-","-","-","-","-","-"
"9","1992","-","-","-","-","-","-","-","-","-","-","-"
"10","1993","-","-","-","-","-","-","-","-","-","-","-"
"11","1994","-","-","-","-","-","-","-","-","-","-","-"
"12","1995","-","-","-","-","-","-","-","-","-","-","-"
"13","1996","-","-","-","-","-","-","-","-","-","-","-"
"14","1997","24.5","26.9","22.7","768.33","18.1","77","0","2","0","0","0"
"15","1998","-","-","-","-","-","-","-","-","-","-","-"
"16","1999","24.5","27.0","22.6","-","16.3","112","0","6","0","0","0"
"17","2000","24.4","26.9","22.4","-","15.8","117","0","3","0","0","0"
"18","2001","24.5","26.9","22.4","-","15.6","115","0","4","8","0","0"
"19","2002","-","-","-","-","-","-","-","-","-","-","-"
"20","2003","24.7","27.1","22.8","652.86","17.2","64","0","4","5","0","0"
"21","2004","24.5","27.0","22.6","712.50","-","52","0","3","1","0","0"
"22","2005","-","-","-","-","-","-","-","-","-","-","-"
"23","2006","24.6","27.0","22.7","620.53","17.3","111","0","0","3","0","0"
"24","2007","24.6","27.1","22.7","842.02","15.6","107","0","0","2","0","0"
"25","2008","24.3","26.7","22.5","994.68","16.6","108","0","0","2","0","0"
"26","2009","24.6","27.0","22.6","1096.85","15.3","71","0","2","1","0","0"
"27","2010","25.0","27.3","23.0","2064.47","14.3","7","0","1","0","0","0"
"28","2011","24.4","26.9","22.5","1261.14","15.2","0","0","0","0","0","0"
"29","2012","24.8","27.3","22.9","1370.66","-","15","0","0","0","0","0"
"30","2013","25.1","27.6","23.1","1300.04","15.2","212","0","0","0","0","0"
"31","2014","-","-","-","-","-","-","-","-","-","-","-"
"32","2015","25.1","27.4","23.4","-","15.5","191","0","1","0","0","1"
"33","2016","25.6","27.8","23.8","-","13.6","273","0","3","0","0","3"
"34","2017","24.9","27.0","23.2","-","15.7","263","0","2","0","0","2"
"35","2018","-","-","-","-","-","-","-","-","-","-","-"
"36","2019","-","-","-","-","-","-","-","-","-","-","-"
