"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1996","15.0","18.6","11.5","1866.15","13.4","144","6","47","4","0","0"
"2","1997","15.5","19.2","11.8","1045.42","16.7","96","1","39","4","0","1"
"3","1998","16.0","19.8","12.3","1096.00","16.4","115","1","47","3","0","0"
"4","1999","16.2","19.9","12.4","915.34","16.3","122","3","72","1","0","1"
"5","2000","16.4","20.2","12.6","-","16.7","103","3","53","0","0","1"
"6","2001","16.1","19.8","12.3","-","17.7","126","2","51","3","0","0"
"7","2002","-","-","-","-","-","141","1","55","9","0","2"
"8","2003","16.6","20.4","12.8","1098.57","17.3","103","3","48","10","0","1"
"9","2004","15.9","19.6","12.2","1279.94","15.9","145","3","47","19","0","4"
"10","2005","-","-","-","-","-","-","-","-","-","-","-"
"11","2006","15.7","19.6","11.8","1083.32","15.1","138","2","51","21","0","1"
"12","2007","16.5","20.5","12.5","997.71","16.0","129","0","34","9","0","1"
"13","2008","16.4","20.2","12.4","1122.42","17.0","134","0","36","5","0","1"
"14","2009","16.3","19.8","12.4","1843.03","17.9","148","2","44","14","0","3"
"15","2010","15.9","19.3","12.2","2026.44","17.6","165","7","58","8","0","3"
"16","2011","16.6","20.4","12.5","1099.53","17.0","101","4","33","8","1","2"
"17","2012","16.5","20.2","12.4","1363.72","17.6","119","15","36","2","0","4"
"18","2013","16.5","19.9","12.5","1965.43","17.3","141","4","48","13","0","3"
"19","2014","16.3","19.8","12.6","1911.59","16.5","168","2","51","10","0","3"
"20","2015","16.9","20.8","12.5","1289.03","16.8","120","2","43","7","0","1"
"21","2016","16.4","20.3","12.2","1125.46","17.3","134","2","43","13","0","1"
"22","2017","16.3","20.0","12.0","861.81","17.9","108","3","35","9","0","1"
"23","2018","17.2","20.6","13.1","1300.21","17.0","148","5","62","13","0","1"
"24","2019","-","-","-","-","-","-","-","-","-","-","-"
