"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","2004","-","-","-","-","-","-","-","-","-","-","-"
"2","2005","-","-","-","-","-","-","-","-","-","-","-"
"3","2006","-","-","-","-","-","-","-","-","-","-","-"
"4","2008","-","-","-","-","-","-","-","-","-","-","-"
"5","2009","-","-","-","-","-","-","-","-","-","-","-"
"6","2010","-","-","-","-","-","-","-","-","-","-","-"
"7","2011","-","-","-","-","-","-","-","-","-","-","-"
"8","2012","25.8","29.0","23.2","1324.49","16.0","90","0","45","1","0","0"
"9","2013","-","-","-","-","-","-","-","-","-","-","-"
"10","2014","-","-","-","-","-","-","-","-","-","-","-"
"11","2015","-","-","-","-","-","-","-","-","-","-","-"
"12","2016","-","-","-","-","-","-","-","-","-","-","-"
