"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1976","-","-","-","-","-","-","-","-","-","-","-"
"2","1977","8.8","-","-","-","20.1","179","38","8","46","0","4"
"3","1978","8.5","-","-","-","19.6","173","50","7","31","0","4"
"4","1979","-","-","-","-","-","-","-","-","-","-","-"
"5","1980","-","-","-","-","-","-","-","-","-","-","-"
"6","1981","7.7","10.3","4.3","-","19.7","190","53","12","84","0","13"
"7","1982","8.6","11.3","5.5","-","19.7","175","22","15","87","0","9"
"8","1983","8.9","11.4","5.8","-","21.2","210","40","11","62","0","12"
"9","1984","8.3","10.8","5.5","-","19.6","195","46","17","63","0","13"
"10","1985","6.5","9.3","3.1","-","17.9","190","66","10","90","1","9"
"11","1986","7.1","10.0","3.8","-","18.7","199","46","12","65","0","4"
"12","1987","6.5","9.2","3.6","-","17.7","202","38","10","91","0","4"
"13","1988","8.9","11.7","5.5","-","18.7","234","32","25","64","0","13"
"14","1989","9.5","12.8","5.4","592.39","19.0","196","13","6","58","0","5"
"15","1990","9.6","12.6","5.8","812.48","19.5","208","17","13","49","0","9"
"16","1991","8.7","11.7","4.7","818.40","18.7","188","18","11","67","0","9"
"17","1992","9.5","12.7","5.3","883.94","18.7","197","11","19","63","0","9"
"18","1993","8.1","10.9","4.6","-","18.8","176","32","8","53","0","9"
"19","1994","9.1","11.8","5.6","-","18.9","173","31","14","52","0","2"
"20","1995","8.7","11.7","4.9","-","18.0","161","44","5","75","0","7"
"21","1996","7.1","10.2","3.8","-","17.7","128","43","7","75","0","2"
"22","1997","8.9","11.8","5.2","8.13","18.1","161","19","10","75","0","1"
"23","1998","8.9","11.2","6.0","10.17","19.2","197","20","8","58","0","3"
"24","1999","9.6","12.2","6.1","-","18.4","181","29","19","50","1","6"
"25","2000","9.7","12.6","6.2","-","19.1","197","17","14","48","0","3"
"26","2001","8.7","11.7","4.8","-","17.1","174","36","14","74","0","3"
"27","2002","-","-","-","-","-","180","13","13","49","0","5"
"28","2003","9.2","12.4","4.9","215.40","16.4","158","24","8","59","0","1"
"29","2004","9.1","12.3","5.2","588.03","16.8","180","30","15","51","1","3"
"30","2005","-","-","-","-","-","-","-","-","-","-","-"
"31","2006","10.7","-","4.5","360.76","15.4","221","41","11","61","0","2"
"32","2007","10.3","-","5.5","-","17.4","240","20","8","59","0","1"
"33","2008","9.6","13.1","5.5","471.48","17.4","240","25","9","49","0","1"
"34","2009","9.0","12.7","5.0","390.96","15.6","224","31","10","94","1","0"
"35","2010","7.0","10.7","2.9","-","16.2","197","76","5","95","0","0"
"36","2011","9.1","12.5","5.1","-","18.8","214","17","8","100","0","1"
"37","2012","8.4","11.5","4.8","-","18.6","239","33","5","80","0","0"
"38","2013","8.4","11.6","4.6","-","16.1","210","44","3","93","0","1"
"39","2014","10.3","13.5","6.8","-","15.4","227","15","11","83","1","0"
"40","2015","9.4","12.3","6.2","-","17.4","233","12","4","71","0","1"
"41","2016","9.3","12.6","5.7","-","15.9","235","23","5","84","0","1"
"42","2017","9.2","12.1","5.8","-","16.9","245","16","5","87","0","0"
"43","2018","9.8","13.0","6.0","-","17.0","204","39","6","82","0","0"
"44","2019","-","-","-","-","-","-","-","-","-","-","-"
