"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1944","-","-","-","-","-","-","-","-","-","-","-"
"2","1945","-","-","-","-","-","-","-","-","-","-","-"
"3","1946","24.9","29.1","21.1","1549.35","7.8","51","0","2","0","0","0"
"4","1947","-","-","-","-","-","-","-","-","-","-","-"
"5","1948","25.4","29.6","21.7","1779.48","7.2","34","0","2","0","0","0"
"6","1949","25.2","29.1","20.9","1371.09","8.0","19","0","0","0","0","0"
"7","1950","24.7","28.5","20.6","2160.50","8.2","49","0","0","0","0","0"
"8","1951","24.9","29.2","19.6","-","6.5","85","0","6","0","0","0"
"9","1952","25.2","29.3","19.7","-","6.5","99","0","15","0","0","0"
"10","1953","25.2","29.8","20.4","-","6.2","106","0","6","0","0","0"
"11","1954","25.0","29.5","20.4","-","7.5","122","0","7","0","0","0"
"12","1955","24.7","29.2","19.5","-","6.7","128","0","9","0","0","0"
"13","1956","24.7","29.3","20.1","-","7.7","123","0","13","0","0","0"
"14","1957","-","-","-","-","-","-","-","-","-","-","-"
"15","1973","-","-","-","-","-","-","-","-","-","-","-"
"16","1974","-","-","-","-","-","-","-","-","-","-","-"
"17","1975","-","-","-","-","-","-","-","-","-","-","-"
"18","1976","-","-","-","-","-","-","-","-","-","-","-"
"19","1977","-","-","-","-","-","-","-","-","-","-","-"
"20","1978","-","-","-","-","-","-","-","-","-","-","-"
"21","1979","-","-","-","-","-","-","-","-","-","-","-"
"22","1980","-","-","-","-","-","-","-","-","-","-","-"
"23","1981","26.2","30.9","19.9","1012.71","7.8","124","0","58","0","0","1"
"24","1982","26.4","31.4","19.4","1315.15","9.2","96","0","35","0","0","0"
"25","1983","26.6","31.3","19.7","1227.10","9.2","125","0","41","0","0","0"
"26","1984","26.1","31.0","17.8","1803.42","9.7","133","0","38","0","0","0"
"27","1985","26.3","31.5","18.1","1714.33","11.1","141","1","42","0","0","0"
"28","1986","-","-","-","-","-","163","2","38","0","0","0"
"29","1987","-","-","-","-","-","-","-","-","-","-","-"
"30","1988","-","-","-","-","-","-","-","-","-","-","-"
"31","1989","-","-","-","-","-","-","-","-","-","-","-"
"32","1990","-","-","-","-","-","-","-","-","-","-","-"
"33","1991","-","-","-","-","-","-","-","-","-","-","-"
"34","1992","-","-","-","-","-","-","-","-","-","-","-"
"35","1996","-","-","-","-","-","-","-","-","-","-","-"
"36","1997","28.3","30.8","24.2","23.11","13.2","51","0","23","0","0","0"
"37","1998","28.1","30.5","24.2","0.00","13.2","73","0","24","1","0","0"
"38","1999","27.5","29.9","23.4","-","11.9","82","0","37","0","0","0"
"39","2000","27.5","29.9","23.3","-","13.4","58","0","28","0","0","0"
"40","2001","27.2","30.1","22.9","-","-","82","0","25","0","0","0"
"41","2002","-","-","-","-","-","-","-","-","-","-","-"
"42","2003","27.7","30.6","23.2","-","11.7","70","0","19","0","0","0"
"43","2004","27.2","29.6","22.7","-","10.8","83","0","19","0","0","0"
"44","2005","-","-","-","-","-","-","-","-","-","-","-"
"45","2006","-","-","-","-","-","-","-","-","-","-","-"
"46","2007","27.2","30.2","22.9","-","10.6","135","0","78","0","0","0"
"47","2008","26.8","29.9","22.5","-","10.9","114","0","50","0","0","0"
"48","2009","26.7","29.8","22.4","-","12.3","119","0","65","0","0","0"
"49","2010","26.8","29.7","22.8","-","10.7","156","0","58","0","0","0"
"50","2011","27.1","30.2","22.6","-","11.5","120","0","49","1","0","0"
"51","2012","27.3","30.5","22.8","-","11.4","123","0","59","1","0","0"
"52","2013","27.5","30.8","23.0","-","12.1","110","0","51","0","0","0"
"53","2014","27.6","31.2","22.8","-","12.5","95","0","55","0","0","0"
"54","2015","27.5","31.0","23.0","-","12.7","94","0","65","0","0","0"
"55","2016","27.0","30.4","22.7","-","9.9","125","0","67","0","0","0"
"56","2017","26.7","30.1","22.3","-","10.4","123","0","44","1","0","0"
"57","2018","26.7","30.5","22.4","-","11.0","112","0","36","0","0","0"
"58","2019","-","-","-","-","-","-","-","-","-","-","-"
