"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","-","-","-","-","-","-","-","-","-","-","-"
"2","1974","-","-","-","-","-","-","-","-","-","-","-"
"3","1975","12.9","19.0","8.5","-","8.5","215","4","37","105","1","8"
"4","1976","13.6","20.2","8.6","-","9.6","215","2","39","100","0","1"
"5","1977","-","-","-","-","-","-","-","-","-","-","-"
"6","2011","-","-","-","-","-","-","-","-","-","-","-"
"7","2012","-","-","-","-","-","-","-","-","-","-","-"
"8","2013","-","-","-","-","-","-","-","-","-","-","-"
"9","2014","-","-","-","-","-","-","-","-","-","-","-"
"10","2015","-","-","-","-","-","-","-","-","-","-","-"
"11","2016","-","-","-","-","-","-","-","-","-","-","-"
"12","2017","-","-","-","-","-","-","-","-","-","-","-"
"13","2018","-","-","-","-","-","-","-","-","-","-","-"
"14","2019","-","-","-","-","-","-","-","-","-","-","-"
