"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1957","-","-","-","-","-","-","-","-","-","-","-"
"2","1958","21.8","29.7","14.2","13.20","10.2","3","0","0","0","0","0"
"3","1959","-","-","-","-","-","-","-","-","-","-","-"
"4","1960","-","-","-","-","-","-","-","-","-","-","-"
"5","1961","-","-","-","-","-","-","-","-","-","-","-"
"6","1962","-","-","-","-","-","-","-","-","-","-","-"
"7","1963","22.5","30.1","14.1","9.90","9.0","4","0","1","0","0","0"
"8","1964","21.8","29.3","13.5","0.00","10.0","5","0","0","0","0","0"
"9","1965","21.6","29.3","13.4","3.31","10.2","4","0","0","0","0","0"
"10","1966","-","-","-","-","-","-","-","-","-","-","-"
"11","1979","-","-","-","-","-","-","-","-","-","-","-"
"12","1980","-","-","-","-","-","-","-","-","-","-","-"
"13","1981","-","-","-","-","-","-","-","-","-","-","-"
"14","1982","-","-","-","-","-","-","-","-","-","-","-"
"15","1983","-","-","-","-","-","-","-","-","-","-","-"
"16","1984","-","-","-","-","-","-","-","-","-","-","-"
"17","1985","-","-","-","-","-","-","-","-","-","-","-"
"18","1986","-","-","-","-","-","-","-","-","-","-","-"
"19","1987","-","-","-","-","-","-","-","-","-","-","-"
"20","1988","-","-","-","-","-","-","-","-","-","-","-"
"21","1989","-","-","-","-","-","-","-","-","-","-","-"
"22","1990","22.8","30.0","15.3","-","7.1","5","0","0","0","0","0"
"23","1991","-","-","-","-","-","-","-","-","-","-","-"
"24","1992","22.7","28.9","14.8","4.07","8.7","3","0","0","0","0","0"
"25","1993","-","-","-","-","-","-","-","-","-","-","-"
"26","1994","-","-","-","-","-","-","-","-","-","-","-"
"27","1995","23.7","30.3","15.3","102.62","6.1","1","0","0","0","0","0"
"28","1996","-","-","-","-","-","-","-","-","-","-","-"
"29","1997","-","-","-","-","-","-","-","-","-","-","-"
"30","1998","-","-","-","-","-","-","-","-","-","-","-"
"31","1999","-","-","-","-","-","-","-","-","-","-","-"
"32","2000","21.8","29.8","14.7","6.10","6.0","2","0","0","0","0","0"
"33","2001","22.9","30.5","15.3","3.05","6.0","1","0","0","0","0","0"
"34","2002","-","-","-","-","-","-","-","-","-","-","-"
"35","2003","22.7","30.0","15.4","0.00","9.2","1","0","0","0","0","0"
"36","2004","22.8","30.3","15.5","1.02","8.4","3","0","0","0","0","0"
"37","2005","-","-","-","-","-","-","-","-","-","-","-"
"38","2006","22.7","30.2","15.2","0.51","6.9","0","0","0","0","0","0"
"39","2007","23.0","30.4","15.5","6.10","6.8","1","0","0","0","0","0"
"40","2008","23.4","30.8","15.8","8.12","6.0","2","0","0","0","0","0"
"41","2009","23.0","30.5","15.6","1.02","5.9","1","0","0","0","0","0"
"42","2010","23.9","31.8","16.3","4.82","6.9","0","0","0","3","0","0"
"43","2011","22.5","29.7","15.2","18.04","7.1","3","0","0","0","0","0"
"44","2012","23.0","30.1","15.6","1.27","9.2","1","0","0","0","0","0"
"45","2013","-","-","-","-","-","-","-","-","-","-","-"
"46","2014","-","-","-","-","-","-","-","-","-","-","-"
"47","2015","-","-","-","-","-","-","-","-","-","-","-"
"48","2016","-","-","-","-","-","-","-","-","-","-","-"
"49","2017","22.7","29.6","15.7","10.92","5.5","2","0","0","0","0","0"
"50","2018","-","-","-","-","-","-","-","-","-","-","-"
"51","2019","-","-","-","-","-","-","-","-","-","-","-"
