"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1979","-","-","-","-","-","-","-","-","-","-","-"
"2","1980","3.1","7.7","-2.2","665.25","9.3","166","133","18","54","0","2"
"3","1981","3.1","7.2","-1.8","820.70","10.9","183","139","14","46","0","3"
"4","1982","4.0","8.0","-1.0","569.24","12.0","174","99","17","65","0","9"
"5","1983","4.5","8.6","-0.9","619.52","11.7","191","104","9","70","0","5"
"6","1984","4.7","8.4","0.0","630.74","9.9","191","112","26","74","0","4"
"7","1985","1.9","6.1","-3.1","579.17","10.0","163","133","23","50","0","2"
"8","1986","-","-","-","-","-","-","-","-","-","-","-"
"9","1987","1.9","6.0","-3.1","578.63","10.2","164","118","11","68","0","2"
"10","1988","4.4","8.3","-0.4","883.88","10.4","184","141","23","61","0","1"
"11","1989","5.8","9.8","1.3","618.29","12.8","207","87","17","70","0","3"
"12","1990","5.3","9.2","0.6","567.70","11.9","212","114","12","79","0","1"
"13","1991","4.9","8.8","0.3","645.44","11.3","215","115","15","81","0","8"
"14","1992","5.0","8.8","0.6","698.30","12.6","199","137","11","70","0","3"
"15","1993","4.3","8.2","-0.2","-","11.7","156","131","10","37","0","2"
"16","1994","4.1","8.3","-0.6","-","11.3","152","116","7","55","0","1"
"17","1995","4.8","8.8","0.3","669.19","12.2","160","133","11","51","0","1"
"18","1996","3.7","8.1","-1.0","465.42","10.3","144","115","5","53","0","0"
"19","1997","4.7","9.0","0.1","552.24","10.3","138","120","12","36","0","2"
"20","1998","4.0","8.3","-0.1","578.42","10.2","160","115","14","32","0","0"
"21","1999","4.8","9.5","-0.1","656.86","9.0","168","121","12","48","0","0"
"22","2000","5.7","10.0","1.1","-","10.2","188","97","11","65","0","0"
"23","2001","4.3","8.4","-0.4","-","10.1","166","122","11","63","0","0"
"24","2002","-","-","-","-","-","121","127","9","62","0","0"
"25","2003","4.4","8.6","-0.6","-","10.1","176","105","10","65","0","1"
"26","2004","4.7","8.6","-0.2","263.91","9.3","178","110","11","65","0","0"
"27","2005","-","-","-","-","-","-","-","-","-","-","-"
"28","2006","5.4","9.6","0.2","-","10.3","171","118","11","55","0","1"
"29","2007","5.5","9.6","0.6","-","10.6","195","110","10","67","0","0"
"30","2008","5.7","9.4","1.4","-","10.7","214","115","9","53","0","0"
"31","2009","4.5","8.5","-0.4","-","9.7","171","126","5","73","0","0"
"32","2010","3.3","7.5","-1.6","-","10.1","157","145","14","63","0","0"
"33","2011","5.8","9.9","0.9","-","11.6","185","105","16","77","0","0"
"34","2012","4.1","7.8","-0.4","-","11.5","185","127","17","54","0","0"
"35","2013","5.6","9.7","0.4","-","11.5","195","104","9","80","0","0"
"36","2014","5.9","9.8","1.3","-","10.9","184","100","8","77","0","0"
"37","2015","6.2","10.1","1.6","-","12.4","226","87","6","70","0","0"
"38","2016","5.1","8.8","0.4","-","11.0","179","112","9","82","0","0"
"39","2017","5.1","8.6","0.7","-","11.7","216","123","5","59","0","1"
"40","2018","5.8","9.9","0.7","-","10.9","143","113","8","56","0","0"
"41","2019","-","-","-","-","-","-","-","-","-","-","-"
