"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1974","-","-","-","-","-","-","-","-","-","-","-"
"2","1975","-","-","-","-","-","-","-","-","-","-","-"
"3","1976","-","-","-","-","-","-","-","-","-","-","-"
"4","1977","-","-","-","-","-","-","-","-","-","-","-"
"5","1978","-","-","-","-","-","-","-","-","-","-","-"
"6","1979","-","-","-","-","-","-","-","-","-","-","-"
"7","1980","10.7","14.7","6.1","1550.87","7.8","141","20","22","26","0","0"
"8","1981","11.2","15.0","6.3","1144.77","8.0","138","21","25","22","0","1"
"9","1982","12.3","16.4","6.4","-","8.2","118","3","30","17","0","0"
"10","1983","11.7","16.1","5.9","1384.60","7.6","126","11","34","32","1","3"
"11","1984","11.2","15.4","5.4","1111.56","7.6","136","15","14","31","0","2"
"12","1985","10.6","15.1","4.8","1093.17","6.4","121","24","26","31","0","2"
"13","1986","11.3","15.6","5.8","1226.57","8.5","133","21","30","38","0","2"
"14","1987","11.3","15.3","6.1","1260.58","8.1","130","19","27","31","0","1"
"15","1988","11.5","16.1","6.6","1365.42","8.3","167","13","32","57","0","0"
"16","1989","-","-","-","-","-","-","-","-","-","-","-"
"17","1990","11.8","17.2","6.3","1053.34","8.0","130","10","21","58","0","2"
"18","1991","11.3","17.2","6.0","1057.11","8.6","132","10","19","47","1","1"
"19","1992","11.6","17.0","6.6","1488.38","8.1","135","3","32","37","0","0"
"20","1993","11.3","16.5","6.3","1164.03","7.2","121","9","26","20","0","1"
"21","1994","12.8","17.5","7.7","1400.01","8.0","116","5","20","20","0","1"
"22","1995","11.9","16.6","6.7","1477.75","8.8","117","18","19","19","0","1"
"23","1996","11.1","15.8","6.0","1260.31","8.4","120","17","20","19","0","1"
"24","1997","12.3","17.4","6.6","944.55","8.2","91","5","11","16","0","1"
"25","1998","11.8","17.0","6.1","1086.00","8.4","107","8","11","14","0","0"
"26","1999","11.6","16.9","6.8","1420.06","8.7","129","21","23","16","0","0"
"27","2000","11.6","17.5","6.4","961.54","7.8","120","5","19","19","0","0"
"28","2001","11.7","16.8","7.0","-","8.9","118","8","19","15","0","0"
"29","2002","-","-","-","-","-","125","1","13","18","0","0"
"30","2003","12.1","18.4","6.6","894.23","8.4","84","10","16","23","0","1"
"31","2004","11.4","17.0","6.5","1018.51","9.3","110","12","14","15","0","0"
"32","2005","-","-","-","-","-","-","-","-","-","-","-"
"33","2006","12.1","17.6","6.9","981.65","8.6","210","16","18","28","0","0"
"34","2007","11.8","17.1","6.7","1148.26","8.4","228","19","17","40","0","4"
"35","2008","11.4","16.8","6.3","1092.85","7.8","205","41","14","17","0","0"
"36","2009","12.2","17.9","6.6","925.94","8.7","160","19","15","63","0","0"
"37","2010","11.0","16.3","5.8","1019.91","8.8","161","41","15","72","0","0"
"38","2011","12.1","18.2","6.4","1000.14","6.8","158","6","19","88","0","0"
"39","2012","11.7","17.5","6.4","1379.57","8.6","184","14","21","71","0","0"
"40","2013","11.1","16.4","6.2","1475.34","8.1","175","30","31","71","0","1"
"41","2014","12.2","18.1","-","1237.29","7.1","195","11","30","80","0","3"
"42","2015","12.0","18.1","-","1301.94","7.7","139","18","20","68","0","0"
"43","2016","11.8","17.7","6.0","1134.73","7.8","166","22","14","45","0","2"
"44","2017","11.7","18.0","5.5","931.03","7.9","147","23","18","52","0","0"
"45","2018","12.9","18.9","-","1017.91","8.9","162","15","41","58","0","0"
"46","2019","-","-","-","-","-","-","-","-","-","-","-"
