"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","-","-","-","-","-","-","-","-","-","-","-"
"2","1974","-","-","-","-","-","-","-","-","-","-","-"
"3","1980","-","-","-","-","-","-","-","-","-","-","-"
"4","1981","-","-","-","-","-","-","-","-","-","-","-"
"5","1982","-","-","-","-","-","-","-","-","-","-","-"
"6","1983","-","-","-","-","-","-","-","-","-","-","-"
"7","1984","-","-","-","-","-","-","-","-","-","-","-"
"8","1985","-","-","-","-","-","-","-","-","-","-","-"
"9","1986","-","-","-","-","-","-","-","-","-","-","-"
"10","1987","-","-","-","-","-","-","-","-","-","-","-"
"11","1988","-","-","-","-","-","-","-","-","-","-","-"
"12","1989","-","-","-","-","-","-","-","-","-","-","-"
"13","1990","-","-","-","-","-","-","-","-","-","-","-"
"14","1991","-","-","-","-","-","-","-","-","-","-","-"
"15","1992","-","-","-","-","-","-","-","-","-","-","-"
"16","1993","-","-","-","-","-","-","-","-","-","-","-"
"17","1994","-","-","-","-","-","-","-","-","-","-","-"
"18","1995","-","-","-","-","-","-","-","-","-","-","-"
"19","1996","-","-","-","-","-","-","-","-","-","-","-"
"20","1997","-","-","-","-","-","-","-","-","-","-","-"
"21","1998","-","-","-","-","-","-","-","-","-","-","-"
"22","1999","-","-","-","-","-","-","-","-","-","-","-"
"23","2000","25.8","28.7","23.1","-","17.4","28","0","4","0","0","0"
"24","2001","-","-","-","-","-","-","-","-","-","-","-"
"25","2002","-","-","-","-","-","-","-","-","-","-","-"
"26","2003","-","-","-","-","-","-","-","-","-","-","-"
"27","2004","25.5","28.4","22.9","1588.59","17.6","40","1","1","1","0","0"
"28","2005","-","-","-","-","-","-","-","-","-","-","-"
"29","2006","-","-","-","-","-","-","-","-","-","-","-"
"30","2007","-","-","-","-","-","-","-","-","-","-","-"
"31","2008","-","-","-","-","-","-","-","-","-","-","-"
"32","2009","-","-","-","-","-","-","-","-","-","-","-"
"33","2010","-","-","-","-","-","-","-","-","-","-","-"
"34","2011","25.7","28.4","23.2","819.45","18.5","0","0","0","0","0","0"
"35","2012","26.1","29.2","23.5","1530.44","15.0","17","0","0","0","0","0"
"36","2013","25.5","28.3","23.1","1768.82","15.5","36","0","0","0","0","0"
"37","2014","-","-","-","-","-","-","-","-","-","-","-"
"38","2015","-","-","-","-","-","-","-","-","-","-","-"
"39","2016","-","-","-","-","-","-","-","-","-","-","-"
