"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1937","-","-","-","-","-","-","-","-","-","-","-"
"2","1938","-","-","-","-","-","-","-","-","-","-","-"
"3","1939","-","-","-","-","-","-","-","-","-","-","-"
"4","1940","7.5","11.5","3.1","-","13.0","172","34","8","64","0","3"
"5","1941","8.1","11.9","4.2","-","12.8","171","38","6","70","0","2"
"6","1942","8.3","12.2","4.5","-","11.6","136","35","5","60","0","0"
"7","1973","10.0","12.7","5.5","628.63","11.4","197","44","19","38","0","17"
"8","1974","10.3","12.8","6.1","754.87","12.6","216","17","16","19","0","11"
"9","1975","-","-","-","-","-","-","-","-","-","-","-"
"10","1976","10.3","13.2","5.4","647.74","11.4","163","38","13","17","0","12"
"11","1977","10.2","12.8","6.0","773.22","11.2","203","30","16","20","0","11"
"12","1978","9.3","12.0","5.4","844.82","10.7","198","38","15","25","0","12"
"13","1979","9.2","11.9","5.1","923.86","11.1","180","48","15","23","0","5"
"14","1980","9.3","12.1","5.3","717.02","12.0","182","42","12","20","0","3"
"15","1981","9.5","12.2","5.6","1034.56","10.9","208","55","20","30","0","11"
"16","1982","10.5","13.8","6.2","811.53","11.9","186","28","25","23","0","8"
"17","1983","10.4","13.6","6.0","885.41","12.6","197","36","19","22","0","11"
"18","1984","9.4","12.3","5.6","927.64","12.1","206","36","19","14","0","11"
"19","1985","8.5","11.6","4.3","833.31","11.6","193","57","33","25","0","11"
"20","1986","9.2","12.2","4.8","817.56","12.1","175","49","16","11","0","11"
"21","1987","8.5","11.4","4.8","977.62","11.3","210","36","20","27","0","14"
"22","1988","10.2","13.1","6.4","982.66","12.8","218","38","19","13","0","18"
"23","1989","10.9","14.3","6.4","678.95","11.0","171","15","18","29","0","7"
"24","1990","10.9","14.0","6.5","846.34","12.3","189","28","25","14","0","16"
"25","1991","9.8","12.9","5.5","691.66","11.4","173","22","10","25","0","9"
"26","1992","10.4","14.1","6.3","-","12.1","196","24","22","23","0","14"
"27","2003","-","-","-","-","-","-","-","-","-","-","-"
"28","2005","-","-","-","-","-","-","-","-","-","-","-"
"29","2007","-","-","-","-","-","-","-","-","-","-","-"
"30","2008","-","-","-","-","-","-","-","-","-","-","-"
