"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1964","-","-","-","-","-","-","-","-","-","-","-"
"2","1965","-","-","-","-","-","-","-","-","-","-","-"
"3","1966","-","-","-","-","-","-","-","-","-","-","-"
"4","1967","-","-","-","-","-","-","-","-","-","-","-"
"5","1968","14.4","19.2","9.2","-","14.5","68","10","17","2","0","0"
"6","1969","14.3","18.7","9.4","-","15.4","77","8","13","1","0","0"
"7","1970","15.0","19.2","9.7","-","12.3","78","7","13","7","0","0"
"8","1971","-","-","-","-","-","-","-","-","-","-","-"
"9","1973","14.0","18.9","8.8","598.68","14.3","85","10","25","2","0","0"
"10","1974","-","-","-","-","-","-","-","-","-","-","-"
"11","1975","14.3","19.4","9.0","509.26","14.1","66","10","20","6","0","0"
"12","1976","13.4","18.4","8.2","595.86","15.8","74","7","33","2","0","0"
"13","1977","14.6","19.7","9.1","336.07","14.7","68","4","19","12","0","1"
"14","1978","14.0","18.7","8.6","643.15","13.8","87","9","16","2","0","0"
"15","1979","14.4","19.1","9.3","924.04","11.2","89","5","25","4","0","0"
"16","1980","13.8","18.4","8.6","637.04","9.1","74","9","18","6","0","0"
"17","1981","14.3","19.3","8.9","528.08","9.1","81","10","17","4","0","0"
"18","1982","14.4","18.9","8.7","321.27","9.2","49","5","5","2","0","0"
"19","1983","14.2","18.7","8.3","472.19","10.9","63","6","16","0","0","0"
"20","1984","14.3","18.8","9.0","495.53","9.5","66","1","12","1","0","0"
"21","1985","14.2","18.9","8.9","436.12","10.5","64","8","15","1","0","0"
"22","1986","14.4","19.6","8.8","334.51","11.0","47","5","13","2","0","0"
"23","1987","13.9","18.6","8.8","447.27","11.7","73","8","9","2","0","0"
"24","1988","14.1","19.0","8.9","596.90","9.9","66","1","10","4","0","0"
"25","1989","14.2","19.4","8.5","348.73","8.8","32","0","7","5","0","0"
"26","1990","15.2","20.3","9.1","571.25","-","56","0","14","3","0","0"
"27","1991","13.7","18.3","8.6","345.44","11.9","82","6","15","11","0","0"
"28","1992","14.0","19.1","8.0","394.71","11.7","62","5","22","4","0","0"
"29","1993","13.8","18.8","8.0","601.00","10.7","65","11","18","9","0","1"
"30","1994","15.4","20.2","9.5","552.48","10.1","60","4","17","4","0","0"
"31","1995","14.6","19.1","9.2","702.31","10.8","66","8","19","4","0","0"
"32","1996","14.1","18.6","9.0","495.81","10.0","66","12","23","5","0","0"
"33","1997","13.6","18.3","7.9","477.83","11.4","72","4","17","7","0","0"
"34","1998","14.6","19.2","9.4","564.12","10.5","82","12","24","6","0","1"
"35","1999","15.4","20.2","9.9","-","9.9","83","9","33","15","0","1"
"36","2000","14.8","20.0","8.9","356.38","11.6","55","4","20","5","0","0"
"37","2001","15.2","20.2","9.6","-","15.3","60","9","18","12","0","0"
"38","2002","-","-","-","-","-","-","-","-","-","-","-"
"39","2003","14.5","19.7","9.0","427.49","12.0","64","7","14","6","0","1"
"40","2004","14.8","19.6","9.5","416.59","-","71","7","15","6","0","0"
"41","2005","-","-","-","-","-","-","-","-","-","-","-"
"42","2006","14.7","19.3","9.7","789.92","10.3","76","9","26","8","0","0"
"43","2007","15.6","20.7","10.1","557.01","-","78","2","31","8","0","0"
"44","2008","15.4","20.2","10.0","272.03","12.8","82","4","25","15","0","0"
"45","2009","15.5","20.3","10.2","547.34","12.3","117","6","37","3","0","0"
"46","2010","16.1","20.6","11.1","636.82","12.4","126","14","39","8","0","0"
"47","2011","14.6","19.7","9.2","375.40","13.5","79","6","22","6","0","0"
"48","2012","16.0","20.9","10.5","416.30","-","83","11","36","5","0","0"
"49","2013","15.9","20.7","10.6","531.87","-","91","3","44","3","0","0"
"50","2014","16.1","20.2","11.0","817.38","-","118","3","42","10","0","0"
"51","2015","16.3","20.7","10.5","776.72","13.3","92","0","31","5","0","0"
"52","2016","16.4","21.0","10.3","451.59","14.0","79","4","17","5","0","1"
"53","2017","15.8","20.6","9.3","628.35","13.1","94","7","26","3","0","0"
"54","2018","17.1","21.1","11.0","695.46","14.5","89","3","29","2","0","2"
"55","2019","-","-","-","-","-","-","-","-","-","-","-"
