"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","2005","-","-","-","-","-","-","-","-","-","-","-"
"2","2006","-2.8","-0.3","-4.7","0.00","15.5","0","0","0","0","0","0"
"3","2007","-2.6","0.1","-4.8","0.00","15.9","0","0","0","0","0","0"
"4","2008","-3.5","-0.5","-5.9","0.00","15.5","0","0","0","0","0","0"
"5","2009","-3.0","-0.2","-5.2","0.00","14.5","0","0","0","0","0","0"
"6","2010","0.3","3.2","-1.8","-","14.8","59","46","0","19","0","0"
"7","2011","-2.9","-0.1","-5.0","-","15.7","87","183","0","26","0","0"
"8","2012","-2.3","0.5","-4.6","-","15.1","113","177","0","42","0","0"
"9","2013","-2.7","0.1","-4.9","-","15.8","108","178","0","32","0","0"
"10","2014","-","-","-","-","-","-","-","-","-","-","-"
