"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1983","-","-","-","-","-","-","-","-","-","-","-"
"2","1984","-","-","-","-","-","-","-","-","-","-","-"
"3","1985","-","-","-","-","-","-","-","-","-","-","-"
"4","1989","-","-","-","-","-","-","-","-","-","-","-"
"5","1990","-","-","-","-","-","-","-","-","-","-","-"
"6","1991","-","-","-","-","-","-","-","-","-","-","-"
"7","1992","-","-","-","-","-","-","-","-","-","-","-"
"8","1993","-","-","-","-","-","-","-","-","-","-","-"
"9","1994","-","-","-","-","-","-","-","-","-","-","-"
"10","1995","-","-","-","-","-","-","-","-","-","-","-"
"11","1996","-","-","-","-","-","-","-","-","-","-","-"
"12","1997","-","-","-","-","-","-","-","-","-","-","-"
"13","1998","-","-","-","-","-","-","-","-","-","-","-"
"14","1999","-","-","-","-","-","-","-","-","-","-","-"
"15","2000","-","-","-","-","-","-","-","-","-","-","-"
"16","2001","-","-","-","-","-","-","-","-","-","-","-"
"17","2002","-","-","-","-","-","-","-","-","-","-","-"
"18","2003","23.6","30.3","18.4","1036.96","4.6","72","0","88","4","0","1"
"19","2004","-","-","-","-","-","-","-","-","-","-","-"
"20","2005","-","-","-","-","-","-","-","-","-","-","-"
"21","2006","-","-","-","-","-","-","-","-","-","-","-"
"22","2007","-","-","-","-","-","-","-","-","-","-","-"
"23","2008","-","-","-","-","-","-","-","-","-","-","-"
"24","2009","-","-","-","-","-","-","-","-","-","-","-"
"25","2010","-","-","-","-","-","-","-","-","-","-","-"
"26","2011","-","-","-","-","-","-","-","-","-","-","-"
"27","2012","-","-","-","-","-","-","-","-","-","-","-"
"28","2013","25.0","30.1","18.1","1154.74","5.8","12","0","42","0","0","0"
"29","2014","-","-","-","-","-","-","-","-","-","-","-"
"30","2015","25.5","30.6","18.2","878.06","7.7","11","0","44","0","0","0"
"31","2016","25.5","30.6","18.4","945.44","8.0","9","0","59","0","0","0"
"32","2017","-","-","-","-","-","14","0","76","0","0","0"
"33","2018","-","-","-","-","-","-","-","-","-","-","-"
"34","2019","-","-","-","-","-","-","-","-","-","-","-"
