"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","10.3","14.8","6.1","506.49","12.6","108","28","15","33","0","0"
"2","1974","10.7","15.0","6.9","824.47","12.2","154","10","24","46","0","0"
"3","1975","10.8","15.2","6.9","562.03","11.1","113","17","39","52","0","0"
"4","1976","10.0","14.3","6.0","593.30","10.9","121","34","24","45","0","0"
"5","1977","10.9","15.4","6.6","539.97","10.5","127","21","21","53","0","1"
"6","1978","9.8","14.2","5.6","496.83","11.7","135","26","26","53","1","0"
"7","1979","10.9","15.4","6.7","639.08","11.0","147","22","27","30","0","0"
"8","1980","9.3","13.7","5.3","717.04","11.9","132","34","25","49","0","1"
"9","1981","10.9","15.3","6.6","647.93","13.3","104","38","20","22","0","0"
"10","1982","10.8","15.2","6.7","549.35","11.4","110","19","27","44","0","0"
"11","1983","11.3","16.1","6.6","443.95","11.4","106","16","28","30","0","0"
"12","1984","9.9","14.3","5.9","658.32","12.0","126","29","21","56","0","0"
"13","1985","9.8","14.2","5.6","612.62","10.2","114","32","15","42","0","0"
"14","1986","10.4","15.0","6.1","545.05","9.6","97","30","23","51","0","0"
"15","1987","10.0","14.5","6.0","659.57","9.5","124","27","16","34","0","0"
"16","1988","10.8","15.5","6.5","481.59","10.2","113","28","12","35","0","0"
"17","1989","11.3","15.9","7.2","668.25","9.0","129","5","29","43","0","0"
"18","1990","11.5","16.6","6.8","459.73","8.8","107","14","20","39","0","0"
"19","1991","10.3","14.7","6.2","627.16","7.9","115","14","22","27","0","0"
"20","1992","11.8","16.6","7.3","1433.33","10.2","105","12","18","23","0","0"
"21","1993","10.6","15.2","6.2","885.24","9.6","90","37","16","26","0","0"
"22","1994","12.1","16.8","7.8","882.97","8.3","105","15","24","32","0","0"
"23","1995","10.9","15.4","6.7","820.96","7.9","122","30","25","31","0","0"
"24","1996","10.1","14.4","5.0","668.56","9.3","107","36","17","20","0","0"
"25","1997","11.1","15.6","5.5","562.55","10.6","83","10","17","30","0","0"
"26","1998","11.3","16.3","6.4","787.34","11.9","107","14","24","24","0","2"
"27","1999","11.1","15.4","6.8","776.74","12.0","104","19","22","37","0","1"
"28","2000","12.4","17.5","7.4","-","12.5","117","13","26","39","0","0"
"29","2001","11.1","15.9","6.5","-","12.7","130","23","26","40","0","0"
"30","2002","-","-","-","-","-","140","19","42","34","0","1"
"31","2003","11.5","16.5","6.6","499.14","10.7","105","25","29","48","0","0"
"32","2004","10.8","14.9","6.6","770.90","10.2","145","33","40","48","0","3"
"33","2005","-","-","-","-","-","-","-","-","-","-","-"
"34","2006","11.3","15.8","6.7","-","9.6","147","30","29","46","0","1"
"35","2007","12.3","16.9","7.5","-","10.2","160","22","38","28","1","0"
"36","2008","12.1","16.8","7.3","-","10.4","167","12","37","36","0","3"
"37","2009","12.0","16.6","7.3","-","10.8","166","31","37","36","0","2"
"38","2010","10.7","14.8","6.4","-","10.8","150","43","24","42","0","2"
"39","2011","11.6","16.5","6.8","-","10.1","116","21","30","49","0","1"
"40","2012","12.3","17.1","7.1","-","11.0","118","27","27","26","0","1"
"41","2013","11.6","16.0","7.2","-","10.6","156","36","33","53","0","0"
"42","2014","12.4","16.8","8.0","-","10.3","175","9","48","46","0","3"
"43","2015","12.4","16.9","7.7","-","10.6","138","22","20","39","0","1"
"44","2016","11.9","16.4","7.4","696.96","10.4","131","11","22","27","0","1"
"45","2017","12.1","16.8","7.4","646.39","11.1","101","15","17","19","0","1"
"46","2018","12.8","17.5","8.2","605.79","10.4","97","29","23","19","0","1"
"47","2019","-","-","-","-","-","-","-","-","-","-","-"
