"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1949","3.5","-","-","-","18.0","91","69","0","1","0","1"
"2","1950","4.4","6.2","2.7","720.71","19.8","76","35","0","6","0","0"
"3","1951","3.6","5.7","1.8","622.19","18.3","64","52","0","1","0","1"
"4","1952","-","-","-","-","-","-","-","-","-","-","-"
"5","1953","-","-","-","-","-","-","-","-","-","-","-"
"6","1954","-","-","-","-","-","-","-","-","-","-","-"
"7","1955","-","-","-","-","-","-","-","-","-","-","-"
"8","1956","-","-","-","-","-","-","-","-","-","-","-"
"9","1978","4.4","6.0","2.6","-","29.5","204","76","0","9","0","12"
"10","1979","2.9","4.7","1.1","-","30.2","164","93","2","7","0","6"
"11","1980","4.3","6.1","2.3","-","29.8","187","91","4","8","0","7"
"12","1981","3.2","5.0","1.3","-","33.1","174","92","2","4","0","8"
"13","1982","3.7","5.5","1.8","-","31.9","213","98","1","1","0","10"
"14","1983","3.2","5.1","1.2","-","34.0","199","108","1","4","0","5"
"15","1984","3.9","5.8","2.1","-","29.2","215","107","1","5","1","3"
"16","1985","4.2","6.4","2.2","-","29.5","174","60","0","2","0","3"
"17","1986","3.8","6.2","1.6","-","30.3","190","84","1","3","0","2"
"18","1987","5.0","7.2","2.8","-","31.3","215","63","2","5","0","10"
"19","1988","3.7","6.1","1.2","-","32.8","191","99","1","5","0","12"
"20","1989","3.5","5.8","1.2","-","33.4","208","101","2","12","0","14"
"21","1990","4.1","6.3","1.9","-","32.3","188","98","5","5","0","14"
"22","1991","4.7","7.1","2.3","-","33.4","218","102","2","12","0","11"
"23","1992","3.9","6.2","1.3","-","32.9","212","112","0","5","0","17"
"24","1993","4.0","6.4","1.6","-","32.8","198","99","2","8","0","12"
"25","1994","-","-","-","-","-","-","-","-","-","-","-"
