"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1945","-","-","-","-","-","-","-","-","-","-","-"
"2","1957","-","-","-","-","-","-","-","-","-","-","-"
"3","1958","-","-","-","-","-","-","-","-","-","-","-"
"4","1961","-","-","-","-","-","-","-","-","-","-","-"
"5","1962","-","-","-","-","-","-","-","-","-","-","-"
"6","1973","-","-","-","-","-","-","-","-","-","-","-"
"7","1974","-","-","-","-","-","-","-","-","-","-","-"
"8","1975","-","-","-","-","-","-","-","-","-","-","-"
"9","1976","-","-","-","-","-","-","-","-","-","-","-"
"10","1977","-","-","-","-","-","-","-","-","-","-","-"
"11","1978","24.2","29.6","18.9","-","-","122","2","94","30","0","4"
"12","1979","24.7","30.3","19.1","1194.34","4.9","99","0","77","20","1","1"
"13","1980","-","-","-","-","-","-","-","-","-","-","-"
"14","1981","-","-","-","-","-","-","-","-","-","-","-"
"15","1982","-","-","-","-","-","-","-","-","-","-","-"
"16","1983","-","-","-","-","-","-","-","-","-","-","-"
"17","1984","-","-","-","-","-","-","-","-","-","-","-"
"18","1985","-","-","-","-","-","-","-","-","-","-","-"
"19","1986","-","-","-","-","-","-","-","-","-","-","-"
"20","1987","-","-","-","-","-","-","-","-","-","-","-"
"21","1988","-","-","-","-","-","-","-","-","-","-","-"
"22","1989","-","-","-","-","-","-","-","-","-","-","-"
"23","1990","-","-","-","-","-","-","-","-","-","-","-"
"24","1991","23.9","28.8","19.6","2012.68","2.3","119","0","68","37","1","2"
"25","1992","23.8","28.9","19.2","1551.43","2.6","114","0","91","40","0","4"
"26","1993","24.0","28.8","19.7","2204.22","2.9","133","0","83","23","0","0"
"27","1994","24.2","29.6","19.3","1826.03","3.2","119","0","101","33","0","7"
"28","1995","24.4","29.5","19.7","2150.11","3.3","130","0","71","23","0","3"
"29","1996","24.5","29.8","19.8","1543.06","4.3","114","0","51","12","0","3"
"30","1997","23.8","29.1","19.2","1347.96","4.0","129","0","67","23","0","4"
"31","1998","-","-","-","-","-","-","-","-","-","-","-"
"32","1999","-","-","-","-","-","-","-","-","-","-","-"
"33","2000","24.2","29.3","19.8","-","2.8","111","0","48","26","0","7"
"34","2001","24.5","29.8","20.1","-","2.7","110","0","76","35","0","0"
"35","2002","-","-","-","-","-","-","-","-","-","-","-"
"36","2003","-","-","-","-","-","-","-","-","-","-","-"
"37","2004","24.0","29.1","19.9","1883.15","2.2","107","0","54","28","0","11"
"38","2005","-","-","-","-","-","-","-","-","-","-","-"
"39","2006","24.9","30.4","20.3","-","2.4","111","0","82","35","0","1"
"40","2007","-","-","-","-","-","-","-","-","-","-","-"
"41","2008","24.5","30.3","20.2","1557.29","2.5","111","0","71","24","0","18"
"42","2009","25.1","31.1","20.4","-","2.1","104","0","58","24","0","3"
"43","2010","24.6","29.9","20.4","-","5.5","118","0","63","24","0","18"
"44","2011","24.4","30.3","19.5","-","5.1","108","0","50","32","0","11"
"45","2012","24.4","30.2","18.8","1742.72","3.8","114","0","67","23","0","13"
"46","2013","24.9","31.1","19.4","1650.46","3.4","112","0","69","25","0","18"
"47","2014","25.2","31.1","20.8","-","3.1","78","0","45","30","0","3"
"48","2015","25.1","30.8","18.8","1577.07","3.7","115","0","70","25","0","9"
"49","2016","26.1","31.1","19.8","-","5.4","160","0","133","52","0","13"
"50","2017","26.1","30.7","19.8","-","5.8","152","0","100","46","0","4"
"51","2018","25.5","30.4","19.7","-","5.1","149","0","109","23","1","0"
"52","2019","-","-","-","-","-","-","-","-","-","-","-"
