"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1956","-","-","-","-","-","-","-","-","-","-","-"
"2","1957","27.9","29.4","25.8","-","18.0","68","0","41","1","0","1"
"3","1958","28.4","30.1","26.4","-","15.5","52","0","46","0","0","1"
"4","1959","27.8","29.8","25.9","-","11.4","82","0","33","0","0","0"
"5","1960","27.8","29.7","25.9","-","12.9","90","0","39","0","0","0"
"6","1961","-","-","-","-","-","-","-","-","-","-","-"
"7","1964","-","-","-","-","-","-","-","-","-","-","-"
"8","1977","-","-","-","-","-","-","-","-","-","-","-"
"9","1978","-","-","-","-","-","-","-","-","-","-","-"
"10","1979","-","-","-","-","-","-","-","-","-","-","-"
"11","1980","-","-","-","-","-","-","-","-","-","-","-"
"12","1981","-","-","-","-","-","-","-","-","-","-","-"
"13","1982","-","-","-","-","-","-","-","-","-","-","-"
"14","1983","-","-","-","-","-","-","-","-","-","-","-"
"15","1984","-","-","-","-","-","-","-","-","-","-","-"
"16","1985","-","-","-","-","-","-","-","-","-","-","-"
"17","1986","-","-","-","-","-","-","-","-","-","-","-"
"18","1987","-","-","-","-","-","-","-","-","-","-","-"
"19","1988","-","-","-","-","-","-","-","-","-","-","-"
"20","1989","-","-","-","-","-","-","-","-","-","-","-"
"21","1990","-","-","-","-","-","-","-","-","-","-","-"
"22","1991","-","-","-","-","-","-","-","-","-","-","-"
"23","1992","-","-","-","-","-","-","-","-","-","-","-"
"24","1993","-","-","-","-","-","-","-","-","-","-","-"
"25","1994","26.9","31.0","23.4","795.53","5.4","100","0","48","1","1","1"
"26","1995","-","-","-","-","-","-","-","-","-","-","-"
"27","1996","27.4","31.1","23.6","619.56","6.9","103","0","54","0","0","0"
"28","1997","-","-","-","-","-","-","-","-","-","-","-"
"29","1998","-","-","-","-","-","-","-","-","-","-","-"
"30","1999","-","-","-","-","-","-","-","-","-","-","-"
"31","2000","-","-","-","-","-","-","-","-","-","-","-"
"32","2001","-","-","-","-","-","-","-","-","-","-","-"
"33","2002","-","-","-","-","-","-","-","-","-","-","-"
"34","2003","27.0","31.2","23.6","869.45","5.4","139","0","57","0","0","0"
"35","2004","27.0","31.5","23.6","865.65","4.5","116","0","62","0","1","0"
"36","2005","-","-","-","-","-","-","-","-","-","-","-"
"37","2006","26.9","30.8","23.7","-","4.7","116","0","56","0","0","0"
"38","2007","27.1","31.0","23.9","-","4.5","120","0","53","0","0","0"
"39","2008","26.9","30.7","23.9","-","4.5","126","0","54","0","0","0"
"40","2009","27.1","31.2","23.8","-","4.1","115","0","44","1","0","0"
"41","2010","27.4","31.4","24.3","-","4.6","175","1","82","1","1","0"
"42","2011","26.7","30.8","23.6","-","4.9","118","1","67","0","0","1"
"43","2012","26.9","30.9","23.8","-","4.4","115","0","45","0","0","0"
"44","2013","27.1","31.0","24.0","-","4.0","152","0","61","1","0","0"
"45","2014","27.3","30.9","24.0","-","4.0","108","0","58","0","0","0"
"46","2015","27.0","31.2","23.7","-","5.3","104","0","50","0","0","0"
"47","2016","28.0","32.1","24.6","-","4.5","136","0","58","0","1","1"
"48","2017","27.2","30.9","24.2","-","4.3","146","0","57","0","0","0"
"49","2018","27.4","31.2","24.1","-","5.6","121","0","38","0","0","0"
"50","2019","-","-","-","-","-","-","-","-","-","-","-"
