"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","-","-","-","-","-","-","-","-","-","-","-"
"2","1974","-","-","-","-","-","-","-","-","-","-","-"
"3","1975","-","-","-","-","-","-","-","-","-","-","-"
"4","1976","-","-","-","-","-","-","-","-","-","-","-"
"5","1977","-","-","-","-","-","-","-","-","-","-","-"
"6","1978","-","-","-","-","-","-","-","-","-","-","-"
"7","1979","-","-","-","-","-","-","-","-","-","-","-"
"8","1980","-","-","-","-","-","-","-","-","-","-","-"
"9","1989","-","-","-","-","-","-","-","-","-","-","-"
"10","1990","-","-","-","-","-","-","-","-","-","-","-"
"11","1991","-","-","-","-","-","-","-","-","-","-","-"
"12","1992","-","-","-","-","-","-","-","-","-","-","-"
"13","1993","-","-","-","-","-","-","-","-","-","-","-"
"14","1994","14.1","19.5","8.4","-","-","29","12","2","5","0","0"
"15","1995","14.1","19.8","8.2","167.17","7.9","37","12","7","5","0","0"
"16","1996","13.4","19.0","7.8","143.01","9.9","40","20","4","6","0","0"
"17","1997","13.7","19.3","8.1","108.24","7.5","42","10","5","3","0","0"
"18","1998","14.7","20.3","9.2","229.39","7.7","33","11","7","5","0","3"
"19","1999","14.4","20.2","8.5","-","7.5","39","7","3","5","0","2"
"20","2000","-","-","-","-","-","-","-","-","-","-","-"
"21","2001","-","-","-","-","-","-","-","-","-","-","-"
"22","2002","-","-","-","-","-","-","-","-","-","-","-"
"23","2003","-","-","-","-","-","-","-","-","-","-","-"
"24","2004","-","-","-","-","-","-","-","-","-","-","-"
"25","2005","-","-","-","-","-","-","-","-","-","-","-"
"26","2006","15.2","21.3","8.8","158.77","10.5","37","20","5","6","0","2"
"27","2007","14.1","20.5","7.3","200.63","11.7","35","17","6","6","0","0"
"28","2008","14.5","21.1","7.8","81.29","12.4","21","16","3","8","0","1"
"29","2009","14.4","20.6","8.2","320.50","11.1","52","11","14","8","0","2"
"30","2010","15.4","22.5","8.4","170.93","11.9","36","4","4","6","0","1"
"31","2011","14.6","21.3","7.9","240.01","11.7","42","11","6","11","0","1"
"32","2012","13.9","20.3","7.3","383.24","12.0","45","19","8","6","0","1"
"33","2013","15.1","22.1","8.0","171.70","-","33","6","8","2","0","1"
"34","2014","14.4","21.3","7.4","166.62","-","37","9","3","10","0","0"
"35","2015","15.2","21.9","8.4","179.03","-","40","10","6","7","0","0"
"36","2016","15.5","22.6","8.5","207.52","14.6","40","7","10","2","0","0"
"37","2017","15.3","22.1","8.4","183.12","14.7","31","6","7","0","0","0"
"38","2018","15.3","22.0","8.5","184.40","-","46","2","6","3","0","0"
"39","2019","-","-","-","-","-","-","-","-","-","-","-"
