"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","9.8","12.8","6.9","686.08","15.6","260","16","6","66","0","11"
"2","1974","9.4","12.4","6.7","708.72","18.4","275","11","3","45","0","6"
"3","1975","10.0","12.9","7.0","584.48","15.8","257","19","7","69","0","10"
"4","1976","9.8","12.8","7.0","729.23","16.8","244","12","4","65","0","2"
"5","1977","9.6","12.6","6.7","693.64","21.1","276","25","5","40","0","6"
"6","1978","9.8","12.9","6.7","896.65","17.4","273","27","2","54","0","5"
"7","1979","8.9","12.3","5.8","911.19","20.4","284","45","7","44","0","11"
"8","1980","9.5","12.7","6.5","826.37","18.7","278","15","4","40","0","2"
"9","1981","9.5","12.8","6.5","823.65","19.0","282","15","9","57","0","4"
"10","1982","9.7","13.2","6.5","824.12","18.3","275","19","10","73","0","6"
"11","1983","10.0","13.3","7.0","744.48","18.7","270","20","5","56","0","12"
"12","1984","9.7","13.3","6.3","860.83","17.3","266","27","1","66","0","10"
"13","1985","9.2","12.5","5.9","783.83","17.3","271","28","7","55","0","12"
"14","1986","8.9","12.2","5.5","805.66","18.7","291","35","8","35","0","12"
"15","1987","9.6","12.8","6.3","737.31","14.9","268","18","4","69","2","9"
"16","1988","10.0","13.2","6.8","785.87","17.2","269","17","1","39","0","1"
"17","1989","10.7","14.1","7.2","546.58","18.0","268","20","8","35","0","7"
"18","1990","10.5","14.0","7.1","712.71","20.9","268","24","8","32","0","13"
"19","1991","9.9","13.1","6.7","649.73","19.1","269","20","4","73","0","8"
"20","1992","10.1","13.3","6.8","614.97","19.1","267","9","4","40","0","7"
"21","1993","-","-","-","-","-","-","-","-","-","-","-"
"22","1994","9.5","12.8","6.2","701.85","20.2","283","13","3","38","0","7"
"23","1995","10.0","13.9","6.0","710.06","19.3","254","34","6","30","0","14"
"24","1996","9.0","12.6","5.4","780.83","14.8","271","25","4","46","0","4"
"25","1997","10.0","13.6","6.3","724.97","10.1","248","13","3","59","0","7"
"26","1998","9.9","13.5","6.4","804.29","14.4","283","15","6","27","0","9"
"27","1999","9.9","13.5","6.3","863.33","19.9","274","13","3","32","0","3"
"28","2000","9.4","13.0","5.7","937.52","19.6","277","8","7","44","0","7"
"29","2001","9.4","13.3","5.5","799.51","18.1","267","10","3","46","0","8"
"30","2002","-","-","-","-","-","278","9","3","42","0","6"
"31","2003","10.0","13.9","5.9","641.43","18.6","247","11","8","45","0","6"
"32","2004","9.9","13.7","6.1","639.34","20.8","294","9","8","33","0","10"
"33","2005","-","-","-","-","-","-","-","-","-","-","-"
"34","2006","10.2","14.1","6.3","706.70","19.9","251","10","7","33","0","7"
"35","2007","10.3","13.8","6.3","724.72","20.3","251","8","9","29","0","4"
"36","2008","9.5","13.1","5.7","-","21.5","277","9","7","30","0","4"
"37","2009","9.6","13.2","5.8","902.51","20.5","283","16","3","33","0","3"
"38","2010","8.5","12.4","4.1","667.02","17.4","254","41","8","52","0","19"
"39","2011","10.1","13.8","6.0","661.65","20.7","286","9","4","20","0","3"
"40","2012","9.4","12.9","5.7","835.11","19.9","290","6","5","33","0","9"
"41","2013","9.6","13.1","5.7","-","20.3","273","26","5","23","0","11"
"42","2014","10.1","13.8","6.0","912.44","19.9","274","5","4","41","0","5"
"43","2015","9.6","13.4","5.2","862.80","21.2","270","16","2","25","0","6"
"44","2016","9.9","13.5","5.9","691.93","19.5","263","12","3","26","0","10"
"45","2017","10.1","13.7","6.2","670.04","20.2","294","10","5","23","0","3"
"46","2018","10.0","13.7","5.7","737.09","18.4","260","18","2","28","0","4"
"47","2019","-","-","-","-","-","-","-","-","-","-","-"
