"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1985","-","-","-","-","-","-","-","-","-","-","-"
"2","1986","-","-","-","-","-","-","-","-","-","-","-"
"3","1987","-","-","-","-","-","-","-","-","-","-","-"
"4","1988","-","-","-","-","-","-","-","-","-","-","-"
"5","1989","18.3","22.4","15.0","332.62","3.3","0","0","0","0","0","0"
"6","1990","18.5","22.4","15.3","566.67","12.1","0","0","0","0","0","0"
"7","1991","-","-","-","-","-","-","-","-","-","-","-"
"8","1992","18.1","22.0","15.0","333.51","14.6","0","0","0","0","0","0"
"9","1993","16.7","20.8","13.4","400.35","13.8","0","0","0","0","0","0"
"10","1994","-","-","-","-","-","-","-","-","-","-","-"
"11","1995","-","-","-","-","-","-","-","-","-","-","-"
"12","1996","-","-","-","-","-","-","-","-","-","-","-"
"13","1997","18.4","22.6","15.2","356.14","13.9","0","0","0","0","0","0"
"14","1998","-","-","-","-","-","-","-","-","-","-","-"
"15","2001","-","-","-","-","-","-","-","-","-","-","-"
"16","2005","-","-","-","-","-","-","-","-","-","-","-"
"17","2006","18.2","22.5","11.4","237.03","15.2","0","0","0","1","0","0"
"18","2007","-","-","-","-","-","-","-","-","-","-","-"
"19","2008","-","-","-","-","-","-","-","-","-","-","-"
