"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","16.6","19.9","12.1","-","12.6","197","8","23","20","0","0"
"2","1974","16.6","20.1","11.9","-","12.7","192","7","17","19","0","1"
"3","1975","17.0","20.2","12.7","-","13.4","219","10","33","21","0","0"
"4","1976","16.5","19.8","12.2","-","13.2","219","16","20","21","0","1"
"5","1977","17.2","20.8","12.7","-","12.8","175","19","22","16","0","0"
"6","1978","17.5","21.1","12.7","-","12.6","189","14","12","12","0","0"
"7","1979","17.3","20.9","12.6","-","12.8","200","7","23","11","0","0"
"8","1980","16.5","19.9","12.2","-","12.9","223","23","36","24","1","0"
"9","1981","16.4","19.8","11.8","-","13.1","194","11","16","7","0","0"
"10","1982","16.4","20.0","11.7","-","12.3","185","9","11","16","0","0"
"11","1983","16.3","19.9","11.8","-","13.3","207","13","20","11","0","0"
"12","1984","15.7","19.2","11.3","-","12.5","192","19","12","12","0","0"
"13","1985","16.3","19.7","12.0","-","13.0","213","12","19","21","0","0"
"14","1986","15.8","19.3","11.2","-","12.8","202","19","26","17","0","1"
"15","1987","16.5","19.9","12.1","-","12.3","195","15","29","13","0","1"
"16","1988","16.1","19.6","11.6","-","12.8","189","10","28","16","0","3"
"17","1989","16.4","20.0","12.0","-","12.5","201","4","20","17","1","1"
"18","1990","17.0","20.6","12.4","-","12.8","190","3","20","22","0","0"
"19","1991","16.9","20.1","12.6","-","13.1","209","11","22","20","0","0"
"20","1992","16.7","20.2","12.0","-","13.0","179","6","17","24","0","0"
"21","1993","16.2","19.8","11.8","-","13.7","196","11","28","90","0","0"
"22","1994","17.2","21.2","12.1","-","13.0","147","7","20","89","0","0"
"23","1995","16.0","19.9","11.2","-","13.4","167","9","27","126","0","0"
"24","1996","16.2","20.0","11.4","-","13.6","180","10","21","97","0","0"
"25","1997","16.6","20.5","11.7","-","13.4","175","7","20","111","0","0"
"26","1998","17.8","21.4","13.3","-","12.6","186","7","27","121","0","0"
"27","1999","16.7","20.3","12.2","-","13.7","192","10","29","100","0","0"
"28","2000","16.9","20.7","12.2","-","14.1","172","9","26","142","0","0"
"29","2001","16.9","20.7","12.2","-","13.3","176","10","27","123","0","1"
"30","2002","-","-","-","-","-","175","10","26","143","0","0"
"31","2003","16.9","20.7","12.4","-","13.2","193","11","19","125","0","0"
"32","2004","17.3","21.3","12.4","-","13.2","160","14","29","112","0","0"
"33","2005","-","-","-","-","-","-","-","-","-","-","-"
"34","2006","17.4","21.1","12.6","-","13.0","182","2","22","155","0","0"
"35","2007","17.6","21.3","12.6","-","13.1","159","0","24","136","0","1"
"36","2008","17.0","20.5","12.2","-","12.5","177","0","28","170","0","1"
"37","2009","17.2","20.8","12.4","-","12.5","162","1","18","149","0","1"
"38","2010","17.1","20.4","12.7","-","13.0","196","1","30","162","1","0"
"39","2011","16.6","19.9","12.2","-","13.6","170","3","21","124","0","0"
"40","2012","16.4","19.8","11.9","-","13.3","198","0","37","127","0","0"
"41","2013","17.3","20.9","12.3","-","13.1","161","2","28","77","0","0"
"42","2014","16.8","20.2","12.2","-","12.4","196","4","18","48","0","0"
"43","2015","17.2","20.4","12.6","-","11.8","201","4","26","50","0","0"
"44","2016","18.0","21.2","13.4","-","12.1","202","10","30","38","0","0"
"45","2017","16.9","20.3","12.2","-","12.6","194","7","30","34","0","0"
"46","2018","17.4","20.8","12.8","-","12.6","172","10","31","63","0","0"
"47","2019","-","-","-","-","-","-","-","-","-","-","-"
