"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1983","-","-","-","-","-","-","-","-","-","-","-"
"2","1984","-","-","-","-","-","-","-","-","-","-","-"
"3","1985","-","-","-","-","-","-","-","-","-","-","-"
"4","1986","-","-","-","-","-","-","-","-","-","-","-"
"5","1987","-","-","-","-","-","-","-","-","-","-","-"
"6","1988","-","-","-","-","-","-","-","-","-","-","-"
"7","1989","-","-","-","-","-","-","-","-","-","-","-"
"8","1990","-","-","-","-","-","-","-","-","-","-","-"
"9","1991","-","-","-","-","-","-","-","-","-","-","-"
"10","1992","-","-","-","-","-","-","-","-","-","-","-"
"11","1993","-","-","-","-","-","-","-","-","-","-","-"
"12","1994","-","-","-","-","-","-","-","-","-","-","-"
"13","1995","25.4","31.2","18.9","17.02","1.4","14","0","1","0","0","0"
"14","1996","25.9","31.6","19.6","393.47","1.8","20","0","1","1","0","0"
"15","1997","25.1","31.0","18.4","66.29","1.3","25","4","1","0","0","0"
"16","1998","-","-","-","-","-","21","0","3","0","0","1"
"17","1999","26.0","32.3","19.7","-","0.8","16","0","0","0","0","0"
"18","2000","-","-","-","-","-","-","-","-","-","-","-"
"19","2001","26.1","32.3","19.8","198.62","0.8","19","0","1","0","0","1"
"20","2002","-","-","-","-","-","-","-","-","-","-","-"
"21","2003","-","-","-","-","-","-","-","-","-","-","-"
"22","2004","-","-","-","-","-","-","-","-","-","-","-"
"23","2005","-","-","-","-","-","-","-","-","-","-","-"
"24","2006","25.3","31.3","19.6","167.89","2.7","17","1","4","0","0","1"
"25","2007","25.7","31.8","20.3","37.34","2.6","23","0","2","0","1","0"
"26","2008","25.8","31.8","20.1","-","2.9","16","0","1","0","0","0"
"27","2009","-","-","-","-","-","-","-","-","-","-","-"
"28","2010","-","-","-","-","-","-","-","-","-","-","-"
"29","2011","-","-","-","-","-","-","-","-","-","-","-"
"30","2012","-","-","-","-","-","-","-","-","-","-","-"
"31","2013","-","-","-","-","-","-","-","-","-","-","-"
"32","2014","-","-","-","-","-","-","-","-","-","-","-"
"33","2015","-","-","-","-","-","-","-","-","-","-","-"
"34","2016","-","-","-","-","-","-","-","-","-","-","-"
"35","2017","-","-","-","-","-","-","-","-","-","-","-"
"36","2018","-","-","-","-","-","-","-","-","-","-","-"
"37","2019","-","-","-","-","-","-","-","-","-","-","-"
