"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1983","-","-","-","-","-","-","-","-","-","-","-"
"2","1984","-1.4","5.0","-7.4","267.19","9.1","53","19","7","1","0","1"
"3","1985","-","-","-","-","-","50","23","1","0","0","0"
"4","1986","-","-","-","-","-","-","-","-","-","-","-"
"5","1987","-","-","-","-","-","-","-","-","-","-","-"
"6","1988","-0.4","6.2","-6.6","276.85","8.5","36","11","3","0","0","1"
"7","1989","0.1","6.7","-6.0","394.96","9.1","46","22","5","3","0","3"
"8","1990","0.4","7.1","-5.7","0.00","10.1","58","22","3","1","0","0"
"9","1991","-0.5","5.9","-6.6","-","10.3","51","23","17","6","0","1"
"10","1992","-","-","-","-","-","-","-","-","-","-","-"
"11","1993","-0.7","5.7","-6.7","18.28","10.9","52","23","6","3","0","0"
"12","1994","-0.3","6.3","-6.4","377.96","9.6","48","28","14","2","0","0"
"13","1995","0.3","7.2","-6.3","2.03","10.0","34","23","9","2","0","0"
"14","1996","-","-","-","-","-","-","-","-","-","-","-"
"15","1997","1.2","8.2","-5.5","0.00","10.7","44","6","8","7","0","0"
"16","1998","1.5","8.3","-5.2","25.91","10.2","41","17","10","0","0","0"
"17","1999","0.5","7.1","-6.2","-","9.9","50","28","19","1","0","0"
"18","2000","-0.2","6.5","-7.0","-","10.8","41","23","14","0","0","0"
"19","2001","0.0","7.0","-6.7","294.11","10.8","46","26","20","1","0","0"
"20","2002","-","-","-","-","-","-","-","-","-","-","-"
"21","2003","-0.2","6.2","-6.2","291.83","9.7","58","29","24","1","0","1"
"22","2004","1.1","8.4","-5.6","223.01","10.7","44","18","11","0","0","0"
"23","2005","-","-","-","-","-","-","-","-","-","-","-"
"24","2006","0.6","7.7","-6.4","-","9.9","56","20","13","0","0","0"
"25","2007","2.0","9.2","-4.6","-","10.4","46","28","20","1","0","1"
"26","2008","0.8","7.8","-5.7","-","11.1","66","17","13","0","0","1"
"27","2009","0.4","7.4","-6.7","-","10.9","47","22","13","0","0","0"
"28","2010","-0.8","5.8","-7.6","-","10.1","49","41","11","3","0","0"
"29","2011","-1.0","5.8","-7.6","-","9.4","54","39","20","0","0","0"
"30","2012","-1.3","5.5","-8.0","-","10.5","55","31","20","0","0","0"
"31","2013","-0.1","6.3","-6.3","-","11.9","78","32","25","0","0","0"
"32","2014","0.4","7.2","-6.1","-","12.4","66","20","15","1","0","0"
"33","2015","1.5","8.3","-5.2","-","12.2","57","27","9","0","0","1"
"34","2016","0.1","6.5","-6.0","-","11.7","69","37","11","0","0","0"
"35","2017","1.8","8.7","-4.9","-","11.7","48","19","17","0","0","0"
"36","2018","1.1","7.6","-5.8","-","-","60","22","20","5","0","2"
"37","2019","-","-","-","-","-","-","-","-","-","-","-"
