"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1999","-","-","-","-","-","-","-","-","-","-","-"
"2","2000","-","-","-","-","-","-","-","-","-","-","-"
"3","2001","26.4","31.2","23.4","-","7.0","225","0","149","5","0","0"
"4","2002","-","-","-","-","-","180","0","134","10","0","0"
"5","2003","26.1","30.9","23.0","-","4.8","216","0","152","10","0","0"
"6","2004","26.1","31.0","23.0","-","5.0","192","0","144","8","0","0"
"7","2005","-","-","-","-","-","-","-","-","-","-","-"
"8","2006","26.2","31.1","23.2","-","4.7","196","0","163","16","0","0"
"9","2007","26.1","30.7","23.1","-","5.4","221","0","170","6","0","0"
"10","2008","26.0","30.6","23.0","-","5.5","228","0","178","19","0","0"
"11","2009","26.5","31.3","23.3","-","5.8","200","0","165","6","0","0"
"12","2010","26.7","31.7","23.5","-","5.5","235","0","183","9","0","0"
"13","2011","26.6","31.3","23.5","-","5.2","231","0","172","14","0","0"
"14","2012","26.6","31.5","23.4","-","4.8","216","0","204","26","0","0"
"15","2013","27.1","31.9","24.0","-","5.0","239","0","176","6","0","0"
"16","2014","26.9","31.8","23.6","-","5.7","194","0","176","9","0","0"
"17","2015","27.1","32.1","23.7","-","5.3","190","0","163","34","0","0"
"18","2016","27.7","32.9","24.2","1925.71","5.3","222","0","169","15","0","0"
"19","2017","27.1","32.1","23.8","2857.18","5.2","250","0","199","9","0","1"
"20","2018","26.9","32.2","23.5","2077.43","5.3","206","0","168","13","0","0"
"21","2019","-","-","-","-","-","-","-","-","-","-","-"
