"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1957","-","-","-","-","-","-","-","-","-","-","-"
"2","1958","28.7","36.1","21.8","-","20.0","20","0","35","0","0","0"
"3","1959","-","-","-","-","-","-","-","-","-","-","-"
"4","1960","-","-","-","-","-","-","-","-","-","-","-"
"5","1961","-","-","-","-","-","-","-","-","-","-","-"
"6","1962","-","-","-","-","-","-","-","-","-","-","-"
"7","1963","-","-","-","-","-","-","-","-","-","-","-"
"8","1964","-","-","-","-","-","-","-","-","-","-","-"
"9","1965","-","-","-","-","-","-","-","-","-","-","-"
"10","1966","-","-","-","-","-","-","-","-","-","-","-"
"11","1967","-","-","-","-","-","-","-","-","-","-","-"
"12","1973","-","-","-","-","-","-","-","-","-","-","-"
"13","1974","-","-","-","-","-","-","-","-","-","-","-"
"14","1975","-","-","-","-","-","-","-","-","-","-","-"
"15","1976","-","-","-","-","-","-","-","-","-","-","-"
"16","1977","-","-","-","-","-","-","-","-","-","-","-"
"17","1978","-","-","-","-","-","-","-","-","-","-","-"
"18","1979","-","-","-","-","-","-","-","-","-","-","-"
"19","1980","-","-","-","-","-","-","-","-","-","-","-"
"20","1981","-","-","-","-","-","-","-","-","-","-","-"
"21","1982","-","-","-","-","-","-","-","-","-","-","-"
"22","1983","-","-","-","-","-","-","-","-","-","-","-"
"23","1984","-","-","-","-","-","-","-","-","-","-","-"
"24","1985","-","-","-","-","-","-","-","-","-","-","-"
"25","1987","-","-","-","-","-","-","-","-","-","-","-"
"26","1989","-","-","-","-","-","-","-","-","-","-","-"
"27","1990","-","-","-","-","-","-","-","-","-","-","-"
"28","1991","-","-","-","-","-","-","-","-","-","-","-"
"29","1992","-","-","-","-","-","-","-","-","-","-","-"
"30","1993","-","-","-","-","-","-","-","-","-","-","-"
"31","1994","-","-","-","-","-","-","-","-","-","-","-"
"32","1995","-","-","-","-","-","-","-","-","-","-","-"
"33","1996","-","-","-","-","-","-","-","-","-","-","-"
"34","1997","-","-","-","-","-","-","-","-","-","-","-"
"35","1998","-","-","-","-","-","-","-","-","-","-","-"
"36","1999","-","-","-","-","-","-","-","-","-","-","-"
"37","2000","-","-","-","-","-","-","-","-","-","-","-"
"38","2001","-","-","-","-","-","-","-","-","-","-","-"
"39","2002","-","-","-","-","-","-","-","-","-","-","-"
"40","2003","-","-","-","-","-","-","-","-","-","-","-"
"41","2004","-","-","-","-","-","-","-","-","-","-","-"
"42","2005","-","-","-","-","-","-","-","-","-","-","-"
"43","2006","-","-","-","-","-","-","-","-","-","-","-"
"44","2007","-","-","-","-","-","-","-","-","-","-","-"
"45","2008","-","-","-","-","-","-","-","-","-","-","-"
"46","2009","-","-","-","-","-","-","-","-","-","-","-"
"47","2010","-","-","-","-","-","-","-","-","-","-","-"
"48","2011","-","-","-","-","-","-","-","-","-","-","-"
"49","2012","-","-","-","-","-","-","-","-","-","-","-"
