"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","-","-","-","-","-","-","-","-","-","-","-"
"2","1974","-","-","-","-","-","-","-","-","-","-","-"
"3","1975","-","-","-","-","-","-","-","-","-","-","-"
"4","1976","-","-","-","-","-","-","-","-","-","-","-"
"5","1977","-","-","-","-","-","-","-","-","-","-","-"
"6","1978","-","-","-","-","-","-","-","-","-","-","-"
"7","1979","-","-","-","-","-","-","-","-","-","-","-"
"8","1980","23.7","26.4","-","-","14.3","195","2","14","1","3","0"
"9","1981","23.9","26.6","-","-","11.6","177","1","12","1","4","0"
"10","1982","-","-","-","-","-","-","-","-","-","-","-"
"11","1983","23.8","26.7","20.6","-","16.2","185","0","6","1","0","1"
"12","1984","23.6","26.6","20.5","-","15.5","187","0","8","1","0","1"
"13","1985","23.7","26.5","20.7","1889.13","17.1","204","1","17","0","2","1"
"14","1986","23.7","27.0","20.4","-","12.0","174","0","11","0","0","0"
"15","1987","24.4","27.8","20.8","2221.46","12.0","186","0","16","0","4","0"
"16","1988","24.3","27.5","20.6","1417.60","15.0","167","0","22","0","0","0"
"17","1989","23.7","26.7","20.6","-","13.3","188","0","16","2","1","0"
"18","1990","-","-","-","-","-","-","-","-","-","-","-"
"19","1991","-","-","-","-","-","-","-","-","-","-","-"
"20","1992","-","-","-","-","-","-","-","-","-","-","-"
"21","1993","-","-","-","-","-","-","-","-","-","-","-"
"22","1994","-","-","-","-","-","-","-","-","-","-","-"
"23","1995","23.5","27.1","20.4","-","16.3","195","2","11","0","2","0"
"24","1996","23.3","27.2","20.3","-","14.9","201","0","15","3","1","0"
"25","1997","23.8","27.3","20.4","2218.99","14.0","213","0","19","0","2","0"
"26","1998","24.2","27.6","21.0","2505.78","14.9","227","1","7","0","2","0"
"27","1999","24.0","27.6","20.5","-","15.2","176","0","0","0","1","1"
"28","2000","23.6","27.0","20.6","-","16.2","213","0","5","0","0","0"
"29","2001","24.0","27.8","20.8","-","15.0","218","0","21","0","0","0"
"30","2002","-","-","-","-","-","215","1","12","0","0","0"
"31","2003","24.1","27.7","21.0","-","13.5","236","0","18","0","0","0"
"32","2004","23.9","27.4","21.0","-","13.4","230","0","18","0","0","0"
"33","2005","-","-","-","-","-","-","-","-","-","-","-"
"34","2006","24.3","27.6","20.9","1677.43","16.2","212","0","13","0","0","0"
"35","2007","24.4","27.5","21.2","1289.34","16.6","219","0","12","0","0","0"
"36","2008","24.3","27.3","21.2","1979.01","15.3","212","0","12","1","0","0"
"37","2009","24.7","27.9","21.6","1698.52","14.4","218","0","26","0","0","0"
"38","2010","24.8","28.1","21.6","1536.47","14.6","196","0","20","0","0","0"
"39","2011","24.7","28.2","21.4","1494.26","13.0","192","0","31","0","0","0"
"40","2012","24.8","27.8","21.7","1074.90","15.8","204","0","13","0","0","0"
"41","2013","24.5","27.5","21.3","1717.56","14.5","194","0","21","1","0","0"
"42","2014","24.8","27.9","21.5","1502.68","14.2","214","0","16","0","0","0"
"43","2015","24.9","27.8","21.9","1670.81","15.0","203","0","20","0","0","0"
"44","2016","24.6","27.6","21.5","1432.09","15.7","211","0","15","0","0","0"
"45","2017","25.2","28.1","21.9","1564.36","15.9","206","0","16","1","0","0"
"46","2018","25.0","28.1","21.7","2249.32","16.1","204","0","35","0","0","0"
"47","2019","-","-","-","-","-","-","-","-","-","-","-"
