"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1949","-","-","-","-","-","-","-","-","-","-","-"
"2","1950","-","-","-","-","-","-","-","-","-","-","-"
"3","1951","15.9","21.1","11.0","-","4.6","41","0","0","190","0","2"
"4","1952","15.5","19.9","11.2","260.13","4.9","39","1","1","210","0","1"
"5","1953","16.1","20.0","10.6","-","3.8","17","0","1","187","0","0"
"6","1954","-","-","-","-","-","-","-","-","-","-","-"
"7","1955","-","-","-","-","-","-","-","-","-","-","-"
"8","1956","15.8","21.2","11.8","-","3.7","25","0","0","216","0","0"
"9","1957","16.6","21.5","12.7","-","4.4","49","0","1","182","0","0"
"10","1958","17.2","22.5","13.1","-","3.5","36","0","1","86","0","1"
"11","1959","17.4","23.2","12.8","-","2.9","20","0","0","60","0","0"
"12","1960","-","-","-","-","-","-","-","-","-","-","-"
"13","1981","-","-","-","-","-","-","-","-","-","-","-"
