"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1965","-","-","-","-","-","-","-","-","-","-","-"
"2","1966","17.6","20.0","14.4","-","17.9","20","0","3","17","0","1"
"3","1967","17.3","19.7","14.4","-","17.4","27","0","1","13","0","0"
"4","1973","-","-","-","-","-","-","-","-","-","-","-"
"5","1974","-","-","-","-","-","-","-","-","-","-","-"
"6","1975","-","-","-","-","-","-","-","-","-","-","-"
"7","1976","-","-","-","-","-","-","-","-","-","-","-"
"8","1977","-","-","-","-","-","-","-","-","-","-","-"
"9","1978","-","-","-","-","-","-","-","-","-","-","-"
"10","1979","-","-","-","-","-","-","-","-","-","-","-"
"11","1980","-","-","-","-","-","-","-","-","-","-","-"
"12","1981","-","-","-","-","-","-","-","-","-","-","-"
"13","1982","-","-","-","-","-","-","-","-","-","-","-"
"14","1983","17.9","20.7","15.2","195.33","13.5","51","0","5","29","0","1"
"15","1984","-","-","-","-","-","-","-","-","-","-","-"
"16","1985","-","-","-","-","-","-","-","-","-","-","-"
"17","1986","-","-","-","-","-","-","-","-","-","-","-"
"18","1987","-","-","-","-","-","-","-","-","-","-","-"
"19","1988","17.7","20.4","15.1","437.65","18.0","43","0","0","16","0","0"
"20","1989","-","-","-","-","-","-","-","-","-","-","-"
"21","1990","-","-","-","-","-","-","-","-","-","-","-"
"22","1991","-","-","-","-","-","-","-","-","-","-","-"
"23","1992","18.0","20.6","15.5","100.08","16.5","21","0","1","3","0","0"
"24","1993","17.4","19.8","14.8","267.99","16.5","42","0","4","2","0","0"
"25","1994","17.8","20.3","15.5","170.21","18.4","25","0","0","10","0","0"
"26","1995","18.3","21.1","15.9","218.73","22.0","26","0","0","18","0","0"
"27","1996","-","-","-","-","-","64","0","3","19","0","0"
"28","1997","18.9","21.6","16.5","340.63","12.7","34","0","0","6","0","0"
"29","1998","18.1","21.0","15.5","219.98","20.3","22","0","0","14","0","0"
"30","1999","17.2","20.1","14.7","-","19.7","33","0","1","17","0","0"
"31","2000","16.9","19.6","14.5","-","-","28","0","0","22","0","0"
"32","2001","-","-","-","-","-","-","-","-","-","-","-"
"33","2002","-","-","-","-","-","-","-","-","-","-","-"
"34","2003","-","-","-","-","-","-","-","-","-","-","-"
"35","2004","-","-","-","-","-","-","-","-","-","-","-"
"36","2005","-","-","-","-","-","-","-","-","-","-","-"
"37","2006","-","-","-","-","-","-","-","-","-","-","-"
"38","2007","-","-","-","-","-","-","-","-","-","-","-"
"39","2008","-","-","-","-","-","-","-","-","-","-","-"
"40","2009","-","-","-","-","-","-","-","-","-","-","-"
"41","2010","-","-","-","-","-","-","-","-","-","-","-"
"42","2011","-","-","-","-","-","-","-","-","-","-","-"
"43","2012","-","-","-","-","-","-","-","-","-","-","-"
"44","2013","19.7","23.8","-","262.63","15.3","12","0","0","20","0","0"
"45","2014","20.0","25.3","14.6","436.87","18.5","27","0","2","25","0","0"
"46","2015","19.3","25.6","14.0","-","15.0","32","0","3","12","0","0"
"47","2016","19.1","25.3","14.1","-","14.9","51","0","5","22","0","0"
"48","2017","19.9","26.4","14.5","-","13.8","22","0","3","16","0","0"
"49","2018","19.3","25.1","13.5","-","15.1","34","0","0","10","0","0"
"50","2019","-","-","-","-","-","-","-","-","-","-","-"
