"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1994","-","-","-","-","-","-","-","-","-","-","-"
"2","1995","-","-","-","-","-","-","-","-","-","-","-"
"3","1996","-","-","-","-","-","-","-","-","-","-","-"
"4","1997","-","-","-","-","-","-","-","-","-","-","-"
"5","1998","-","-","-","-","-","-","-","-","-","-","-"
"6","1999","11.4","14.9","8.0","909.49","17.1","0","0","0","0","0","0"
"7","2000","-","-","-","-","-","-","-","-","-","-","-"
"8","2001","-","-","-","-","-","-","-","-","-","-","-"
"9","2002","-","-","-","-","-","-","-","-","-","-","-"
"10","2003","10.9","14.9","7.0","807.50","15.5","0","0","0","0","0","0"
"11","2004","10.9","14.3","7.5","690.87","16.9","0","0","0","0","0","0"
"12","2005","-","-","-","-","-","-","-","-","-","-","-"
"13","2006","11.4","14.8","7.9","704.09","16.7","0","0","0","0","0","0"
"14","2007","11.5","14.9","8.1","852.68","17.2","11","2","0","5","0","0"
"15","2008","10.8","14.1","7.5","762.52","17.6","241","22","10","59","0","0"
"16","2009","10.9","14.5","7.3","730.23","16.6","211","15","28","49","0","0"
"17","2010","9.6","12.9","6.2","900.97","16.2","209","39","21","53","0","0"
"18","2011","11.4","15.0","8.1","784.82","17.3","210","2","35","38","0","1"
"19","2012","10.5","13.9","7.4","935.31","16.5","257","11","38","50","0","0"
"20","2013","10.2","13.6","7.0","-","16.8","215","25","22","42","0","0"
"21","2014","-","-","-","-","-","-","-","-","-","-","-"
"22","2017","-","-","-","-","-","-","-","-","-","-","-"
"23","2018","11.8","15.5","8.2","660.67","16.6","0","0","0","0","0","0"
"24","2019","-","-","-","-","-","-","-","-","-","-","-"
