"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1984","-","-","-","-","-","-","-","-","-","-","-"
"2","1985","-","-","-","-","-","-","-","-","-","-","-"
"3","1986","-","-","-","-","-","-","-","-","-","-","-"
"4","1987","-","-","-","-","-","-","-","-","-","-","-"
"5","1988","-","-","-","-","-","-","-","-","-","-","-"
"6","1989","15.4","17.5","13.9","1319.29","31.6","0","0","0","0","0","0"
"7","1990","-","-","-","-","-","-","-","-","-","-","-"
"8","1991","-","-","-","-","-","-","-","-","-","-","-"
"9","1992","-","-","-","-","-","-","-","-","-","-","-"
"10","1993","-","-","-","-","-","-","-","-","-","-","-"
"11","1994","14.9","17.3","13.4","477.73","30.3","0","0","0","0","0","0"
"12","1995","15.5","17.9","14.0","1585.15","30.1","0","0","0","0","0","0"
"13","1996","15.5","17.9","14.0","1311.73","31.9","0","0","0","0","0","0"
"14","1997","-","-","-","-","-","-","-","-","-","-","-"
"15","1998","-","-","-","-","-","0","0","0","0","0","0"
"16","1999","15.8","18.0","14.3","185.44","31.4","0","0","0","0","0","0"
"17","2000","15.2","17.6","13.7","637.57","30.7","0","0","0","0","0","0"
"18","2001","-","-","-","-","-","-","-","-","-","-","-"
"19","2002","-","-","-","-","-","-","-","-","-","-","-"
"20","2003","15.2","18.3","12.9","1137.22","29.4","0","0","0","0","0","0"
"21","2004","14.7","17.8","12.4","890.03","31.1","0","0","0","0","0","0"
"22","2005","-","-","-","-","-","-","-","-","-","-","-"
"23","2006","14.9","18.1","12.5","878.24","29.3","0","0","0","0","0","0"
"24","2007","-","-","-","-","-","-","-","-","-","-","-"
"25","2008","15.6","18.2","13.7","1244.26","31.6","0","0","0","0","0","0"
"26","2009","15.3","17.5","13.7","894.25","30.4","0","0","0","0","0","0"
"27","2010","-","-","-","-","-","-","-","-","-","-","-"
"28","2011","15.4","18.3","13.2","720.80","31.5","0","0","0","0","0","0"
"29","2012","15.0","17.9","12.8","784.31","31.3","0","0","0","0","0","0"
"30","2013","-","-","-","-","-","-","-","-","-","-","-"
"31","2014","-","-","-","-","-","-","-","-","-","-","-"
"32","2015","-","-","-","-","-","-","-","-","-","-","-"
"33","2016","15.8","18.7","13.6","604.16","29.4","0","0","0","0","0","0"
"34","2017","15.6","18.5","13.5","521.63","29.5","0","0","0","0","0","0"
"35","2018","15.7","18.5","13.5","619.18","29.3","0","0","0","0","0","0"
"36","2019","-","-","-","-","-","-","-","-","-","-","-"
