"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1957","-","-","-","-","-","-","-","-","-","-","-"
"2","1958","-","-","-","-","-","-","-","-","-","-","-"
"3","1959","-","-","-","-","-","-","-","-","-","-","-"
"4","1960","-","-","-","-","-","-","-","-","-","-","-"
"5","1961","11.3","16.1","6.1","2759.66","8.4","132","23","12","28","0","1"
"6","1962","10.5","15.8","5.6","3722.39","9.1","106","34","10","25","0","0"
"7","1963","10.2","15.3","5.5","3084.11","8.4","118","23","14","34","0","3"
"8","1964","11.0","15.7","6.4","3504.44","6.7","122","24","13","31","0","0"
"9","1965","-","-","-","-","-","-","-","-","-","-","-"
"10","1966","-","-","-","-","-","-","-","-","-","-","-"
"11","1967","-","-","-","-","-","-","-","-","-","-","-"
"12","1968","-","-","-","-","-","-","-","-","-","-","-"
"13","1969","9.7","14.6","4.8","-","-","122","41","7","35","0","1"
"14","1970","10.2","15.4","5.1","4017.49","-","109","31","11","22","0","0"
"15","1971","-","-","-","-","-","-","-","-","-","-","-"
"16","1973","11.0","16.3","6.0","-","12.9","122","34","7","17","0","2"
"17","1974","10.0","15.3","4.8","-","12.3","114","35","9","21","0","1"
"18","1975","11.3","16.6","6.3","-","8.9","123","26","14","33","0","0"
"19","1976","10.1","15.4","5.0","-","9.4","128","38","6","28","0","0"
"20","1977","10.9","16.4","5.5","-","9.9","113","26","11","35","0","1"
"21","1978","11.1","16.4","6.0","-","5.9","120","30","9","22","0","1"
"22","1979","11.2","16.4","6.0","-","6.7","125","32","19","23","0","1"
"23","1980","9.6","15.1","4.3","-","6.6","120","38","11","25","0","1"
"24","1981","9.9","15.4","4.5","-","5.8","112","32","9","32","0","1"
"25","1982","11.2","16.9","5.8","-","5.5","110","20","22","24","1","0"
"26","1983","10.9","16.1","5.9","-","5.5","109","30","19","31","0","0"
"27","1984","10.3","15.4","5.2","-","4.9","109","30","10","28","0","1"
"28","1985","10.3","15.2","5.5","-","6.2","119","31","9","22","0","0"
"29","1986","10.0","15.0","4.9","-","6.4","116","20","15","38","0","0"
"30","1987","10.6","15.6","5.6","-","5.7","108","14","6","36","0","0"
"31","1988","10.8","16.2","5.6","-","6.3","96","26","12","20","0","0"
"32","1989","11.6","16.8","6.7","-","5.6","108","21","7","27","0","0"
"33","1990","11.3","16.1","6.8","-","5.2","136","24","12","52","0","0"
"34","1991","10.8","16.3","5.9","-","6.8","90","24","10","29","0","0"
"35","1992","11.1","16.5","6.2","-","5.1","112","25","17","21","1","0"
"36","1993","10.6","15.7","5.7","-","6.4","110","18","16","53","0","0"
"37","1994","11.9","17.1","6.8","-","6.2","102","19","15","34","0","2"
"38","1995","10.7","16.1","5.7","-","5.4","105","21","8","30","0","2"
"39","1996","10.7","16.3","5.7","-","6.9","103","17","8","37","0","1"
"40","1997","11.2","16.8","6.1","-","5.7","103","17","17","44","0","0"
"41","1998","-","-","-","-","-","-","-","-","-","-","-"
"42","1999","-","-","-","-","-","-","-","-","-","-","-"
"43","2000","-","-","-","-","-","-","-","-","-","-","-"
"44","2001","-","-","-","-","-","-","-","-","-","-","-"
"45","2002","-","-","-","-","-","-","-","-","-","-","-"
"46","2003","11.7","16.6","6.9","-","7.0","115","15","8","42","0","0"
"47","2004","-","-","-","-","-","-","-","-","-","-","-"
"48","2005","-","-","-","-","-","-","-","-","-","-","-"
"49","2006","-","-","-","-","-","-","-","-","-","-","-"
"50","2007","-","-","-","-","-","-","-","-","-","-","-"
"51","2008","11.5","17.3","6.3","-","6.6","98","9","13","40","0","0"
"52","2009","-","-","-","-","-","-","-","-","-","-","-"
"53","2010","-","-","-","-","-","-","-","-","-","-","-"
"54","2011","-","-","-","-","-","102","12","13","45","0","0"
"55","2012","10.8","16.2","5.8","-","6.4","90","14","5","23","0","1"
"56","2013","11.0","16.0","6.1","-","-","97","24","4","59","0","0"
"57","2014","12.0","18.1","6.6","-","-","71","15","8","43","0","0"
"58","2015","12.5","18.4","7.2","-","-","79","17","5","19","0","0"
"59","2016","12.4","18.3","7.1","-","-","75","18","5","28","0","0"
"60","2017","11.7","16.6","6.3","-","-","68","20","3","28","0","0"
"61","2018","11.6","16.3","6.4","-","-","75","12","5","37","0","0"
"62","2019","-","-","-","-","-","-","-","-","-","-","-"
