"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","-","-","-","-","-","-","-","-","-","-","-"
"2","1974","-","-","-","-","-","-","-","-","-","-","-"
"3","1975","25.9","30.3","22.9","-","9.3","214","1","80","10","0","2"
"4","1976","26.2","31.3","22.5","-","11.8","164","0","106","8","0","2"
"5","1977","26.5","31.7","23.1","-","10.1","184","0","110","15","0","1"
"6","1978","26.3","31.3","22.9","-","8.4","219","1","145","6","0","2"
"7","1979","26.2","30.7","22.8","-","7.0","199","0","160","18","1","0"
"8","1980","26.2","30.7","22.8","-","5.4","189","0","163","36","0","0"
"9","1981","26.0","30.3","22.9","-","5.6","205","0","187","13","0","1"
"10","1982","26.2","31.0","22.5","-","4.9","134","1","135","3","0","0"
"11","1983","26.7","31.8","22.8","-","5.0","153","0","182","4","0","1"
"12","1984","25.8","30.8","21.7","-","4.6","170","0","150","1","1","0"
"13","1985","-","-","-","-","-","-","-","-","-","-","-"
"14","1986","26.1","31.8","21.5","1729.24","5.7","137","2","133","4","0","0"
"15","1987","26.7","32.3","22.6","1503.99","6.6","163","0","151","3","1","2"
"16","1988","26.2","31.5","21.8","2240.53","6.0","175","0","165","7","0","1"
"17","1989","-","-","-","-","-","157","0","155","1","0","0"
"18","1990","26.5","31.4","22.7","-","7.0","155","1","103","1","0","0"
"19","1991","-","-","-","-","-","-","-","-","-","-","-"
"20","1992","26.5","31.9","22.6","-","6.0","141","0","139","0","0","2"
"21","1993","26.7","32.1","22.5","-","4.6","142","6","156","4","1","0"
"22","1994","26.6","32.4","22.4","-","4.7","169","0","156","1","0","0"
"23","1995","26.5","32.4","22.3","2420.93","4.3","193","0","179","3","0","0"
"24","1996","26.3","32.0","22.2","-","4.6","175","0","145","2","0","0"
"25","1997","27.7","33.3","23.1","1228.36","7.3","114","0","114","1","0","0"
"26","1998","27.9","33.3","23.4","2338.62","8.1","157","0","148","0","0","0"
"27","1999","27.1","31.8","23.3","-","7.7","192","0","150","6","1","0"
"28","2000","27.4","32.1","23.3","-","7.5","159","0","138","1","0","0"
"29","2001","26.9","32.6","22.7","-","8.1","153","0","142","2","0","0"
"30","2002","-","-","-","-","-","-","-","-","-","-","-"
"31","2003","27.8","32.2","24.4","-","8.8","156","0","144","0","0","1"
"32","2004","27.7","31.7","24.4","-","7.7","153","0","132","0","0","0"
"33","2005","-","-","-","-","-","-","-","-","-","-","-"
"34","2006","26.9","31.9","23.3","-","4.3","148","0","147","0","0","0"
"35","2007","27.2","31.5","23.5","-","4.6","165","0","124","1","0","1"
"36","2008","26.9","31.4","23.1","-","4.7","151","0","117","2","0","0"
"37","2009","27.3","32.1","23.7","-","4.7","154","0","133","0","0","0"
"38","2010","27.3","31.7","24.1","-","5.2","200","0","131","1","0","1"
"39","2011","26.7","31.3","23.2","-","4.4","193","0","154","1","0","0"
"40","2012","27.2","32.0","23.6","-","4.0","164","0","167","0","0","0"
"41","2013","27.4","31.8","24.1","-","3.3","155","0","112","0","0","0"
"42","2014","27.5","31.9","24.1","-","3.7","155","0","96","0","0","0"
"43","2015","28.0","32.4","24.9","-","4.0","127","0","97","1","0","0"
"44","2016","27.2","31.9","23.7","-","7.1","158","0","111","1","0","0"
"45","2017","26.8","31.5","23.3","-","7.7","185","0","129","1","0","0"
"46","2018","26.6","31.3","23.0","-","8.1","164","0","125","1","0","0"
"47","2019","-","-","-","-","-","-","-","-","-","-","-"
