"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1963","-","-","-","-","-","-","-","-","-","-","-"
"2","1964","-","-","-","-","-","-","-","-","-","-","-"
"3","1965","-","-","-","-","-","-","-","-","-","-","-"
"4","1966","-","-","-","-","-","-","-","-","-","-","-"
"5","1967","-","-","-","-","-","-","-","-","-","-","-"
"6","1968","-","-","-","-","-","-","-","-","-","-","-"
"7","1969","-","-","-","-","-","-","-","-","-","-","-"
"8","1973","-","-","-","-","-","-","-","-","-","-","-"
"9","1974","-","-","-","-","-","-","-","-","-","-","-"
"10","1975","-","-","-","-","-","-","-","-","-","-","-"
"11","1976","-","-","-","-","-","-","-","-","-","-","-"
"12","1977","26.4","31.5","20.0","-","2.2","82","0","7","27","0","0"
"13","1978","25.4","31.9","19.7","2310.19","1.7","67","0","11","57","0","0"
"14","1979","24.6","31.8","19.7","2102.88","1.5","86","0","17","72","0","0"
"15","1980","24.5","31.9","19.6","2253.27","1.8","87","0","7","52","0","0"
"16","1981","-","-","-","-","-","-","-","-","-","-","-"
"17","1982","24.7","31.3","20.0","3413.04","0.9","116","0","4","59","0","1"
"18","1983","24.6","31.1","20.0","2569.71","1.3","84","1","6","46","0","0"
"19","1984","24.4","30.2","20.2","2742.20","1.4","100","0","10","54","0","0"
"20","1985","-","-","-","-","-","-","-","-","-","-","-"
"21","1986","-","-","-","-","-","-","-","-","-","-","-"
"22","1987","-","-","-","-","-","-","-","-","-","-","-"
"23","1988","24.8","31.0","19.7","1394.24","5.6","73","0","10","8","0","0"
"24","1989","24.2","30.8","19.3","1820.66","6.4","78","0","24","25","0","11"
"25","1990","-","-","-","-","-","-","-","-","-","-","-"
"26","1991","-","-","-","-","-","-","-","-","-","-","-"
"27","1992","-","-","-","-","-","-","-","-","-","-","-"
"28","1993","26.3","30.7","21.7","1321.58","6.0","87","0","33","9","5","0"
"29","1994","26.7","31.4","21.5","1790.66","4.3","75","1","30","19","1","0"
"30","1995","25.9","31.8","20.8","1675.90","4.6","55","0","45","34","0","0"
"31","1996","26.2","32.1","20.1","2075.16","4.0","72","0","56","30","0","0"
"32","1997","26.3","32.2","20.9","2319.76","3.8","73","0","64","33","0","0"
"33","1998","-","-","-","-","-","-","-","-","-","-","-"
"34","1999","-","-","-","-","-","-","-","-","-","-","-"
"35","2000","-","-","-","-","-","-","-","-","-","-","-"
"36","2001","-","-","-","-","-","-","-","-","-","-","-"
"37","2002","-","-","-","-","-","-","-","-","-","-","-"
"38","2003","-","-","-","-","-","-","-","-","-","-","-"
"39","2004","-","-","-","-","-","-","-","-","-","-","-"
"40","2005","-","-","-","-","-","-","-","-","-","-","-"
"41","2006","27.8","31.6","20.7","-","5.5","77","0","40","60","0","0"
"42","2007","27.6","31.3","20.5","-","-","87","0","31","60","0","0"
"43","2008","27.7","31.5","21.0","-","-","74","0","30","59","0","0"
"44","2009","-","-","-","-","-","-","-","-","-","-","-"
"45","2010","-","-","-","-","-","-","-","-","-","-","-"
"46","2011","-","-","-","-","-","-","-","-","-","-","-"
"47","2012","27.7","31.6","21.1","-","5.1","103","0","36","41","0","0"
"48","2013","27.6","31.5","21.2","-","5.7","101","0","41","45","0","1"
"49","2014","27.6","31.6","21.3","-","-","109","0","51","44","0","5"
"50","2015","28.0","32.1","21.4","-","-","126","0","72","55","0","0"
"51","2016","27.6","31.8","21.2","1610.39","-","91","0","57","38","0","0"
"52","2017","27.3","31.2","21.2","-","-","122","0","61","42","0","0"
"53","2018","26.5","30.5","20.6","-","-","134","0","57","43","0","0"
"54","2019","-","-","-","-","-","-","-","-","-","-","-"
