"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1959","-","-","-","-","-","-","-","-","-","-","-"
"2","1960","-","-","-","-","-","-","-","-","-","-","-"
"3","1961","-","-","-","-","-","-","-","-","-","-","-"
"4","1962","-","-","-","-","-","-","-","-","-","-","-"
"5","1963","-","-","-","-","-","-","-","-","-","-","-"
"6","1973","-","-","-","-","-","-","-","-","-","-","-"
"7","1974","-","-","-","-","-","-","-","-","-","-","-"
"8","1975","-","-","-","-","-","-","-","-","-","-","-"
"9","1976","-","-","-","-","-","-","-","-","-","-","-"
"10","1977","-","-","-","-","-","-","-","-","-","-","-"
"11","1978","-","-","-","-","-","-","-","-","-","-","-"
"12","1979","-","-","-","-","-","-","-","-","-","-","-"
"13","1980","-","-","-","-","-","-","-","-","-","-","-"
"14","1981","-","-","-","-","-","-","-","-","-","-","-"
"15","1982","-","-","-","-","-","-","-","-","-","-","-"
"16","1983","-","-","-","-","-","-","-","-","-","-","-"
"17","1984","-","-","-","-","-","-","-","-","-","-","-"
"18","1985","-","-","-","-","-","-","-","-","-","-","-"
"19","1986","-","-","-","-","-","-","-","-","-","-","-"
"20","1987","-","-","-","-","-","-","-","-","-","-","-"
"21","1988","-","-","-","-","-","-","-","-","-","-","-"
"22","1989","-","-","-","-","-","-","-","-","-","-","-"
"23","1990","-","-","-","-","-","-","-","-","-","-","-"
"24","1991","27.7","30.8","24.6","718.54","6.2","94","0","37","1","0","1"
"25","1992","27.9","31.0","24.7","685.33","6.1","94","0","37","0","1","2"
"26","1993","-","-","-","-","-","-","-","-","-","-","-"
"27","1994","27.5","30.9","24.4","932.50","7.0","87","0","30","1","1","1"
"28","1995","-","-","-","-","-","-","-","-","-","-","-"
"29","1996","-","-","-","-","-","-","-","-","-","-","-"
"30","1997","-","-","-","-","-","-","-","-","-","-","-"
"31","1998","-","-","-","-","-","-","-","-","-","-","-"
"32","1999","-","-","-","-","-","-","-","-","-","-","-"
"33","2000","-","-","-","-","-","-","-","-","-","-","-"
"34","2001","-","-","-","-","-","-","-","-","-","-","-"
"35","2002","-","-","-","-","-","-","-","-","-","-","-"
"36","2003","-","-","-","-","-","-","-","-","-","-","-"
"37","2004","-","-","-","-","-","117","0","33","0","0","2"
"38","2005","-","-","-","-","-","-","-","-","-","-","-"
"39","2006","27.6","30.6","24.3","-","4.9","114","0","41","1","0","1"
"40","2007","27.6","30.8","24.4","-","5.4","138","0","56","0","0","2"
"41","2008","27.4","30.7","24.2","-","5.4","157","0","76","1","1","0"
"42","2009","27.5","30.9","24.3","1457.70","5.9","149","0","49","0","0","0"
"43","2010","27.9","31.3","24.4","-","4.9","126","0","85","0","0","0"
"44","2011","27.5","31.1","24.3","-","5.5","159","0","49","0","0","0"
"45","2012","27.7","31.4","24.4","1359.42","5.4","147","0","48","0","0","0"
"46","2013","28.0","31.6","24.7","1166.09","-","142","0","53","0","0","1"
"47","2014","27.6","31.3","24.4","2105.17","-","149","1","50","0","0","2"
"48","2015","28.0","31.6","24.6","1342.37","-","117","0","55","1","0","0"
"49","2016","29.0","31.8","24.8","-","11.4","120","0","59","1","0","1"
"50","2017","28.3","31.0","24.4","-","11.3","182","0","83","0","0","1"
"51","2018","28.9","31.4","24.8","-","-","145","0","58","0","0","1"
"52","2019","-","-","-","-","-","-","-","-","-","-","-"
