"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1952","-","-","-","-","-","-","-","-","-","-","-"
"2","1953","-","-","-","-","-","-","-","-","-","-","-"
"3","1954","-","-","-","-","-","-","-","-","-","-","-"
"4","1955","-","-","-","-","-","-","-","-","-","-","-"
"5","1956","-","-","-","-","-","-","-","-","-","-","-"
"6","1957","-","-","-","-","-","-","-","-","-","-","-"
"7","1958","-","-","-","-","-","-","-","-","-","-","-"
"8","1959","-","-","-","-","-","-","-","-","-","-","-"
"9","1960","-","-","-","-","-","-","-","-","-","-","-"
"10","1973","-","-","-","-","-","-","-","-","-","-","-"
"11","1974","8.8","12.6","5.1","499.88","13.4","155","16","14","39","0","1"
"12","1975","-","-","-","-","-","-","-","-","-","-","-"
"13","1978","-","-","-","-","-","-","-","-","-","-","-"
"14","1979","-","-","-","-","-","-","-","-","-","-","-"
"15","1980","-","-","-","-","-","-","-","-","-","-","-"
"16","1981","-","-","-","-","-","-","-","-","-","-","-"
"17","1982","-","-","-","-","-","-","-","-","-","-","-"
"18","1983","-","-","-","-","-","-","-","-","-","-","-"
"19","1984","-","-","-","-","-","-","-","-","-","-","-"
"20","1985","-","-","-","-","-","-","-","-","-","-","-"
"21","1986","-","-","-","-","-","-","-","-","-","-","-"
"22","1987","6.7","10.2","3.0","458.17","16.4","130","37","14","35","0","2"
"23","1988","8.8","12.6","4.9","358.66","17.4","148","38","15","25","0","1"
"24","1989","9.8","14.0","5.5","300.30","16.8","138","14","11","31","0","0"
"25","1990","9.6","13.7","5.5","423.17","17.0","144","19","10","23","0","0"
"26","1991","8.2","12.2","4.3","497.62","14.7","151","31","21","23","0","0"
"27","1992","9.1","13.3","5.0","415.57","14.6","141","26","13","20","0","2"
"28","1993","8.1","11.9","4.3","591.88","14.6","158","43","19","25","0","1"
"29","1994","9.3","13.2","5.2","498.06","14.4","170","26","19","21","0","1"
"30","1995","8.6","12.6","4.6","509.36","13.8","136","50","21","22","0","1"
"31","1996","6.9","10.6","3.3","552.74","13.9","123","56","20","27","0","1"
"32","1997","8.3","12.2","4.5","468.19","14.5","136","47","18","40","0","0"
"33","1998","8.9","12.9","5.0","456.23","14.7","154","32","14","25","0","0"
"34","1999","9.5","13.6","5.4","654.48","13.6","171","55","26","28","0","4"
"35","2000","10.0","14.3","5.8","-","13.3","181","35","22","27","0","9"
"36","2001","8.5","12.4","4.8","-","12.2","179","62","28","28","0","7"
"37","2002","-","-","-","-","-","170","36","27","23","0","3"
"38","2003","8.9","13.5","4.3","382.23","11.2","153","39","15","37","0","4"
"39","2004","8.8","13.1","4.6","523.70","15.8","191","60","22","37","0","2"
"40","2005","-","-","-","-","-","-","-","-","-","-","-"
"41","2006","9.1","13.4","4.9","534.37","15.0","132","40","19","45","0","1"
"42","2007","9.7","14.0","5.8","642.13","16.9","164","27","16","35","0","0"
"43","2008","10.1","14.4","6.0","460.91","15.9","154","23","11","29","0","3"
"44","2009","18.5","27.2","-","718.62","13.1","88","23","17","74","0","0"
"45","2010","20.1","28.8","-","1417.57","12.1","69","40","8","32","0","0"
"46","2011","15.3","-","-","690.60","14.7","123","18","20","29","0","0"
"47","2012","9.0","13.7","4.7","475.18","15.6","178","42","25","54","0","4"
"48","2013","8.6","12.7","4.6","575.97","15.1","162","65","25","52","0","1"
"49","2014","10.1","14.7","5.8","406.63","-","172","22","31","62","0","1"
"50","2015","-","-","-","-","-","-","-","-","-","-","-"
"51","2016","9.9","14.3","5.6","-","-","203","151","0","40","0","0"
"52","2017","9.4","13.6","5.6","-","12.3","217","137","0","39","0","0"
"53","2018","10.5","15.4","5.8","-","11.9","145","52","0","42","0","0"
"54","2019","-","-","-","-","-","-","-","-","-","-","-"
