"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1997","-","-","-","-","-","-","-","-","-","-","-"
"2","1998","-","-","-","-","-","-","-","-","-","-","-"
"3","1999","-","-","-","-","-","-","-","-","-","-","-"
"4","2000","-","-","-","-","-","-","-","-","-","-","-"
"5","2001","-","-","-","-","-","-","-","-","-","-","-"
"6","2002","-","-","-","-","-","-","-","-","-","-","-"
"7","2003","-","-","-","-","-","-","-","-","-","-","-"
"8","2004","17.7","22.9","11.1","354.83","13.9","66","0","5","72","0","1"
"9","2005","-","-","-","-","-","-","-","-","-","-","-"
"10","2006","16.7","23.0","11.3","612.11","13.2","79","1","14","53","0","2"
"11","2007","15.9","22.5","10.4","-","12.4","74","0","14","57","0","0"
"12","2008","15.9","22.3","10.4","438.43","14.3","85","0","11","50","0","2"
"13","2009","16.9","23.5","11.3","512.30","14.9","86","0","12","36","0","0"
"14","2010","16.6","22.8","11.4","767.84","15.2","120","1","8","44","0","0"
"15","2011","16.8","23.4","11.3","616.20","13.9","85","0","18","90","0","0"
"16","2012","16.1","22.9","10.4","477.53","14.2","78","1","4","79","0","1"
"17","2013","16.4","22.9","11.0","467.86","14.5","98","0","6","72","0","0"
"18","2014","16.5","22.7","11.3","624.33","14.9","112","0","13","126","0","0"
"19","2015","16.9","23.7","11.2","266.91","14.2","68","0","8","123","0","0"
"20","2016","16.8","22.8","11.3","-","14.6","90","0","9","111","0","0"
"21","2017","17.4","24.0","11.2","388.87","14.0","55","0","7","112","0","0"
"22","2018","16.1","22.0","10.8","-","13.8","93","0","9","146","0","0"
"23","2019","-","-","-","-","-","-","-","-","-","-","-"
