"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","-","-","-","-","-","-","-","-","-","-","-"
"2","1974","-","-","-","-","-","-","-","-","-","-","-"
"3","1975","-","-","-","-","-","-","-","-","-","-","-"
"4","1976","-","-","-","-","-","-","-","-","-","-","-"
"5","1977","-","-","-","-","-","-","-","-","-","-","-"
"6","1978","31.0","35.1","26.4","-","13.9","26","0","14","0","0","1"
"7","1979","30.8","34.9","26.1","-","12.9","22","0","12","1","0","2"
"8","1980","30.4","34.7","25.7","-","12.6","9","0","9","1","0","0"
"9","1981","30.2","34.6","25.3","-","12.7","27","1","10","0","0","0"
"10","1982","29.7","34.2","25.1","0.00","11.7","18","1","14","0","0","2"
"11","2007","-","-","-","-","-","-","-","-","-","-","-"
"12","2008","-","-","-","-","-","-","-","-","-","-","-"
