"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","2.4","5.9","-0.1","1148.59","27.7","90","115","18","241","0","3"
"2","1974","2.9","6.2","0.5","1412.94","28.4","120","106","24","266","0","2"
"3","1975","3.5","6.9","0.9","1452.39","25.5","116","78","32","257","0","4"
"4","1976","2.3","5.6","-0.4","1281.90","25.5","89","96","20","247","0","0"
"5","1977","2.9","6.2","0.3","1640.14","29.5","98","97","14","262","0","1"
"6","1978","2.0","5.3","-0.4","1365.29","27.2","108","98","21","278","0","0"
"7","1979","2.7","6.5","-0.1","1317.74","27.1","114","110","22","257","0","2"
"8","1980","1.3","4.6","-1.3","1278.36","26.0","112","112","16","291","0","1"
"9","1981","2.4","5.9","-0.2","1692.89","25.5","103","113","17","254","0","0"
"10","1982","3.6","7.5","0.9","1446.43","23.3","86","79","33","225","0","0"
"11","1983","3.4","7.1","0.5","1070.15","25.3","84","97","18","237","0","1"
"12","1984","2.3","5.7","-0.3","1112.54","25.2","102","95","19","259","0","1"
"13","1985","1.8","5.3","-1.0","1453.84","24.2","98","113","22","261","0","1"
"14","1986","2.7","6.6","-0.1","1133.86","24.0","83","95","19","232","0","0"
"15","1987","1.7","5.0","-0.9","1267.45","22.4","113","106","14","277","0","0"
"16","1988","2.9","6.2","0.2","1244.27","21.5","95","116","20","245","0","1"
"17","1989","4.1","7.6","1.3","1085.58","20.6","118","56","21","244","0","2"
"18","1990","3.7","7.1","0.9","1057.92","21.3","96","76","14","243","0","0"
"19","1991","2.7","6.1","0.0","1200.39","19.9","104","97","11","247","0","4"
"20","1992","3.8","7.3","0.9","980.36","18.6","72","94","14","223","0","1"
"21","1993","3.4","6.9","0.5","1059.92","19.2","99","83","19","217","0","2"
"22","1994","4.2","7.6","1.4","1418.17","19.8","96","85","17","234","0","0"
"23","1995","3.2","6.4","0.5","1454.92","24.5","79","103","15","253","0","2"
"24","1996","2.3","5.7","-0.3","1304.78","22.2","103","83","17","247","0","1"
"25","1997","3.2","6.5","0.4","1380.30","22.2","89","89","16","247","0","0"
"26","1998","3.4","6.8","0.7","1461.50","23.1","120","90","7","240","0","0"
"27","1999","3.5","6.9","0.9","795.45","23.9","131","105","23","258","0","1"
"28","2000","4.4","7.9","1.4","-","25.2","139","96","22","256","0","1"
"29","2001","3.2","6.6","0.4","-","24.6","142","116","18","274","0","0"
"30","2002","-","-","-","-","-","140","87","43","243","0","5"
"31","2003","3.6","7.9","0.3","990.33","24.4","111","101","27","235","0","3"
"32","2004","2.8","6.3","0.0","1295.60","25.4","145","114","27","278","0","0"
"33","2005","-","-","-","-","-","-","-","-","-","-","-"
"34","2006","4.0","7.7","1.1","1389.58","25.6","127","85","21","235","0","0"
"35","2007","4.0","7.4","1.2","1345.70","24.6","129","100","30","251","0","2"
"36","2008","3.9","7.2","1.3","1266.84","26.0","131","95","30","259","0","2"
"37","2009","3.6","6.8","0.9","1457.46","23.8","136","117","25","253","0","0"
"38","2010","2.6","5.8","0.0","1939.30","25.7","145","105","22","271","0","0"
"39","2011","4.2","7.8","1.3","1264.38","24.0","159","98","31","237","0","2"
"40","2012","3.8","7.4","0.8","1430.24","25.3","172","125","20","248","0","1"
"41","2013","3.7","7.0","0.9","1354.54","24.6","169","121","13","263","0","1"
"42","2014","5.0","8.4","2.5","1267.18","24.9","199","96","39","266","0","0"
"43","2015","4.6","7.8","1.8","1033.02","23.9","157","111","20","247","0","2"
"44","2016","3.9","7.0","1.1","1816.25","22.3","151","129","23","265","0","0"
"45","2017","3.8","6.9","0.9","-","23.6","171","128","17","254","0","1"
"46","2018","5.0","8.3","2.3","-","23.5","169","121","38","226","0","1"
"47","2019","-","-","-","-","-","-","-","-","-","-","-"
