"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1996","-","-","-","-","-","-","-","-","-","-","-"
"2","1997","9.0","14.5","3.9","1068.18","5.3","145","32","45","69","0","0"
"3","1998","9.3","15.1","4.2","1234.98","5.4","133","29","40","71","0","0"
"4","1999","9.1","14.4","4.4","1244.07","5.2","160","31","32","90","0","0"
"5","2000","10.1","16.1","4.8","1486.56","5.2","145","19","47","62","0","2"
"6","2001","9.4","15.0","4.3","1274.00","5.2","153","29","34","68","0","0"
"7","2002","-","-","-","-","-","-","-","-","-","-","-"
"8","2003","9.6","16.0","3.9","927.35","5.4","113","30","33","64","0","0"
"9","2004","8.8","14.1","4.2","1575.91","4.3","150","37","31","59","0","0"
"10","2005","-","-","-","-","-","-","-","-","-","-","-"
"11","2006","9.3","15.4","3.5","999.22","4.5","134","34","23","80","0","1"
"12","2007","10.2","16.5","4.2","1048.73","4.5","154","18","44","97","0","1"
"13","2008","10.0","15.6","4.8","1424.65","4.3","170","25","41","100","0","1"
"14","2009","9.9","15.6","4.4","1449.09","4.3","163","37","41","97","0","1"
"15","2010","9.1","14.2","4.1","1495.51","4.3","161","52","34","113","0","0"
"16","2011","9.9","16.0","4.1","937.50","4.4","128","21","39","85","1","0"
"17","2012","10.2","16.2","4.5","1185.39","4.8","142","27","43","73","0","0"
"18","2013","10.0","15.3","5.0","1311.15","4.5","176","41","42","85","0","1"
"19","2014","11.2","16.5","6.2","1763.50","4.8","207","19","50","81","0","1"
"20","2015","10.4","16.5","4.8","1039.40","4.7","137","17","38","82","0","1"
"21","2016","10.1","15.8","4.7","-","4.7","179","30","40","70","0","1"
"22","2017","9.9","15.8","4.0","1669.82","5.7","168","25","33","66","0","0"
"23","2018","10.7","16.4","5.5","-","5.6","180","37","42","91","0","1"
"24","2019","-","-","-","-","-","-","-","-","-","-","-"
