"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","2005","-","-","-","-","-","-","-","-","-","-","-"
"2","2006","-","-","-","-","-","-","-","-","-","-","-"
"3","2007","-","-","-","-","-","-","-","-","-","-","-"
"4","2008","-","-","-","-","-","-","-","-","-","-","-"
"5","2009","-","-","-","-","-","-","-","-","-","-","-"
"6","2010","16.6","23.5","10.8","0.00","2.8","0","0","0","0","0","0"
"7","2011","-","-","-","-","-","-","-","-","-","-","-"
"8","2012","16.2","23.8","9.9","0.00","2.9","0","0","0","0","0","0"
"9","2013","-","-","-","-","-","-","-","-","-","-","-"
"10","2014","16.3","23.9","10.1","0.00","3.1","0","0","0","0","0","0"
"11","2015","-","-","-","-","-","-","-","-","-","-","-"
"12","2016","18.0","25.4","11.5","0.00","3.3","0","0","0","0","0","0"
"13","2017","17.3","24.7","11.0","0.00","3.3","0","0","0","0","0","0"
"14","2018","-","-","-","-","-","-","-","-","-","-","-"
"15","2019","-","-","-","-","-","-","-","-","-","-","-"
