"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1979","-","-","-","-","-","-","-","-","-","-","-"
"2","1980","10.0","15.2","5.2","-","6.5","116","47","9","48","0","2"
"3","1981","10.4","16.1","5.0","-","6.4","112","33","10","79","0","1"
"4","1982","11.7","17.7","6.2","-","6.1","121","27","27","68","1","3"
"5","1983","-","-","-","-","-","-","-","-","-","-","-"
"6","1984","11.2","17.2","5.8","-","6.4","112","39","20","80","0","1"
"7","1985","-","-","-","-","-","-","-","-","-","-","-"
"8","1986","11.4","17.2","6.5","-","6.3","117","31","20","50","0","3"
"9","1987","12.2","18.2","7.1","-","7.0","116","26","14","42","0","0"
"10","1988","11.8","18.0","6.3","-","7.5","98","27","20","34","0","0"
"11","1989","-","-","-","-","-","-","-","-","-","-","-"
"12","1990","12.8","18.1","8.0","-","6.1","122","19","13","43","0","0"
"13","1991","-","-","-","-","-","-","-","-","-","-","-"
"14","1992","-","-","-","-","-","-","-","-","-","-","-"
"15","1993","-","-","-","-","-","-","-","-","-","-","-"
"16","1994","-","-","-","-","-","-","-","-","-","-","-"
"17","1995","12.2","18.1","6.7","-","8.9","93","31","25","48","0","0"
"18","1996","11.6","17.2","6.6","-","8.1","102","21","16","50","0","0"
"19","1997","12.0","17.7","6.3","-","7.0","112","26","26","49","0","0"
"20","1998","12.9","18.2","7.8","-","6.9","123","29","21","59","0","0"
"21","1999","12.3","18.0","7.1","-","6.8","105","22","10","60","0","0"
"22","2000","11.8","17.5","6.4","-","7.1","109","22","12","40","0","0"
"23","2001","12.0","17.9","6.6","-","5.0","82","43","19","58","0","0"
"24","2002","-","-","-","-","-","111","27","24","54","0","1"
"25","2003","12.4","17.7","7.4","-","6.3","136","23","16","61","0","0"
"26","2004","13.1","19.2","7.5","-","6.0","110","20","31","56","0","0"
"27","2005","-","-","-","-","-","-","-","-","-","-","-"
"28","2006","13.2","19.1","7.7","-","6.6","124","22","16","64","0","0"
"29","2007","12.6","18.3","7.4","-","7.0","123","27","25","61","0","0"
"30","2008","12.9","18.6","7.5","-","6.2","104","22","16","52","0","0"
"31","2009","12.7","18.4","7.3","-","7.0","109","34","24","63","0","0"
"32","2010","11.8","16.9","6.9","-","7.9","141","39","26","71","0","0"
"33","2011","11.4","17.0","6.2","-","8.1","127","34","29","39","0","0"
"34","2012","11.4","16.8","6.1","-","8.2","140","51","28","48","0","0"
"35","2013","11.9","17.2","6.7","-","7.7","124","37","27","70","0","0"
"36","2014","12.3","18.1","6.7","-","7.5","125","28","15","33","0","0"
"37","2015","12.8","18.4","7.4","-","7.5","132","19","12","38","0","0"
"38","2016","13.0","18.6","7.7","-","7.2","117","30","11","29","0","0"
"39","2017","12.4","18.3","6.7","-","7.9","123","25","19","26","0","0"
"40","2018","12.6","18.3","7.1","-","7.5","107","28","13","41","0","0"
"41","2019","-","-","-","-","-","-","-","-","-","-","-"
