"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1996","-","-","-","-","-","-","-","-","-","-","-"
"2","1997","8.5","11.8","5.1","685.58","13.5","0","0","0","0","0","0"
"3","1998","-","-","-","-","-","-","-","-","-","-","-"
"4","1999","-","-","-","-","-","-","-","-","-","-","-"
"5","2000","9.4","12.6","6.4","128.28","5.4","0","0","0","0","0","0"
"6","2001","8.1","11.5","4.9","117.61","9.5","0","0","0","0","0","0"
"7","2002","-","-","-","-","-","-","-","-","-","-","-"
"8","2003","8.5","12.3","5.0","595.62","9.8","0","0","0","0","0","0"
"9","2004","8.6","12.3","5.2","844.26","10.0","0","0","0","0","0","0"
"10","2005","-","-","-","-","-","-","-","-","-","-","-"
"11","2006","9.4","13.0","5.9","1223.76","8.8","194","43","0","13","0","0"
"12","2007","9.5","12.9","6.0","977.39","10.5","214","25","0","16","0","0"
"13","2008","9.6","13.0","6.1","1041.69","10.6","229","28","0","13","0","0"
"14","2009","8.8","12.2","5.3","843.24","9.8","202","41","0","15","0","0"
"15","2010","6.6","10.3","3.1","804.16","9.2","161","74","0","19","0","0"
"16","2011","-","-","-","-","-","-","-","-","-","-","-"
"17","2012","8.3","11.6","5.1","974.29","10.3","211","39","0","19","0","0"
"18","2013","-","-","-","-","-","-","-","-","-","-","-"
"19","2014","-","-","-","-","-","-","-","-","-","-","-"
"20","2015","9.6","12.8","6.5","1005.31","11.7","206","26","0","10","0","0"
"21","2016","9.3","12.7","5.9","734.76","10.1","192","28","0","21","0","0"
"22","2017","9.2","12.5","5.9","980.65","11.2","117","30","0","18","0","0"
"23","2018","10.0","13.5","6.5","742.64","10.6","175","45","0","12","0","0"
"24","2019","-","-","-","-","-","-","-","-","-","-","-"
