"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1990","-","-","-","-","-","-","-","-","-","-","-"
"2","1991","9.5","13.4","6.2","4.07","10.2","0","0","0","0","0","0"
"3","1992","10.0","13.8","6.8","5.08","10.0","0","0","0","0","0","0"
"4","1993","-","-","-","-","-","-","-","-","-","-","-"
"5","2001","-","-","-","-","-","-","-","-","-","-","-"
"6","2002","-","-","-","-","-","0","0","0","0","0","0"
"7","2003","11.0","15.9","7.2","382.01","9.7","0","0","0","0","0","0"
"8","2004","9.9","14.6","6.4","389.14","10.5","0","0","0","0","0","0"
"9","2005","-","-","-","-","-","-","-","-","-","-","-"
"10","2015","-","-","-","-","-","-","-","-","-","-","-"
"11","2016","4.7","9.7","0.5","926.51","7.2","0","0","0","0","0","0"
"12","2017","4.8","10.1","0.2","696.78","7.4","0","0","0","0","0","0"
"13","2018","5.4","10.8","1.0","908.12","7.1","0","0","0","0","0","0"
"14","2019","-","-","-","-","-","-","-","-","-","-","-"
