"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1963","-","-","-","-","-","-","-","-","-","-","-"
"2","1964","-","-","-","-","-","-","-","-","-","-","-"
"3","1965","-","-","-","-","-","-","-","-","-","-","-"
"4","1966","-","-","-","-","-","-","-","-","-","-","-"
"5","1967","-","-","-","-","-","-","-","-","-","-","-"
"6","1973","-","-","-","-","-","-","-","-","-","-","-"
"7","1974","-","-","-","-","-","-","-","-","-","-","-"
"8","1975","-","-","-","-","-","-","-","-","-","-","-"
"9","1976","-","-","-","-","-","-","-","-","-","-","-"
"10","1977","-","-","-","-","-","-","-","-","-","-","-"
"11","1978","-","-","-","-","-","-","-","-","-","-","-"
"12","1979","-","-","-","-","-","-","-","-","-","-","-"
"13","1980","-","-","-","-","-","-","-","-","-","-","-"
"14","1981","-","-","-","-","-","-","-","-","-","-","-"
"15","1982","-","-","-","-","-","-","-","-","-","-","-"
"16","1983","-","-","-","-","-","-","-","-","-","-","-"
"17","1984","-","-","-","-","-","-","-","-","-","-","-"
"18","1985","-","-","-","-","-","-","-","-","-","-","-"
"19","1986","-","-","-","-","-","-","-","-","-","-","-"
"20","1987","-","-","-","-","-","-","-","-","-","-","-"
"21","1988","-","-","-","-","-","-","-","-","-","-","-"
"22","1989","-","-","-","-","-","-","-","-","-","-","-"
"23","1990","-","-","-","-","-","-","-","-","-","-","-"
"24","1991","-","-","-","-","-","67","1","29","0","0","2"
"25","1992","16.8","21.0","13.5","1057.40","9.2","77","11","24","0","0","2"
"26","1993","18.1","22.4","14.7","673.88","9.0","51","2","21","0","0","1"
"27","1994","-","-","-","-","-","87","0","37","1","0","2"
"28","1995","18.3","22.5","15.0","818.15","6.2","60","1","24","0","0","1"
"29","1996","18.3","22.7","15.0","1005.85","5.7","93","0","41","3","0","2"
"30","1997","17.8","22.2","14.6","-","5.1","76","4","38","3","0","1"
"31","1998","19.0","23.5","15.7","-","9.6","74","0","26","2","0","0"
"32","1999","19.0","23.4","15.7","-","12.9","54","1","29","1","0","0"
"33","2000","18.4","22.9","15.0","-","11.4","69","2","37","1","0","1"
"34","2001","19.0","23.3","15.6","-","10.7","78","0","41","0","0","2"
"35","2002","-","-","-","-","-","-","-","-","-","-","-"
"36","2003","18.5","22.8","15.2","-","13.2","87","2","54","0","1","2"
"37","2004","-","-","-","-","-","-","-","-","-","-","-"
"38","2005","-","-","-","-","-","-","-","-","-","-","-"
"39","2006","18.0","22.5","14.9","-","7.0","74","1","31","1","0","2"
"40","2007","18.7","23.2","15.4","-","6.5","69","0","27","0","0","1"
"41","2008","18.8","23.4","15.4","-","6.7","52","2","26","1","1","3"
"42","2009","18.8","23.2","15.5","-","6.8","83","0","35","0","1","2"
"43","2010","20.2","25.1","16.9","-","6.3","58","1","13","0","0","2"
"44","2011","18.1","22.6","14.9","-","5.5","74","0","28","0","0","2"
"45","2012","19.1","23.8","15.7","-","5.1","74","0","30","0","0","2"
"46","2013","-","-","-","-","-","-","-","-","-","-","-"
"47","2014","-","-","-","-","-","-","-","-","-","-","-"
"48","2015","-","-","-","-","-","-","-","-","-","-","-"
"49","2016","-","-","-","-","-","-","-","-","-","-","-"
"50","2017","-","-","-","-","-","-","-","-","-","-","-"
"51","2018","-","-","-","-","-","-","-","-","-","-","-"
"52","2019","-","-","-","-","-","-","-","-","-","-","-"
