"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1952","-","-","-","-","-","-","-","-","-","-","-"
"2","1953","21.7","25.4","19.0","-","16.2","131","0","15","255","0","0"
"3","1954","22.0","25.9","18.9","-","17.2","103","0","8","151","0","1"
"4","1955","21.3","25.7","17.7","-","17.9","76","1","11","107","0","0"
"5","1956","-","-","-","-","-","-","-","-","-","-","-"
"6","1959","-","-","-","-","-","-","-","-","-","-","-"
"7","1960","21.9","26.0","19.0","-","20.3","123","0","14","148","0","0"
"8","1961","21.8","25.9","18.9","-","20.5","136","0","14","95","0","0"
"9","1962","21.3","25.7","18.2","-","19.7","103","0","17","62","0","0"
"10","1963","21.3","26.0","18.0","-","18.1","90","0","11","15","0","0"
"11","1964","21.7","26.3","18.6","-","18.6","116","0","20","68","0","0"
"12","1965","21.5","26.2","18.4","-","16.9","129","0","16","166","0","0"
"13","1968","-","-","-","-","-","-","-","-","-","-","-"
"14","1969","21.6","26.2","18.3","-","16.5","121","0","24","187","0","0"
"15","1970","20.9","25.0","17.8","-","12.8","141","0","24","266","0","0"
"16","1971","21.2","25.5","18.1","-","12.9","98","0","12","277","0","0"
"17","1973","21.5","25.9","18.0","-","13.2","148","5","45","331","0","0"
"18","1974","21.5","25.8","18.2","-","11.7","158","2","49","331","0","1"
"19","1975","21.7","25.9","18.5","-","11.7","165","0","70","301","1","1"
"20","1976","21.4","25.9","17.7","-","10.4","117","0","35","315","0","1"
"21","1977","22.0","26.7","18.1","-","12.0","114","0","37","311","0","1"
"22","1978","21.5","26.2","17.8","-","11.2","130","2","60","327","0","2"
"23","1979","21.5","26.1","17.8","-","11.2","144","1","53","282","0","0"
"24","1980","-","-","-","-","-","-","-","-","-","-","-"
"25","1981","-","-","-","-","-","-","-","-","-","-","-"
"26","1982","21.3","26.1","17.7","1346.46","13.6","111","4","30","38","0","0"
"27","1983","-","-","-","-","-","-","-","-","-","-","-"
"28","1984","-","-","-","-","-","-","-","-","-","-","-"
"29","1985","-","-","-","-","-","-","-","-","-","-","-"
"30","1986","21.3","25.7","17.9","-","14.8","116","1","42","42","1","3"
"31","1987","21.2","25.6","17.8","854.43","14.8","116","2","49","71","2","0"
"32","1988","-","-","-","-","-","-","-","-","-","-","-"
"33","1989","-","-","-","-","-","-","-","-","-","-","-"
"34","1990","-","-","-","-","-","-","-","-","-","-","-"
"35","1991","21.9","26.1","-","543.29","15.1","114","0","39","55","0","1"
"36","1992","-","-","-","-","-","-","-","-","-","-","-"
"37","1993","21.7","26.1","18.2","518.90","15.6","114","1","46","29","1","1"
"38","1994","-","-","-","-","-","-","-","-","-","-","-"
"39","1995","-","-","-","-","-","-","-","-","-","-","-"
"40","1996","-","-","-","-","-","-","-","-","-","-","-"
"41","1997","-","-","-","-","-","-","-","-","-","-","-"
"42","1998","-","-","-","-","-","-","-","-","-","-","-"
"43","1999","-","-","-","-","-","-","-","-","-","-","-"
"44","2000","-","-","-","-","-","-","-","-","-","-","-"
"45","2014","-","-","-","-","-","-","-","-","-","-","-"
"46","2015","22.2","26.5","19.2","-","15.1","129","0","16","34","0","0"
"47","2016","22.1","26.2","19.2","-","14.9","166","0","42","54","0","0"
"48","2017","23.0","26.9","20.4","-","14.4","130","0","21","29","0","0"
"49","2018","23.1","27.2","20.2","-","14.0","131","0","28","36","0","0"
"50","2019","-","-","-","-","-","-","-","-","-","-","-"
