"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1957","24.6","28.6","19.6","0.00","5.1","0","0","0","0","0","0"
"2","1958","25.4","29.6","19.9","0.00","6.1","0","0","0","0","0","0"
"3","1959","25.4","29.5","19.9","0.00","6.8","0","0","0","0","0","0"
"4","1960","24.6","28.7","19.0","0.00","6.7","0","0","0","0","0","0"
"5","1973","-","-","-","-","-","-","-","-","-","-","-"
"6","1974","-","-","-","-","-","-","-","-","-","-","-"
"7","1975","-","-","-","-","-","-","-","-","-","-","-"
"8","1976","-","-","-","-","-","-","-","-","-","-","-"
"9","1977","-","-","-","-","-","-","-","-","-","-","-"
"10","1978","-","-","-","-","-","-","-","-","-","-","-"
"11","1979","-","-","-","-","-","-","-","-","-","-","-"
"12","1980","-","-","-","-","-","-","-","-","-","-","-"
"13","1981","-","-","-","-","-","-","-","-","-","-","-"
"14","1982","-","-","-","-","-","-","-","-","-","-","-"
"15","1983","-","-","-","-","-","-","-","-","-","-","-"
"16","1984","-","-","-","-","-","-","-","-","-","-","-"
"17","1985","-","-","-","-","-","-","-","-","-","-","-"
"18","1986","-","-","-","-","-","-","-","-","-","-","-"
"19","1987","-","-","-","-","-","-","-","-","-","-","-"
"20","1988","-","-","-","-","-","-","-","-","-","-","-"
"21","1989","-","-","-","-","-","-","-","-","-","-","-"
"22","1990","-","-","-","-","-","-","-","-","-","-","-"
"23","1991","-","-","-","-","-","-","-","-","-","-","-"
"24","1992","-","-","-","-","-","-","-","-","-","-","-"
"25","1993","-","-","-","-","-","-","-","-","-","-","-"
"26","1994","-","-","-","-","-","-","-","-","-","-","-"
"27","1995","-","-","-","-","-","-","-","-","-","-","-"
"28","1996","-","-","-","-","-","-","-","-","-","-","-"
"29","1997","-","-","-","-","-","-","-","-","-","-","-"
"30","1998","-","-","-","-","-","-","-","-","-","-","-"
"31","1999","-","-","-","-","-","-","-","-","-","-","-"
"32","2000","-","-","-","-","-","-","-","-","-","-","-"
"33","2001","-","-","-","-","-","-","-","-","-","-","-"
"34","2002","-","-","-","-","-","-","-","-","-","-","-"
"35","2003","-","-","-","-","-","-","-","-","-","-","-"
"36","2004","-","-","-","-","-","-","-","-","-","-","-"
"37","2005","-","-","-","-","-","-","-","-","-","-","-"
"38","2006","-","-","-","-","-","-","-","-","-","-","-"
"39","2007","24.7","30.5","19.6","-","5.3","82","0","45","4","0","0"
"40","2008","-","-","-","-","-","-","-","-","-","-","-"
"41","2009","25.1","30.9","19.4","-","5.2","77","0","46","4","1","0"
"42","2010","-","-","-","-","-","-","-","-","-","-","-"
"43","2011","25.1","30.4","19.5","-","3.7","92","0","48","5","0","2"
"44","2012","25.2","30.7","19.3","875.77","3.6","63","0","35","6","0","5"
"45","2013","25.2","31.2","19.6","537.49","3.5","79","1","39","5","0","1"
"46","2014","24.7","29.9","19.9","-","2.5","96","1","34","6","0","1"
"47","2015","25.0","30.8","19.8","-","2.6","62","2","27","0","0","2"
"48","2016","24.8","30.8","19.4","-","2.5","67","7","34","2","0","2"
"49","2017","24.8","30.6","19.9","883.38","2.8","98","0","39","3","0","2"
"50","2018","-","-","-","-","-","-","-","-","-","-","-"
"51","2019","-","-","-","-","-","-","-","-","-","-","-"
