"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1954","-","-","-","-","-","-","-","-","-","-","-"
"2","1955","-","-","-","-","-","-","-","-","-","-","-"
"3","1956","-","-","-","-","-","-","-","-","-","-","-"
"4","1957","-","-","-","-","-","-","-","-","-","-","-"
"5","1958","-","-","-","-","-","-","-","-","-","-","-"
"6","1959","-","-","-","-","-","-","-","-","-","-","-"
"7","1960","-","-","-","-","-","-","-","-","-","-","-"
"8","1961","-","-","-","-","-","-","-","-","-","-","-"
"9","1962","-","-","-","-","-","-","-","-","-","-","-"
"10","1963","-","-","-","-","-","-","-","-","-","-","-"
"11","1964","-","-","-","-","-","-","-","-","-","-","-"
"12","1965","-","-","-","-","-","-","-","-","-","-","-"
"13","1966","26.8","33.1","21.8","-","4.0","154","0","79","16","0","0"
"14","1967","25.6","31.5","20.7","-","5.6","140","0","62","18","0","0"
"15","1968","25.5","30.6","20.6","-","3.8","128","0","69","10","0","0"
"16","1969","25.9","31.1","21.1","-","5.6","116","0","70","18","0","0"
"17","1970","26.1","31.3","21.4","-","5.2","143","0","71","15","0","0"
"18","1971","-","-","-","-","-","-","-","-","-","-","-"
"19","1972","-","-","-","-","-","-","-","-","-","-","-"
"20","1973","-","-","-","-","-","-","-","-","-","-","-"
"21","1974","26.2","30.8","20.8","-","5.3","119","0","75","4","0","0"
"22","1975","-","-","-","-","-","-","-","-","-","-","-"
"23","1976","26.1","30.8","20.6","-","4.4","107","1","65","2","0","0"
"24","1977","26.5","31.3","20.8","1674.09","4.3","94","1","68","1","0","0"
"25","1978","26.3","30.8","21.3","2295.13","3.8","130","0","85","2","0","0"
"26","1979","-","-","-","-","-","-","-","-","-","-","-"
"27","1980","27.0","31.8","21.6","1747.51","3.8","106","0","75","4","0","0"
"28","1981","26.5","31.1","21.4","2329.50","3.7","125","0","80","0","0","0"
"29","1982","-","-","-","-","-","-","-","-","-","-","-"
"30","1983","-","-","-","-","-","-","-","-","-","-","-"
"31","1984","-","-","-","-","-","-","-","-","-","-","-"
"32","1985","26.5","31.0","21.3","2406.38","3.0","103","0","52","1","1","0"
"33","1986","26.6","31.2","21.4","2528.05","2.7","115","0","69","4","0","1"
"34","1987","27.0","32.0","22.0","1785.15","3.0","93","0","57","2","0","0"
"35","1988","26.2","31.6","21.6","1826.05","2.4","102","0","64","0","0","1"
"36","1989","25.8","31.4","21.1","1916.14","2.4","108","0","78","0","1","0"
"37","1990","25.8","31.3","21.5","2911.61","2.1","142","0","86","1","0","0"
"38","1991","26.4","32.1","21.9","1905.52","2.1","115","0","86","1","0","0"
"39","1992","26.0","31.7","21.3","1925.02","1.9","112","0","83","1","0","0"
"40","1993","25.8","31.5","21.1","2045.68","1.8","118","0","75","1","0","0"
"41","1994","26.2","31.7","21.6","2342.65","-","130","0","72","0","0","0"
"42","1996","25.9","31.6","21.1","2237.77","1.5","107","0","58","2","0","1"
"43","1997","26.1","31.6","21.7","2605.33","1.6","107","0","76","1","0","0"
"44","1998","27.3","33.0","22.5","1764.05","2.2","98","0","58","0","1","0"
"45","1999","26.2","31.6","21.6","-","2.4","132","0","79","0","0","1"
"46","2000","-","-","-","-","-","-","-","-","-","-","-"
"47","2001","26.6","32.1","22.0","-","2.1","131","0","65","0","0","0"
"48","2002","-","-","-","-","-","-","-","-","-","-","-"
"49","2003","26.6","32.5","21.8","2139.42","2.1","105","0","74","0","0","0"
"50","2004","26.0","31.7","21.3","2339.33","2.2","115","0","58","0","0","0"
"51","2005","-","-","-","-","-","-","-","-","-","-","-"
"52","2006","26.6","32.3","22.1","2752.59","2.3","102","0","76","0","0","0"
"53","2007","26.4","31.9","21.8","2354.83","2.5","101","0","67","0","0","0"
"54","2008","25.5","30.8","21.4","2851.40","2.9","135","1","77","1","0","0"
"55","2009","26.6","32.1","21.9","2328.18","2.8","110","0","76","0","0","0"
"56","2010","27.0","32.5","22.6","1991.58","2.7","104","0","75","0","0","0"
"57","2011","25.7","31.1","21.1","2746.56","3.3","122","0","61","0","0","0"
"58","2012","26.8","32.1","22.5","2108.98","3.0","128","0","53","1","0","0"
"59","2013","26.4","31.9","21.9","2091.38","2.9","114","0","65","1","0","0"
"60","2014","26.7","32.2","22.2","2427.19","2.8","109","0","75","0","0","0"
"61","2015","27.3","32.8","22.8","2159.00","2.6","114","0","66","6","0","0"
"62","2016","-","-","-","-","-","-","-","-","-","-","-"
"63","2017","26.6","31.6","22.3","2924.31","2.5","124","0","59","0","0","1"
"64","2018","26.6","31.5","22.0","-","2.2","129","0","57","0","0","0"
"65","2019","-","-","-","-","-","-","-","-","-","-","-"
