"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1943","-","-","-","-","-","-","-","-","-","-","-"
"2","1944","-","-","-","-","-","-","-","-","-","-","-"
"3","1945","-","-","-","-","-","-","-","-","-","-","-"
"4","1973","17.5","22.3","12.7","-","11.6","105","1","25","4","0","0"
"5","1974","-","-","-","-","-","-","-","-","-","-","-"
"6","1975","17.2","22.4","12.4","-","11.1","98","0","30","7","0","0"
"7","1976","17.0","21.8","12.1","-","11.0","119","3","36","9","0","0"
"8","1977","17.9","23.3","12.8","-","-","88","1","15","9","0","1"
"9","1978","17.1","22.4","11.8","-","11.6","112","1","24","5","0","1"
"10","1979","17.6","22.7","12.5","-","12.6","116","2","22","6","0","0"
"11","1980","16.8","22.0","11.8","293.96","14.5","106","0","28","5","0","0"
"12","1981","17.8","22.9","12.9","172.28","16.5","88","3","10","3","0","4"
"13","1982","18.3","23.3","13.3","738.92","13.5","101","0","20","3","0","0"
"14","1983","18.0","23.0","12.7","482.56","14.1","77","0","16","5","0","2"
"15","1984","17.5","22.3","12.0","671.31","13.9","103","1","14","3","0","0"
"16","1985","17.7","22.9","12.7","430.04","-","81","0","19","7","0","0"
"17","1986","17.9","23.0","13.0","759.69","15.6","99","0","40","1","0","1"
"18","1987","18.0","23.6","13.0","431.61","15.3","90","0","26","6","0","3"
"19","1988","18.3","23.7","13.4","401.29","16.9","88","0","29","4","0","0"
"20","1989","17.8","23.4","13.0","675.93","14.2","91","0","22","12","0","0"
"21","1990","18.4","23.8","13.6","727.68","14.5","116","0","30","4","0","0"
"22","1991","17.4","22.6","12.7","577.34","14.2","90","0","23","4","0","1"
"23","1992","17.4","23.0","12.4","734.05","12.8","87","0","22","18","0","0"
"24","1993","-","-","-","-","-","-","-","-","-","-","-"
"25","1994","18.9","24.4","13.8","434.10","15.3","65","0","13","6","0","0"
"26","1995","18.2","23.6","13.2","409.41","15.1","79","0","29","4","0","0"
"27","1996","17.8","22.9","12.8","780.85","14.2","93","0","18","1","0","0"
"28","1997","18.6","23.9","13.6","765.32","14.0","91","0","30","6","0","0"
"29","1998","18.4","23.7","12.9","464.81","14.4","94","0","15","4","0","0"
"30","1999","19.7","24.4","13.5","-","17.5","74","2","12","7","0","0"
"31","2000","19.5","24.3","13.2","424.97","16.9","70","0","19","6","0","0"
"32","2001","19.6","24.4","13.6","496.05","16.3","79","0","17","2","0","0"
"33","2002","-","-","-","-","-","84","0","29","3","0","0"
"34","2003","19.7","24.0","14.2","937.76","16.6","91","1","21","2","0","1"
"35","2004","19.0","23.3","13.5","710.88","16.2","95","0","27","11","0","1"
"36","2005","-","-","-","-","-","-","-","-","-","-","-"
"37","2006","18.7","24.1","13.4","684.06","14.9","89","0","26","5","0","0"
"38","2007","18.5","23.6","13.4","735.77","15.7","100","0","39","5","1","0"
"39","2008","18.4","24.0","12.9","428.52","14.7","69","0","22","9","0","0"
"40","2009","18.5","23.8","13.0","1009.29","15.8","111","0","50","10","0","0"
"41","2010","18.4","23.7","13.4","740.88","15.5","109","2","28","3","0","0"
"42","2011","18.7","23.8","13.6","764.26","14.5","93","0","25","7","0","0"
"43","2012","19.2","24.3","14.0","598.68","-","80","0","28","4","0","0"
"44","2013","18.6","23.5","13.5","888.47","16.3","91","1","33","4","0","2"
"45","2014","19.0","24.6","13.7","575.03","15.0","76","0","26","8","0","0"
"46","2015","18.9","24.3","13.8","529.55","14.8","73","0","30","11","0","0"
"47","2016","18.9","24.4","13.4","655.24","14.5","84","0","23","7","0","0"
"48","2017","18.6","24.3","12.8","487.12","14.3","56","1","22","4","0","2"
"49","2018","18.6","23.7","13.4","889.93","14.6","94","0","34","11","0","0"
"50","2019","-","-","-","-","-","-","-","-","-","-","-"
