"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1955","15.2","19.0","9.1","891.26","5.3","75","5","13","22","0","0"
"2","1956","13.1","18.0","7.4","677.16","4.9","80","21","16","24","0","1"
"3","1957","13.5","19.1","8.3","584.67","4.7","69","17","25","46","0","0"
"4","1958","14.1","19.9","8.6","557.77","7.1","91","11","19","37","0","2"
"5","1959","12.8","18.5","7.4","714.22","-","78","10","29","24","0","0"
"6","1963","-","-","-","-","-","-","-","-","-","-","-"
"7","1964","-","-","-","-","-","-","-","-","-","-","-"
"8","1965","-","-","-","-","-","-","-","-","-","-","-"
"9","1966","14.7","20.7","9.5","775.91","7.7","116","10","43","28","0","0"
"10","1967","-","-","-","-","-","-","-","-","-","-","-"
"11","1968","13.9","20.0","8.2","474.72","7.9","73","23","18","25","0","0"
"12","1973","13.1","19.2","7.8","536.72","6.7","116","19","29","26","0","2"
"13","1974","-","-","-","-","-","-","-","-","-","-","-"
"14","1975","13.5","19.7","8.5","722.43","6.2","104","12","36","24","0","0"
"15","1976","12.6","18.6","7.4","390.94","6.5","107","17","21","24","0","0"
"16","1977","13.7","20.2","8.0","616.44","6.5","90","11","29","31","0","1"
"17","1978","13.2","19.1","8.1","504.24","6.8","96","17","21","28","0","1"
"18","1979","-","-","-","-","-","-","-","-","-","-","-"
"19","1980","13.0","19.0","7.9","639.86","6.5","100","22","25","24","0","0"
"20","1981","13.8","19.8","8.0","586.47","6.3","81","25","17","23","0","1"
"21","1982","13.7","19.2","7.8","560.09","6.5","83","14","15","20","0","1"
"22","1983","13.4","19.4","7.5","518.43","6.0","90","13","25","32","0","0"
"23","1984","13.7","18.9","8.0","697.97","6.1","104","14","19","20","0","0"
"24","1985","13.4","18.9","7.7","501.44","6.2","86","16","18","26","0","1"
"25","1986","-","-","-","-","-","-","-","-","-","-","-"
"26","1987","12.8","18.5","7.6","665.98","6.5","95","19","12","19","0","0"
"27","1988","13.2","19.0","7.9","462.01","6.2","100","15","18","32","0","0"
"28","1989","13.2","19.5","7.7","575.06","5.8","76","6","25","32","0","0"
"29","1990","14.0","20.5","8.2","621.33","5.8","86","0","20","31","0","0"
"30","1991","12.7","18.3","7.8","504.37","6.1","82","14","21","40","0","0"
"31","1992","13.1","19.3","7.5","1088.16","5.8","76","12","19","25","0","0"
"32","1993","12.8","19.2","7.2","603.53","5.5","63","18","20","32","0","0"
"33","1994","14.5","20.6","8.9","872.22","5.5","83","5","16","30","0","0"
"34","1995","13.4","19.3","8.3","1051.78","6.2","86","17","32","22","0","0"
"35","1996","13.1","18.7","8.1","639.83","6.3","82","20","20","24","0","0"
"36","1997","12.7","18.6","7.6","779.81","6.2","98","10","13","31","0","0"
"37","1998","-","-","-","-","-","-","-","-","-","-","-"
"38","1999","14.4","20.4","9.2","636.78","5.1","85","12","33","29","0","0"
"39","2000","14.3","20.9","8.6","416.35","6.0","66","8","19","33","0","0"
"40","2001","14.6","20.9","9.0","490.92","6.8","59","18","18","21","0","1"
"41","2002","-","-","-","-","-","-","-","-","-","-","-"
"42","2003","13.6","19.6","8.0","535.19","7.2","72","14","24","20","0","0"
"43","2004","-","-","-","-","-","-","-","-","-","-","-"
"44","2005","-","-","-","-","-","-","-","-","-","-","-"
"45","2006","-","-","-","-","-","-","-","-","-","-","-"
"46","2007","14.9","21.3","9.0","558.52","6.8","87","9","16","26","0","0"
"47","2008","15.3","20.6","9.0","396.99","6.6","100","6","19","37","0","0"
"48","2009","15.9","20.4","9.2","790.43","6.4","110","20","18","31","0","0"
"49","2010","16.2","20.4","10.0","717.78","6.7","121","22","21","27","0","0"
"50","2011","15.2","19.9","8.1","495.82","6.4","88","17","12","26","0","0"
"51","2012","16.7","21.5","9.5","583.13","6.6","91","19","20","24","0","0"
"52","2013","15.3","21.2","9.2","557.76","6.2","97","8","26","30","0","0"
"53","2014","14.9","20.2","9.9","963.15","5.9","133","8","34","38","0","0"
"54","2015","15.8","21.4","9.7","663.39","6.7","94","2","21","26","0","1"
"55","2016","16.0","21.5","9.2","-","6.7","94","14","23","23","0","3"
"56","2017","16.9","21.2","8.9","828.56","7.0","94","13","22","27","0","0"
"57","2018","17.3","21.3","10.4","-","6.8","109","11","33","23","0","2"
"58","2019","-","-","-","-","-","-","-","-","-","-","-"
